DIST NUM,LOW-PERFORMING CAMPUSES,NEW LOW-PERFORMING CAMPUSES,DISCONTINUED LOW-PERFORMING CAMPUSES
'101912,13,13,0
'101912,0,0,13
'101912,51,42,4
'101912,41,18,28
'101912,56,28,13
'101912,35,10,31
'101912,26,7,16
'101912,4,4,26
'101912,47,45,2
'101912,0,0,47
'101912,0,0,47
'101912,9,6,44
