DISTRICT,DA311TA09R,DA311TA10R,DA311TC09R,DA311TC10R,DA311TM09R,DA311TM10R,DA311TR09R,DA311TR10R,DA311TS09R,DA311TS10R,DA311TW09R,DA311TW10R,DB311TA09R,DB311TA10R,DB311TC09R,DB311TC10R,DB311TM09R,DB311TM10R,DB311TR09R,DB311TR10R,DB311TS09R,DB311TS10R,DB311TW09R,DB311TW10R,DE311TA09R,DE311TA10R,DE311TC09R,DE311TC10R,DE311TM09R,DE311TM10R,DE311TR09R,DE311TR10R,DE311TS09R,DE311TS10R,DE311TW09R,DE311TW10R,DF311TA09R,DF311TA10R,DF311TC09R,DF311TC10R,DF311TM09R,DF311TM10R,DF311TR09R,DF311TR10R,DF311TS09R,DF311TS10R,DF311TW09R,DF311TW10R,DH311TA09R,DH311TA10R,DH311TC09R,DH311TC10R,DH311TM09R,DH311TM10R,DH311TR09R,DH311TR10R,DH311TS09R,DH311TS10R,DH311TW09R,DH311TW10R,DI311TA09R,DI311TA10R,DI311TC09R,DI311TC10R,DI311TM09R,DI311TM10R,DI311TR09R,DI311TR10R,DI311TS09R,DI311TS10R,DI311TW09R,DI311TW10R,DL311TA09R,DL311TA10R,DL311TC09R,DL311TC10R,DL311TM09R,DL311TM10R,DL311TR09R,DL311TR10R,DL311TS09R,DL311TS10R,DL311TW09R,DL311TW10R,DM311TA09R,DM311TA10R,DM311TC09R,DM311TC10R,DM311TM09R,DM311TM10R,DM311TR09R,DM311TR10R,DM311TS09R,DM311TS10R,DM311TW09R,DM311TW10R,DP311TA09R,DP311TA10R,DP311TC09R,DP311TC10R,DP311TM09R,DP311TM10R,DP311TR09R,DP311TR10R,DP311TS09R,DP311TS10R,DP311TW09R,DP311TW10R,DR311TA09R,DR311TA10R,DR311TC09R,DR311TC10R,DR311TM09R,DR311TM10R,DR311TR09R,DR311TR10R,DR311TS09R,DR311TS10R,DR311TW09R,DR311TW10R,DS311TA09R,DS311TA10R,DS311TC09R,DS311TC10R,DS311TM09R,DS311TM10R,DS311TR09R,DS311TR10R,DS311TS09R,DS311TS10R,DS311TW09R,DS311TW10R,DW311TA09R,DW311TA10R,DW311TC09R,DW311TC10R,DW311TM09R,DW311TM10R,DW311TR09R,DW311TR10R,DW311TS09R,DW311TS10R,DW311TW09R,DW311TW10R
"031912",63,69,66,77,73,80,81,85,86,92,92,93,33,81,-1,-4,56,81,71,-4,-1,-1,-1,-1,60,67,64,74,72,78,80,84,85,92,92,92,62,70,61,74,73,80,84,88,87,93,96,94,62,69,66,76,73,80,81,85,86,92,92,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,46,30,45,56,66,55,62,52,66,84,84,63,69,72,79,73,80,79,83,86,92,89,91,-1,60,-1,-1,-1,60,-1,80,-1,-1,-1,-1,44,53,49,63,59,68,70,76,79,88,87,87,15,23,14,33,23,35,28,42,47,52,52,62,83,89,90,97,84,91,99,98,91,-4,88,-4
"031913",47,54,48,58,65,67,67,75,90,92,69,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,53,49,56,65,66,66,74,89,92,68,85,54,60,51,57,72,73,75,78,94,89,82,96,47,54,48,58,65,67,67,75,90,92,69,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23,35,13,32,48,55,44,57,74,75,47,71,41,48,45,59,59,62,59,72,86,94,59,72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,41,33,44,52,57,55,66,85,90,58,78,-3,13,17,14,12,50,20,63,-1,-4,-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"031914",59,72,57,85,74,80,83,89,92,96,94,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,71,55,85,73,80,83,89,91,96,94,86,57,77,51,83,76,84,84,93,91,94,99,91,58,72,56,85,73,80,83,89,91,96,94,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,56,47,61,56,70,62,74,93,-4,86,71,60,66,64,87,72,76,82,85,93,99,90,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,56,39,74,60,68,73,83,87,95,91,81,30,33,29,44,52,54,43,60,86,69,-1,-1,76,73,90,83,88,73,88,87,-4,-4,-1,-1
"031916",87,90,90,96,91,92,97,98,98,-4,99,-4,89,97,95,-4,88,97,94,-4,-4,-4,-4,-1,83,88,88,94,88,90,96,98,98,-4,98,-4,84,89,86,95,90,91,97,98,98,-4,-4,-4,85,89,89,95,90,91,97,98,98,-4,99,-4,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,42,44,33,50,65,68,50,71,77,-4,-1,-1,90,91,95,97,93,94,97,98,99,-4,98,-4,96,96,96,97,98,98,99,98,98,-4,-4,-4,66,74,76,86,77,80,90,94,95,99,-4,-4,32,49,65,76,47,57,68,81,94,-4,-1,-1,91,94,94,99,95,96,98,98,99,-4,-4,-4
"032902",74,79,85,88,82,86,87,92,95,96,94,96,57,71,69,85,69,78,80,92,95,99,93,90,70,76,82,86,80,84,84,90,95,95,93,95,75,82,82,87,83,86,90,94,94,95,97,95,73,74,84,78,81,84,86,87,95,93,95,98,-4,-4,-1,-1,-4,-4,-4,-4,-1,-1,-1,-1,49,57,57,39,64,75,62,71,81,72,89,97,73,77,87,88,82,85,85,90,97,97,92,97,55,82,-1,75,60,82,82,90,-1,83,-1,-1,54,60,68,74,67,71,78,83,91,92,89,97,38,47,68,61,55,58,54,61,92,79,77,-4,82,86,92,96,89,90,91,94,97,97,94,96
"033901",87,91,-4,97,90,94,99,96,-4,-4,83,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,89,-4,-4,83,89,-4,93,-4,-4,-1,-4,91,97,-4,-4,91,97,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,87,-4,95,88,91,98,94,-4,-4,75,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,70,-4,-1,50,80,-4,90,-1,-1,-1,-1,57,-1,-1,-1,67,-1,-4,-1,-1,-1,-1,-1,87,94,-4,96,90,97,99,97,-4,-4,81,-4
"033902",79,81,90,89,84,87,94,93,97,95,98,91,-1,33,-1,-1,-1,33,-1,67,-1,-1,-1,-1,69,68,74,76,81,77,85,86,95,79,-4,87,82,82,85,88,89,87,95,94,98,97,-4,-4,69,73,81,87,83,83,89,87,-4,92,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,80,94,89,80,87,93,92,96,94,96,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,48,67,69,62,60,83,80,95,89,92,69,32,50,67,46,44,56,60,68,-4,85,-1,33,80,82,90,88,85,88,94,94,97,96,98,90
"033904",74,79,77,88,82,86,90,90,95,95,96,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,75,78,83,85,85,84,84,90,89,-4,94,77,84,83,86,84,89,93,91,94,94,-4,-4,46,62,40,50,54,67,92,77,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,73,71,89,79,82,88,88,95,96,91,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,48,57,73,63,63,81,70,91,89,94,91,29,36,43,64,35,30,60,54,87,82,-1,-1,75,80,78,90,83,87,90,90,96,96,96,95
"034901",74,77,79,83,82,84,88,91,95,95,93,96,53,60,61,67,66,71,78,82,95,91,86,89,64,70,71,77,75,79,83,87,93,94,89,93,74,77,79,80,81,85,91,92,98,96,95,95,67,70,58,83,83,83,83,92,84,-4,92,92,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,-1,22,55,-1,-1,56,91,33,73,-1,-1,-1,-1,75,77,80,85,84,83,86,90,91,95,90,96,71,88,-1,-1,-4,88,86,88,-1,-1,-1,-1,45,52,52,67,60,66,70,79,86,91,88,86,58,58,88,65,79,56,68,76,-4,69,68,78,84,86,89,90,89,91,93,96,96,97,95,99
"034902",65,77,77,86,79,83,87,93,82,89,76,-4,67,64,60,-1,75,71,92,86,-1,-1,-1,-4,63,77,74,88,78,82,87,93,82,89,79,-4,69,79,69,82,80,82,97,92,73,79,-4,-4,73,-4,-1,-4,82,-4,91,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,74,90,90,79,83,78,93,-4,-4,64,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,55,64,74,65,68,79,84,86,80,63,-4,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,77,82,86,81,84,84,93,85,90,77,-4
"034903",75,82,84,90,83,89,92,94,98,98,92,88,50,56,59,75,62,66,83,87,97,97,90,86,69,76,79,90,77,85,89,93,98,99,89,84,73,81,75,90,83,88,92,95,98,99,98,91,76,87,94,91,89,92,87,91,-4,-4,90,91,60,-1,-1,-1,80,-1,80,-1,-1,-1,-1,-1,29,58,-1,60,57,75,43,67,-1,-1,-1,-1,77,83,92,91,83,91,92,94,97,98,85,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,59,71,72,64,73,83,88,95,96,82,75,41,65,56,80,52,68,69,83,82,-4,71,-1,80,87,88,94,86,94,95,97,98,99,93,89
"034905",71,75,81,84,77,82,92,91,96,97,90,96,53,63,65,86,62,74,86,88,89,97,81,-4,66,72,79,84,75,79,91,90,95,94,88,95,73,78,79,84,78,85,95,93,95,98,94,-4,79,78,91,92,81,81,93,91,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,-1,-1,-1,83,-1,-4,-1,-1,-1,-1,-1,69,73,83,85,75,78,88,89,97,96,86,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,50,67,73,56,61,84,78,93,92,82,90,28,33,20,40,35,43,45,64,83,83,40,80,76,78,85,83,81,84,93,92,98,97,91,95
"034906",76,80,87,89,86,89,91,91,96,99,91,97,-4,88,-1,80,-4,-4,-4,-4,-1,-4,-1,-1,73,75,91,84,86,89,86,89,93,97,89,97,78,84,82,91,86,93,94,91,95,-4,85,-4,78,88,67,-1,78,-4,-4,88,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,76,92,88,85,85,89,91,96,98,94,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,48,66,74,62,66,77,78,83,96,89,90,46,56,70,75,72,88,73,72,88,-4,57,-1,75,79,88,89,85,88,90,92,95,99,90,97
"034907",77,83,83,84,83,88,92,97,95,96,92,96,53,61,51,60,65,76,77,88,82,97,86,91,68,76,76,78,75,82,88,95,93,97,88,94,77,83,80,79,83,88,93,97,92,96,94,98,83,71,88,-1,83,-4,-4,-4,83,-1,-1,-1,67,-4,-1,-1,-4,-4,80,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,84,86,90,83,87,90,96,97,96,90,94,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,56,60,66,58,67,71,83,92,90,88,85,89,35,53,25,83,28,42,44,86,67,80,-1,-1,83,87,90,89,87,89,95,98,98,96,94,97
"034909",80,84,71,85,95,91,97,96,92,-4,88,93,80,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,-1,73,76,64,75,92,88,95,94,83,-4,79,90,77,85,61,84,94,93,99,96,85,-4,95,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84,83,83,87,97,90,96,96,-4,-4,83,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,79,59,81,92,88,96,95,89,-4,86,91,33,75,-1,83,57,67,-4,90,-1,-1,40,-1,80,84,72,86,95,91,97,96,92,-4,88,93
"035901",56,60,62,68,72,73,81,81,91,94,89,86,33,43,80,71,47,48,67,65,-1,80,-1,78,51,57,57,64,67,71,77,78,89,92,89,86,59,61,60,65,75,74,85,85,91,90,95,90,51,57,55,64,69,71,78,79,89,93,89,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,43,14,29,54,57,53,59,33,78,86,91,54,60,63,72,69,73,77,78,91,97,85,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,39,41,53,55,56,68,69,84,89,83,79,14,15,25,50,40,32,43,44,75,78,-1,-1,83,84,84,93,88,89,96,96,98,-4,92,96
"035902",50,48,63,63,63,63,83,78,78,82,93,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,44,61,56,59,59,80,75,77,78,91,88,61,57,63,66,71,70,90,81,83,81,95,-4,50,48,61,62,63,63,82,78,77,81,93,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,50,63,-1,67,67,70,-1,57,-1,-1,-1,39,39,62,61,54,56,75,74,72,83,90,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,38,53,56,46,54,78,70,73,78,86,81,25,40,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,67,-1,-4,-1,67,-1,-4,-1,-1,-1,-1,-1
"035903",86,85,94,93,89,88,97,95,92,-4,97,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,72,91,73,74,81,89,83,-4,-4,-4,-4,86,84,93,94,88,86,97,95,90,-4,-4,-4,29,53,-1,83,43,73,57,67,-1,-4,-1,-1,88,88,-1,-1,88,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,85,95,92,89,91,96,95,94,-4,90,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,44,75,75,48,56,80,74,69,-4,-1,-1,60,38,-1,-1,60,63,60,57,-1,-1,-1,-1,89,87,97,94,91,89,99,98,91,-4,96,-4
"036901",79,82,84,90,87,89,91,93,95,96,94,95,63,74,63,81,75,86,85,89,86,95,90,97,70,74,75,82,82,85,85,89,89,95,91,91,78,80,80,91,85,87,93,92,96,98,95,95,74,73,78,83,89,83,85,90,93,98,92,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,33,33,71,55,54,50,57,-1,-1,71,40,80,83,88,89,88,90,88,94,94,95,92,95,-4,89,-1,-1,-4,-4,-4,89,-1,-1,-1,-1,58,57,68,75,73,73,81,84,90,92,84,84,47,41,64,64,69,52,59,54,77,83,-1,-1,86,88,94,95,90,92,95,96,99,96,95,96
"036902",88,90,91,95,93,94,96,96,96,98,97,98,78,83,86,91,87,89,93,95,87,-4,96,94,79,81,83,91,88,88,91,92,93,98,93,95,90,90,91,94,94,93,97,97,97,98,99,99,82,86,83,92,91,90,92,94,93,97,98,98,89,93,-1,-4,89,93,-4,93,-1,-1,-1,-1,47,56,10,-1,72,73,75,80,75,-1,-4,89,87,90,92,96,92,94,95,95,96,98,94,96,-4,-4,-4,-4,-4,-4,-4,-4,-1,-4,-1,-1,72,71,77,84,83,81,90,90,91,95,92,90,62,68,68,69,73,83,80,84,80,74,82,90,90,91,93,95,94,95,97,97,98,98,96,98
"036903",76,80,86,90,85,88,88,90,97,97,93,88,51,67,76,80,60,76,77,89,-4,96,93,88,66,71,78,85,77,83,83,82,95,97,89,82,77,81,83,88,88,88,89,93,95,98,96,92,66,70,77,80,81,82,81,79,90,98,86,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,49,44,41,61,73,59,59,69,92,78,73,74,79,89,92,82,87,88,88,98,96,91,83,-4,-4,-1,-4,-4,-4,-4,-4,-1,-4,-1,-1,59,56,73,75,73,71,79,76,93,92,89,72,45,49,69,93,64,52,62,73,86,-4,-4,73,83,86,90,95,90,92,93,95,99,96,96,89
"037901",73,80,74,81,82,87,89,92,94,96,98,98,57,66,50,63,68,76,88,92,88,97,95,97,65,75,63,74,77,84,86,90,91,93,96,97,73,80,68,75,82,88,91,92,92,96,98,98,63,76,58,77,79,86,80,88,95,96,96,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,55,25,56,63,70,60,74,-1,-1,92,-4,74,80,80,88,82,87,86,92,96,95,97,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,63,56,60,66,76,78,86,86,93,94,93,75,75,-1,-1,80,80,71,71,-1,-1,-1,-1,89,90,90,93,92,95,95,94,96,95,-4,97
"037904",74,79,75,82,83,86,89,92,92,94,95,98,61,71,63,76,71,78,84,89,89,90,95,98,70,75,70,78,81,84,86,90,90,93,95,98,75,80,71,79,84,88,92,94,92,94,99,98,70,75,67,75,84,87,85,89,88,93,95,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,69,49,57,79,85,72,77,68,68,91,98,73,78,78,85,83,85,86,90,92,94,92,98,94,-4,88,-4,94,-4,94,-4,86,-1,-1,-1,59,66,57,67,74,78,81,86,86,89,94,97,28,39,50,56,36,46,50,61,52,76,67,86,84,86,88,90,88,90,96,96,97,96,96,98
"037907",74,82,79,91,81,88,90,93,90,95,93,93,52,66,51,90,65,76,80,86,79,92,84,84,65,75,71,89,75,84,85,89,83,92,89,90,77,86,77,94,82,91,93,95,91,96,98,96,65,71,66,79,78,83,87,85,87,93,88,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,52,13,-1,59,74,59,65,33,-1,-4,60,71,77,81,88,80,84,86,90,90,94,87,89,-4,90,-1,-1,-4,90,-4,-4,-1,-1,-1,-1,50,61,60,82,63,73,78,83,82,90,83,86,33,53,33,52,39,75,46,69,57,58,57,88,79,86,86,93,85,91,92,95,93,96,95,94
"037908",64,60,76,72,79,80,78,78,86,92,88,87,64,69,83,67,86,94,71,81,-1,-1,80,-1,61,58,75,70,78,79,77,76,86,91,87,85,58,57,71,65,71,77,82,78,76,89,92,96,60,57,72,69,77,78,76,74,88,89,89,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,36,64,43,63,66,51,56,56,86,76,79,68,63,80,78,85,82,76,78,93,95,85,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42,40,62,60,65,68,63,63,80,89,74,79,21,47,-1,43,36,65,36,53,-1,-1,50,-1,82,73,94,83,84,82,97,96,83,-4,90,80
"037909",72,77,70,85,79,83,84,92,94,97,95,97,53,56,30,85,61,63,69,78,-4,90,88,-4,66,69,56,78,74,76,81,88,89,94,92,96,74,74,65,76,79,82,86,93,88,96,-4,-4,67,67,71,67,67,83,93,83,83,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,40,-1,-1,-3,60,80,60,-1,-1,-1,-1,69,80,74,91,80,84,83,91,-4,97,89,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,57,49,73,58,66,72,82,87,92,-4,92,75,-1,-1,-1,-1,-1,86,-1,-1,-1,-1,-1,76,82,76,86,85,86,87,96,95,-4,97,97
"038901",74,79,77,84,83,87,88,90,98,98,93,90,53,65,52,61,70,77,87,89,-4,-4,83,89,66,73,71,80,79,83,86,86,99,-4,89,88,73,78,78,82,82,84,89,91,97,98,91,95,66,72,72,81,81,82,83,85,-4,95,90,85,75,75,-1,-1,71,75,-4,86,-1,-1,-1,-1,59,82,-1,-1,80,90,71,82,-1,-1,83,-1,74,80,77,85,83,89,88,90,98,98,94,85,80,80,-1,-1,-4,80,80,80,-1,-1,-1,-1,46,52,61,60,64,66,73,76,94,96,80,77,50,63,53,64,70,73,66,88,83,-4,63,60,80,85,83,88,86,91,91,93,96,99,95,93
"039901",62,47,67,50,73,55,84,92,90,88,-4,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,50,70,53,64,55,83,88,89,85,-4,78,62,50,71,50,69,60,87,91,92,90,-4,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,41,60,50,80,45,80,95,88,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,21,67,31,50,27,73,88,88,79,-1,-1,-1,40,-1,-1,-1,-1,-1,80,-1,-1,-1,-1,61,46,67,50,71,54,86,92,95,86,-4,77
"039902",83,82,90,84,89,88,92,96,95,94,94,96,80,-4,-1,-1,-4,-4,-4,-4,-1,-1,-1,-1,75,77,86,81,85,85,87,92,80,94,91,96,83,82,86,85,89,89,94,96,94,96,95,-4,91,91,-4,92,91,97,97,94,-4,-4,-1,-4,78,90,-1,-1,-4,90,78,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,82,93,83,90,87,91,95,96,93,93,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,56,70,60,69,68,79,89,85,87,84,88,33,35,53,40,50,47,52,85,67,80,80,-1,83,81,89,83,89,87,92,96,95,94,93,95
"039903",83,87,87,86,88,94,96,96,98,-4,91,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,86,82,80,87,95,96,95,97,-4,89,97,83,86,85,85,88,92,98,95,98,-4,96,97,59,83,44,88,62,89,95,90,-4,-4,-4,-4,-1,86,-1,-1,-1,-4,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,88,88,87,88,96,94,97,98,-4,85,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,69,72,65,71,85,90,90,95,-4,91,-4,55,61,86,62,78,70,70,90,-4,-4,-1,-1,86,88,90,86,90,95,97,97,98,-4,89,96
"039904",65,73,77,81,79,86,86,91,98,98,87,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,69,85,82,74,87,79,81,-4,92,69,88,66,67,68,70,83,82,89,93,-4,94,91,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,64,77,84,88,76,89,84,89,96,-4,84,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28,55,50,73,57,79,78,81,94,95,60,83,-3,14,-1,-1,20,-1,43,20,-1,-1,-1,-1,65,73,77,81,79,86,87,92,98,98,89,94
"039905",68,80,79,84,82,85,87,92,85,94,79,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,76,82,79,69,79,85,91,85,86,-1,-4,74,78,86,81,86,81,92,94,81,93,-1,-4,60,80,-1,-1,80,80,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,81,71,86,78,88,82,90,89,94,90,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52,61,58,74,68,68,76,90,67,89,-1,-1,15,10,40,38,36,30,45,56,40,75,-1,-1,68,80,79,83,82,86,88,91,87,93,79,-4
"040901",55,59,63,69,69,73,75,76,83,88,78,92,65,62,88,71,76,69,88,83,-4,-4,-1,-1,49,53,59,64,66,70,71,74,79,86,77,91,55,59,60,62,66,74,77,80,81,83,82,96,48,54,57,64,65,71,70,74,77,88,76,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,35,50,22,55,54,42,56,-1,-1,60,64,54,58,66,78,72,72,73,73,84,94,73,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,44,47,54,53,64,61,65,68,84,70,87,16,22,38,50,53,32,44,55,67,67,-1,-1,76,74,76,85,83,85,89,84,-4,89,87,-4
"040902",73,82,77,83,85,88,89,95,98,-4,79,95,57,-1,-1,-1,71,-1,86,-1,-1,-1,-1,-1,69,80,75,79,83,87,87,95,96,-4,76,97,69,81,70,82,83,86,91,95,96,-4,83,90,64,75,62,78,79,82,85,92,89,-4,75,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,78,84,86,86,88,91,86,95,-4,-4,73,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,63,65,71,71,71,78,88,95,-4,73,88,42,57,33,75,71,70,56,75,-1,-1,75,60,77,88,82,88,88,92,91,96,-4,-4,82,-4
"041901",79,81,87,79,88,91,91,93,97,98,93,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,67,77,60,80,84,84,88,96,97,87,-4,77,77,84,71,91,89,88,93,97,-4,-4,-4,73,74,78,67,85,92,85,90,93,93,90,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,38,-1,-1,73,-4,64,63,-1,-1,-1,-1,80,84,89,86,85,93,94,93,98,97,85,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,55,73,47,71,76,85,82,95,-4,85,-4,32,27,50,20,41,50,61,73,78,92,-1,-1,80,83,89,82,88,90,93,94,98,-4,94,-4
"041902",80,78,85,83,88,84,94,94,98,98,-4,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,86,70,96,80,90,79,97,92,-4,97,-4,-4,87,80,91,79,91,87,94,92,95,96,-4,92,76,56,79,67,85,71,91,83,93,95,-4,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,33,-1,-1,57,50,71,83,-1,-1,-1,-1,74,75,79,87,85,81,93,96,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,55,72,58,76,68,86,89,95,95,-4,83,57,42,-1,57,55,58,62,75,80,-1,-1,-1,83,87,87,93,89,90,95,99,-4,-4,-4,-4
"042901",70,75,78,86,80,82,87,86,97,96,93,93,47,65,71,-4,59,76,88,76,-4,-1,-1,80,60,68,65,79,73,78,79,81,94,94,89,89,71,73,77,83,79,80,88,87,99,97,98,93,58,67,66,75,71,78,82,82,97,94,89,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,38,13,29,40,54,43,58,-1,80,-1,-1,70,77,79,87,80,84,85,86,95,96,89,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,44,50,63,70,60,63,75,69,95,92,77,79,17,41,35,38,38,58,47,51,90,94,50,80,76,79,83,90,84,84,88,88,97,97,93,92
