DISTRICT,DA311TA09R,DA311TA10R,DA311TC09R,DA311TC10R,DA311TM09R,DA311TM10R,DA311TR09R,DA311TR10R,DA311TS09R,DA311TS10R,DA311TW09R,DA311TW10R,DB311TA09R,DB311TA10R,DB311TC09R,DB311TC10R,DB311TM09R,DB311TM10R,DB311TR09R,DB311TR10R,DB311TS09R,DB311TS10R,DB311TW09R,DB311TW10R,DE311TA09R,DE311TA10R,DE311TC09R,DE311TC10R,DE311TM09R,DE311TM10R,DE311TR09R,DE311TR10R,DE311TS09R,DE311TS10R,DE311TW09R,DE311TW10R,DF311TA09R,DF311TA10R,DF311TC09R,DF311TC10R,DF311TM09R,DF311TM10R,DF311TR09R,DF311TR10R,DF311TS09R,DF311TS10R,DF311TW09R,DF311TW10R,DH311TA09R,DH311TA10R,DH311TC09R,DH311TC10R,DH311TM09R,DH311TM10R,DH311TR09R,DH311TR10R,DH311TS09R,DH311TS10R,DH311TW09R,DH311TW10R,DI311TA09R,DI311TA10R,DI311TC09R,DI311TC10R,DI311TM09R,DI311TM10R,DI311TR09R,DI311TR10R,DI311TS09R,DI311TS10R,DI311TW09R,DI311TW10R,DL311TA09R,DL311TA10R,DL311TC09R,DL311TC10R,DL311TM09R,DL311TM10R,DL311TR09R,DL311TR10R,DL311TS09R,DL311TS10R,DL311TW09R,DL311TW10R,DM311TA09R,DM311TA10R,DM311TC09R,DM311TC10R,DM311TM09R,DM311TM10R,DM311TR09R,DM311TR10R,DM311TS09R,DM311TS10R,DM311TW09R,DM311TW10R,DP311TA09R,DP311TA10R,DP311TC09R,DP311TC10R,DP311TM09R,DP311TM10R,DP311TR09R,DP311TR10R,DP311TS09R,DP311TS10R,DP311TW09R,DP311TW10R,DR311TA09R,DR311TA10R,DR311TC09R,DR311TC10R,DR311TM09R,DR311TM10R,DR311TR09R,DR311TR10R,DR311TS09R,DR311TS10R,DR311TW09R,DR311TW10R,DS311TA09R,DS311TA10R,DS311TC09R,DS311TC10R,DS311TM09R,DS311TM10R,DS311TR09R,DS311TR10R,DS311TS09R,DS311TS10R,DS311TW09R,DS311TW10R,DW311TA09R,DW311TA10R,DW311TC09R,DW311TC10R,DW311TM09R,DW311TM10R,DW311TR09R,DW311TR10R,DW311TS09R,DW311TS10R,DW311TW09R,DW311TW10R
"003903",75,79,79,85,85,87,89,92,92,95,97,96,62,69,65,78,76,80,84,89,86,94,97,95,68,74,71,79,81,83,85,90,88,94,96,95,74,80,75,83,85,87,90,93,91,95,98,97,69,74,72,79,83,85,86,89,89,93,97,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,49,57,40,53,70,74,69,76,54,67,92,91,76,79,84,87,85,86,88,91,92,96,95,95,96,94,94,97,99,98,97,97,95,-4,-4,-4,53,60,57,68,71,73,80,84,83,91,94,92,47,55,56,60,66,69,66,76,76,80,82,89,88,90,93,94,93,93,95,97,97,98,96,97
"003904",74,81,79,89,83,90,90,92,94,97,86,86,43,67,44,71,67,88,57,74,-1,-4,-1,-1,65,77,71,86,77,87,85,89,88,95,80,83,74,84,77,87,83,91,92,94,93,96,92,93,46,74,42,75,60,86,85,91,85,-4,70,-4,-1,80,-1,-1,-1,80,-1,-4,-1,-1,-1,-1,33,67,-1,-1,67,-4,-4,83,-1,-1,-1,-1,74,78,82,91,83,88,89,90,95,98,79,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,58,57,74,58,74,77,81,88,91,58,68,37,59,48,64,56,63,57,74,83,93,29,-4,76,82,82,90,84,90,91,92,95,97,87,85
"003905",71,74,77,82,81,83,88,90,96,96,86,90,58,62,65,77,72,70,87,92,96,93,70,86,68,69,74,78,79,80,87,88,94,95,84,88,72,73,75,77,82,83,90,92,97,97,91,92,70,71,72,77,82,84,85,86,95,95,89,91,-1,60,-1,-1,-1,60,-1,-4,-1,-1,-1,-1,56,49,41,42,75,70,74,70,71,87,67,89,70,74,79,88,80,82,86,88,96,95,81,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51,53,61,68,67,67,77,82,92,92,80,81,31,26,67,19,50,38,46,54,83,80,-1,38,76,81,87,92,83,86,93,94,98,98,86,89
"003906",61,75,72,79,64,83,86,93,93,95,86,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,74,63,75,50,82,80,91,92,89,81,91,60,79,68,72,64,88,91,97,-4,91,94,-4,71,-4,-1,-1,71,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61,72,76,87,64,77,80,88,81,-4,78,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,57,52,65,39,66,72,85,88,91,65,88,8,31,25,31,14,44,42,67,54,92,-1,64,60,75,71,78,64,82,86,93,92,95,85,94
"003907",75,83,80,88,83,89,89,92,92,96,94,94,42,65,62,70,58,76,68,85,67,-4,-4,70,67,78,77,81,77,85,85,88,92,95,93,93,76,84,77,88,84,90,90,94,91,97,97,97,60,75,67,74,75,86,86,89,94,93,91,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,65,20,-1,65,74,76,79,-1,-1,-1,75,75,82,84,87,83,88,88,90,93,95,91,92,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,-1,47,63,59,71,60,73,76,83,84,92,86,89,20,31,44,50,26,39,51,60,71,78,73,47,79,85,83,90,85,90,90,93,93,97,95,97
"004901",73,74,84,85,80,81,89,89,96,93,91,95,67,67,76,89,77,73,81,88,-4,86,83,-4,65,69,79,80,74,78,86,85,94,89,87,94,73,76,81,83,78,82,91,92,96,94,94,97,65,68,75,77,74,76,86,85,93,90,90,97,71,75,-1,-1,83,86,86,88,-1,-1,-1,-1,58,58,33,63,74,74,72,69,67,50,-4,-4,73,73,86,86,81,80,88,86,96,92,88,92,90,90,97,93,93,95,93,94,-4,96,-4,-4,52,57,71,74,62,66,81,81,93,87,84,93,27,17,51,40,43,27,51,46,78,64,31,69,77,78,88,89,82,83,91,91,97,95,91,93
"005901",75,84,79,91,82,88,95,96,95,98,-4,-4,-1,50,-1,-1,-1,67,-1,83,-1,-1,-1,-1,66,69,71,78,73,80,96,93,92,97,-4,-4,72,84,68,88,80,90,97,97,98,97,-4,-4,40,71,-1,60,40,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,83,90,92,83,87,92,96,94,99,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,47,62,57,76,56,72,88,91,89,96,-4,-4,32,39,36,64,41,45,78,75,60,88,-1,-4,75,84,79,91,82,88,94,97,95,98,-4,-4
"005902",82,82,88,85,89,90,94,94,97,94,95,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,71,90,79,82,83,87,86,94,92,89,94,84,84,89,85,89,90,95,96,97,95,94,97,78,76,-4,67,78,85,94,90,-4,63,-4,-1,57,89,-1,-4,86,89,-4,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,80,87,85,89,89,93,93,97,94,96,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,51,64,60,67,71,81,82,92,82,87,88,43,33,50,47,53,48,82,69,63,64,-1,83,83,82,88,85,89,90,94,94,97,96,94,97
"005904",88,87,86,88,95,94,96,95,99,99,96,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,80,78,75,90,90,93,90,97,97,93,-4,89,86,87,90,95,92,95,94,97,-4,98,-4,64,67,53,63,82,82,84,84,92,95,94,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,52,-1,17,59,67,67,71,-1,-1,88,80,87,88,85,87,95,95,96,95,-4,98,95,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,65,58,59,86,85,87,85,96,96,91,96,71,83,60,-1,91,78,91,-4,-1,-1,-1,-1,94,93,91,94,99,97,99,98,-4,-4,97,-4
"006902",76,80,82,86,81,84,91,97,95,96,97,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,75,65,86,72,80,87,93,88,93,95,95,78,78,83,84,81,84,92,96,91,97,-4,93,71,57,75,75,75,70,94,87,-4,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,81,82,87,81,84,90,97,98,95,95,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43,46,55,63,49,57,78,91,86,92,-4,82,23,35,44,43,38,44,67,89,43,-1,-1,60,77,82,85,86,82,85,92,98,94,97,97,95
