DISTRICT,D200A001S16R,D200AC01S16R,D200AM01S16R,D200AR01S16R,D200AS01S16R,D200AW01S16R,D300A001S16R,D300AC01S16R,D300AM01S16R,D300AR01S16R,D300AS01S16R,D300AW01S16R,D400A001S16R,D400AC01S16R,D400AM01S16R,D400AR01S16R,D400AS01S16R,D400AW01S16R,DA00A001S16R,DA00AC01S16R,DA00AM01S16R,DA00AR01S16R,DA00AS01S16R,DA00AW01S16R,DB00A001S16R,DB00AC01S16R,DB00AM01S16R,DB00AR01S16R,DB00AS01S16R,DB00AW01S16R,DE00A001S16R,DE00AC01S16R,DE00AM01S16R,DE00AR01S16R,DE00AS01S16R,DE00AW01S16R,DF00A001S16R,DF00AC01S16R,DF00AM01S16R,DF00AR01S16R,DF00AS01S16R,DF00AW01S16R,DH00A001S16R,DH00AC01S16R,DH00AM01S16R,DH00AR01S16R,DH00AS01S16R,DH00AW01S16R,DI00A001S16R,DI00AC01S16R,DI00AM01S16R,DI00AR01S16R,DI00AS01S16R,DI00AW01S16R,DL00A001S16R,DL00AC01S16R,DL00AM01S16R,DL00AR01S16R,DL00AS01S16R,DL00AW01S16R,DM00A001S16R,DM00AC01S16R,DM00AM01S16R,DM00AR01S16R,DM00AS01S16R,DM00AW01S16R,DR00A001S16R,DR00AC01S16R,DR00AM01S16R,DR00AR01S16R,DR00AS01S16R,DR00AW01S16R,DS00A001S16R,DS00AC01S16R,DS00AM01S16R,DS00AR01S16R,DS00AS01S16R,DS00AW01S16R,DW00A001S16R,DW00AC01S16R,DW00AM01S16R,DW00AR01S16R,DW00AS01S16R,DW00AW01S16R
"001902",79,82,89,71,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,83,84,85,83,66,89,57,-1,70,54,-1,-1,76,86,74,76,71,81,85,86,85,88,66,86,62,-1,65,65,-1,63,.,.,.,.,.,.,-1,.,-1,-1,.,.,81,83,84,79,67,91,64,69,67,62,53,68,37,57,34,31,30,-1,86,90,87,88,68,93
"001903",80,63,81,84,83,83,100,-1,100,100,100,-1,100,-1,-1,-1,-1,-1,83,85,82,83,87,78,58,62,51,57,69,60,78,81,76,77,89,72,85,84,82,89,87,85,80,78,81,79,95,67,.,.,.,.,.,.,56,-1,83,-1,.,-1,80,85,81,78,87,72,64,71,63,63,72,56,52,58,53,51,53,41,85,87,83,85,87,81
"001904",40,-1,-1,-1,.,-1,-1,-1,.,-1,-1,.,-1,-1,-1,-1,.,.,82,85,82,82,84,80,61,50,53,66,67,69,75,75,74,76,80,70,86,84,82,88,88,93,83,87,83,85,79,82,89,-1,-1,-1,-1,.,64,-1,88,-1,-1,-1,79,85,82,76,80,68,67,70,70,65,68,59,42,50,43,37,56,-1,85,88,86,84,86,84
"001906",56,-1,-1,-1,-1,.,-1,.,-1,-1,.,.,.,.,.,.,.,.,79,83,86,74,72,71,53,-1,63,48,-1,-1,68,74,80,57,64,63,84,93,90,80,81,70,72,89,86,65,60,-1,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,73,74,82,68,65,71,52,58,69,44,59,-1,31,38,38,26,-1,-1,82,86,88,79,77,75
"001907",71,82,74,65,75,67,93,-1,86,93,-1,100,.,.,.,.,.,.,66,68,69,63,76,55,55,52,57,55,68,45,63,64,67,59,72,51,69,69,70,68,75,67,68,71,74,63,76,53,70,-1,-1,-1,-1,-1,50,34,63,46,43,40,63,67,68,59,77,44,56,56,61,53,66,39,38,39,38,37,49,35,73,74,72,72,83,65
"001908",62,64,67,61,71,-1,76,-1,100,-1,-1,-1,.,.,.,.,.,.,67,71,66,68,73,61,60,59,56,62,59,72,64,65,63,64,67,61,72,67,69,76,72,76,65,68,65,66,67,56,50,-1,-1,-1,-1,-1,37,32,44,38,-1,-1,63,75,64,60,73,51,54,62,54,53,58,42,33,42,35,29,32,26,72,80,70,72,80,62
"001909",71,-1,63,88,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,81,80,79,84,82,80,100,-1,-1,-1,.,-1,72,73,70,75,61,76,83,81,78,90,79,83,82,-1,70,92,-1,-1,-1,.,.,-1,-1,.,-1,.,-1,-1,.,.,79,79,79,79,85,77,60,63,57,63,60,53,36,-1,27,39,-1,-1,81,81,79,83,83,79
"002901",77,92,71,76,75,89,93,-1,83,100,.,-1,.,.,.,.,.,.,69,75,69,68,74,60,62,91,56,53,71,-1,57,63,57,56,62,43,73,75,70,74,78,71,64,68,65,64,70,55,89,-1,100,83,-1,-1,45,39,50,46,46,34,66,75,68,63,71,51,50,55,52,48,54,35,24,28,29,20,22,18,79,88,79,79,83,70
"003801",79,-1,56,89,-1,-1,98,100,100,93,100,-1,.,.,.,.,.,.,75,80,76,77,69,62,58,63,56,60,59,54,65,71,66,69,53,50,78,83,78,81,66,68,68,70,75,67,54,55,.,.,.,.,.,.,53,-1,57,52,-1,50,72,77,74,74,73,55,51,52,53,50,47,48,33,36,36,33,32,-1,81,85,82,85,74,65
"003902",89,-1,100,82,-1,100,90,-1,100,86,-1,-1,.,.,.,.,.,.,84,87,90,81,86,73,68,76,80,62,60,43,77,80,86,73,80,60,87,87,91,86,84,76,78,80,84,74,85,62,92,-1,-1,83,.,-1,62,45,78,57,55,57,82,88,89,77,88,69,68,68,80,61,70,51,42,41,54,35,41,33,88,91,93,85,89,78
