DISTRICT,D200A001S16R,D200AC01S16R,D200AM01S16R,D200AR01S16R,D200AS01S16R,D200AW01S16R,D300A001S16R,D300AC01S16R,D300AM01S16R,D300AR01S16R,D300AS01S16R,D300AW01S16R,D400A001S16R,D400AC01S16R,D400AM01S16R,D400AR01S16R,D400AS01S16R,D400AW01S16R,DA00A001S16R,DA00AC01S16R,DA00AM01S16R,DA00AR01S16R,DA00AS01S16R,DA00AW01S16R,DB00A001S16R,DB00AC01S16R,DB00AM01S16R,DB00AR01S16R,DB00AS01S16R,DB00AW01S16R,DE00A001S16R,DE00AC01S16R,DE00AM01S16R,DE00AR01S16R,DE00AS01S16R,DE00AW01S16R,DF00A001S16R,DF00AC01S16R,DF00AM01S16R,DF00AR01S16R,DF00AS01S16R,DF00AW01S16R,DH00A001S16R,DH00AC01S16R,DH00AM01S16R,DH00AR01S16R,DH00AS01S16R,DH00AW01S16R,DI00A001S16R,DI00AC01S16R,DI00AM01S16R,DI00AR01S16R,DI00AS01S16R,DI00AW01S16R,DL00A001S16R,DL00AC01S16R,DL00AM01S16R,DL00AR01S16R,DL00AS01S16R,DL00AW01S16R,DM00A001S16R,DM00AC01S16R,DM00AM01S16R,DM00AR01S16R,DM00AS01S16R,DM00AW01S16R,DR00A001S16R,DR00AC01S16R,DR00AM01S16R,DR00AR01S16R,DR00AS01S16R,DR00AW01S16R,DS00A001S16R,DS00AC01S16R,DS00AM01S16R,DS00AR01S16R,DS00AS01S16R,DS00AW01S16R,DW00A001S16R,DW00AC01S16R,DW00AM01S16R,DW00AR01S16R,DW00AS01S16R,DW00AW01S16R
"003903",71,88,71,65,87,53,84,85,86,82,89,83,-1,-1,-1,-1,.,.,72,77,76,69,74,63,62,66,66,59,63,57,67,73,72,63,68,57,76,79,78,75,74,72,72,78,78,68,71,60,65,-1,73,71,-1,-1,57,58,66,54,34,44,69,75,74,64,74,55,59,64,66,56,54,48,42,45,47,40,42,29,82,86,84,80,88,76
"003904",56,55,62,46,-1,71,-1,.,-1,-1,.,-1,.,.,.,.,.,.,72,79,78,66,68,70,59,71,60,54,-1,-1,64,70,69,60,58,59,75,78,79,74,67,75,72,78,80,67,57,64,63,-1,-1,-1,-1,-1,52,-1,-1,-1,-1,-1,69,81,77,59,70,64,55,66,64,45,55,44,31,43,48,20,-1,-1,73,81,79,67,70,70
"003905",64,88,63,50,-1,-1,100,.,-1,-1,-1,-1,.,.,.,.,.,.,70,76,75,67,78,51,53,46,55,50,71,40,66,72,71,62,75,46,75,79,77,75,79,53,68,74,75,63,74,47,-1,-1,-1,-1,.,.,54,65,65,49,43,30,66,73,73,60,77,49,57,63,64,53,67,34,31,42,34,26,41,-1,82,88,83,82,89,59
"003906",85,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,67,64,69,66,67,67,78,-1,-1,-1,.,-1,61,63,65,58,61,60,74,71,75,76,71,70,60,71,62,54,-1,-1,-1,.,-1,-1,.,.,-1,.,-1,-1,.,.,61,57,64,58,63,64,49,40,52,47,57,48,17,-1,29,11,-1,-1,67,63,69,66,67,65
"003907",72,-1,75,60,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,73,78,76,73,70,67,56,63,56,53,64,55,69,74,73,67,67,63,77,79,77,79,68,72,71,78,71,71,82,60,57,-1,-1,-1,-1,-1,24,-1,-1,-1,-1,-1,70,76,74,67,72,62,55,62,58,54,53,30,38,47,43,30,42,47,75,78,78,75,67,71
"004901",79,73,84,68,89,100,88,90,96,80,100,78,-1,.,-1,-1,.,.,70,76,73,64,76,61,45,50,52,34,-1,-1,62,66,67,56,69,51,74,78,75,73,75,72,64,71,68,59,74,54,80,-1,83,83,-1,.,43,21,69,35,-1,-1,65,75,72,57,78,51,48,55,56,42,54,34,35,43,39,29,46,22,73,80,77,68,78,66
"005901",70,-1,79,65,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,79,80,78,80,74,77,-1,.,.,-1,-1,.,65,69,62,66,62,68,80,78,79,83,73,84,75,-1,80,72,83,83,-1,.,-1,-1,.,-1,-1,.,-1,-1,.,.,78,82,78,78,74,72,50,55,49,53,43,-1,30,-1,21,29,-1,-1,80,83,78,83,73,76
"005902",68,-1,80,55,-1,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,87,87,90,86,77,87,-1,.,-1,-1,.,.,78,88,81,70,77,79,90,91,90,91,75,96,83,92,80,84,83,79,100,.,-1,-1,-1,-1,-1,.,-1,-1,.,.,84,85,89,82,79,81,68,72,72,65,57,70,51,62,47,40,64,83,87,87,90,87,77,88
"005904",-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,88,91,90,87,81,85,.,.,.,.,.,.,81,86,84,82,65,76,88,91,88,90,75,88,81,87,83,83,67,81,-1,.,-1,-1,-1,.,81,-1,75,92,.,-1,88,91,92,85,87,82,70,72,77,68,57,57,40,-1,53,35,-1,-1,91,93,93,91,88,87
"006902",100,-1,100,100,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,81,80,81,81,87,76,67,-1,-1,100,-1,-1,73,67,76,75,72,68,85,83,84,86,91,82,79,73,83,77,-1,75,-1,.,-1,-1,.,.,64,-1,-1,-1,.,-1,77,77,79,76,83,71,59,54,64,58,63,56,47,43,52,41,-1,-1,81,82,81,80,87,77
"007901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69,80,68,66,74,62,-1,.,-1,.,.,.,67,78,65,64,74,56,75,78,75,71,81,78,67,78,66,64,73,61,.,.,.,.,.,.,76,100,80,79,-1,-1,64,82,60,61,70,43,58,73,53,55,68,47,32,45,32,25,-1,-1,89,100,86,88,100,-1
"007902",81,86,82,82,-1,-1,-1,.,.,-1,-1,-1,.,.,.,.,.,.,74,83,76,70,75,68,71,-1,86,67,-1,-1,65,77,67,59,66,59,76,82,75,75,73,76,67,78,67,64,68,63,-1,.,-1,-1,.,.,64,-1,79,56,-1,50,72,85,76,66,76,61,58,71,60,51,63,49,31,45,30,28,43,-1,84,93,88,79,83,78
"007904",100,.,-1,-1,-1,-1,.,.,.,.,.,.,-1,.,-1,-1,.,-1,63,77,63,58,73,48,56,86,45,45,-1,-1,59,75,59,52,68,43,64,75,62,62,66,52,61,75,61,56,70,47,69,-1,-1,-1,-1,-1,48,69,55,39,50,35,63,79,64,54,80,45,49,67,50,42,53,26,18,23,17,14,-1,-1,75,86,76,69,86,60
"007905",65,71,65,63,-1,-1,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,.,70,75,74,65,69,63,53,-1,83,-1,.,.,61,65,68,56,57,57,71,75,73,70,69,68,64,70,70,60,63,56,70,-1,-1,-1,.,-1,55,56,67,45,-1,71,68,74,75,62,70,57,51,58,60,44,48,32,34,39,38,32,18,32,83,88,86,81,85,75
"007906",70,-1,-1,-1,.,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,63,62,64,62,60,67,-1,-1,-1,-1,.,.,59,59,60,58,53,61,66,63,66,68,55,74,61,60,62,59,59,66,-1,-1,-1,-1,.,-1,51,-1,56,60,-1,67,59,61,61,55,64,58,48,48,50,46,42,52,33,23,40,31,29,42,75,75,78,78,64,71
"008901",66,63,72,62,-1,63,85,-1,-1,-1,-1,-1,-1,.,-1,-1,.,-1,76,78,77,77,74,72,56,62,52,55,58,60,66,64,69,67,66,59,82,82,81,84,77,82,69,66,71,70,73,64,-1,.,-1,-1,.,-1,45,50,50,45,-1,41,72,76,74,71,71,64,54,57,57,53,51,43,37,49,33,37,45,20,83,87,84,84,77,78
"008902",77,90,78,77,-1,56,71,-1,90,73,-1,-1,-1,.,.,-1,.,.,70,75,72,71,71,57,53,58,52,51,59,47,61,64,63,61,62,47,73,77,71,76,71,60,65,65,68,66,68,51,100,-1,-1,-1,-1,-1,42,32,58,38,34,22,68,73,72,66,71,53,49,54,54,48,52,26,29,31,31,29,25,23,81,90,81,81,78,66
"008903",84,-1,88,70,-1,-1,100,-1,-1,-1,-1,.,.,.,.,.,.,.,77,77,76,75,88,78,63,75,58,62,82,-1,71,72,72,66,86,69,77,70,72,80,84,84,70,72,70,67,80,71,.,.,.,.,.,.,54,45,69,44,56,50,77,84,80,70,93,70,57,55,58,53,73,58,41,50,42,39,-1,-1,87,86,85,87,96,90
"009901",-1,.,-1,-1,.,-1,82,-1,100,71,-1,-1,.,.,.,.,.,.,69,78,73,63,79,60,-1,.,-1,-1,.,.,67,76,72,59,76,55,73,76,76,68,79,73,67,77,72,59,78,56,.,.,.,.,.,.,45,61,53,32,73,29,66,80,71,59,79,51,48,56,56,41,51,33,35,49,43,26,37,24,83,85,82,84,85,82
"010901",100,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,79,89,79,78,85,66,39,-1,-1,-1,-1,-1,72,80,72,70,73,65,81,84,81,81,78,81,83,92,87,79,83,-1,.,.,.,.,.,.,56,-1,-1,-1,.,-1,78,92,77,75,100,53,71,78,68,71,81,65,50,55,42,57,-1,-1,81,91,80,79,94,64
"010902",78,75,84,78,71,75,100,-1,-1,-1,-1,.,-1,.,-1,-1,.,.,77,79,76,77,76,73,100,-1,-1,100,-1,-1,69,70,71,70,67,62,80,79,78,84,77,80,71,74,70,71,70,72,-1,-1,-1,-1,-1,.,50,33,49,52,-1,73,73,79,75,71,75,67,57,64,57,56,51,54,37,47,38,33,47,30,79,82,80,80,79,74
"011901",73,76,71,72,81,74,94,89,100,96,-1,88,-1,.,-1,-1,.,-1,67,74,68,65,70,58,59,69,60,53,70,47,60,66,62,58,64,50,70,73,69,71,69,66,61,68,64,59,65,51,74,78,80,79,-1,-1,45,44,53,41,35,36,64,74,67,59,71,49,55,63,58,52,56,43,29,41,31,27,31,15,79,86,79,79,81,72
"011902",61,71,56,69,45,-1,47,-1,-1,50,.,-1,-1,-1,-1,-1,-1,.,63,74,63,62,66,52,54,68,49,52,66,52,59,69,59,57,60,47,67,76,65,68,66,61,60,70,61,58,61,48,-1,-1,-1,-1,.,.,48,56,51,45,48,38,60,72,61,56,65,44,50,64,50,48,50,35,33,41,33,31,25,33,79,89,79,77,77,67
"011904",67,82,65,67,-1,-1,100,-1,100,100,-1,-1,-1,.,.,.,-1,.,72,81,72,71,82,54,54,61,51,57,60,32,64,74,64,63,71,44,76,80,75,77,83,64,67,77,67,66,75,48,-1,-1,-1,-1,-1,-1,45,50,55,47,-1,-1,69,82,69,66,80,46,56,66,55,54,72,31,37,62,38,32,38,-1,77,87,77,76,91,60
"011905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79,85,80,84,76,59,-1,.,-1,-1,.,-1,77,83,76,84,77,53,86,80,86,91,73,81,84,81,82,89,82,75,.,.,.,.,.,.,76,-1,71,82,-1,-1,72,89,73,77,83,39,68,77,70,73,71,42,23,-1,-1,-1,-1,-1,74,92,77,79,-1,43
"012901",65,-1,71,58,-1,-1,73,-1,-1,-1,-1,-1,.,.,.,.,.,.,85,80,87,82,89,91,58,-1,-1,-1,-1,.,79,72,82,76,90,88,89,88,88,88,90,94,82,76,83,80,95,87,-1,-1,-1,-1,.,.,79,-1,-1,-1,-1,-1,82,76,86,78,89,88,64,55,67,58,88,71,56,43,65,51,75,-1,87,85,89,86,88,91
"013801",100,-1,-1,-1,.,.,80,-1,-1,-1,.,-1,.,.,.,.,.,.,88,82,90,88,.,86,90,.,-1,-1,.,-1,86,76,89,86,.,83,90,89,90,91,.,87,87,83,90,87,.,84,.,.,.,.,.,.,62,-1,-1,-1,.,-1,87,78,91,85,.,85,79,65,83,79,.,76,68,-1,71,71,.,83,93,-1,91,97,.,100
"013901",80,67,82,80,86,-1,80,-1,100,71,-1,-1,-1,.,.,-1,-1,.,58,60,56,56,64,66,66,73,63,67,60,79,54,55,53,52,58,62,62,65,58,61,65,71,56,59,54,53,63,64,83,-1,-1,-1,-1,.,42,-1,47,39,-1,50,55,56,54,51,63,61,42,47,40,40,50,42,33,38,33,29,35,37,68,70,63,69,70,74
"013902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,77,60,75,70,76,-1,.,-1,-1,.,.,64,77,53,74,-1,57,74,82,62,79,100,75,68,78,58,77,63,67,.,.,.,.,.,.,-1,.,-1,-1,.,.,65,73,58,71,-1,78,38,.,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,74,-1,64,64,-1,100
"013903",88,-1,-1,-1,-1,.,-1,.,.,-1,.,.,.,.,.,.,.,.,62,65,62,61,51,63,-1,-1,-1,-1,.,-1,53,64,52,50,42,54,66,69,61,70,52,68,55,60,54,54,43,61,-1,-1,-1,-1,.,.,-1,.,-1,-1,.,-1,58,63,64,52,50,57,45,52,44,44,43,47,26,50,-1,26,-1,-1,74,73,80,74,56,73
"013905",100,-1,-1,-1,.,.,100,-1,100,100,100,-1,100,-1,-1,-1,-1,.,84,84,84,85,79,86,75,-1,-1,-1,-1,-1,80,77,82,81,69,80,85,78,84,88,83,90,81,80,82,83,73,83,100,.,-1,-1,-1,-1,73,-1,63,88,.,-1,83,90,83,83,75,82,70,75,69,71,50,69,55,50,60,56,-1,73,89,89,87,89,89,93
"014801",46,-1,-1,37,56,.,89,-1,-1,-1,-1,.,-1,-1,-1,-1,.,.,36,48,22,26,63,.,26,27,10,20,53,.,35,48,21,25,62,.,40,54,24,32,63,.,34,46,23,24,61,.,-1,-1,-1,-1,.,.,17,53,-1,-1,-1,.,32,44,20,20,63,.,34,47,22,24,61,.,18,23,9,9,44,.,45,63,28,33,73,.
"014803",64,67,54,78,-1,-1,65,78,67,61,-1,63,47,-1,-1,-1,.,-1,66,68,62,70,61,64,50,50,44,58,47,38,62,61,59,67,56,57,63,67,56,72,52,55,61,66,54,67,50,63,-1,-1,-1,-1,.,.,55,-1,86,-1,-1,-1,68,70,67,68,71,70,50,53,47,58,40,-1,32,48,28,30,-1,-1,75,78,72,76,77,74
"014804",96,100,96,92,-1,100,84,63,92,87,-1,86,-1,.,-1,-1,.,.,88,88,87,87,95,86,75,60,74,83,82,70,79,72,81,77,87,79,89,87,87,89,90,92,84,90,82,82,97,81,100,-1,-1,-1,.,.,46,-1,-1,-1,-1,-1,87,89,87,85,100,79,73,79,67,72,89,64,52,61,46,54,60,50,89,91,88,89,96,87
"014901",87,88,86,83,-1,-1,85,-1,86,89,-1,-1,-1,-1,-1,-1,-1,.,81,87,84,78,79,80,74,86,76,72,56,75,72,79,75,68,69,73,83,86,84,83,75,84,74,79,77,66,77,80,86,83,83,86,-1,.,55,50,61,55,-1,60,80,89,84,73,83,76,57,67,62,49,57,59,41,39,57,30,-1,47,84,91,87,81,81,79
"014902",100,.,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,63,63,66,59,68,67,45,-1,50,38,-1,-1,58,58,59,56,61,65,68,65,68,67,67,78,61,58,63,58,60,71,-1,.,-1,-1,.,-1,26,-1,36,-1,-1,-1,58,62,64,52,70,57,58,62,61,52,60,68,41,-1,50,32,-1,-1,73,100,76,68,90,63
"014903",82,94,83,81,88,69,97,100,97,97,100,96,85,63,87,93,83,-1,79,83,81,77,79,72,69,73,70,68,69,57,68,73,71,66,68,57,81,83,81,81,78,80,71,74,74,69,71,63,70,75,76,72,67,-1,54,54,61,52,51,42,77,82,80,74,80,64,62,70,65,60,65,45,45,53,50,40,43,32,84,88,85,82,83,78
"014905",100,-1,-1,100,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,84,86,88,81,79,81,64,-1,100,58,-1,-1,77,77,82,72,75,80,88,92,90,88,79,86,79,80,84,76,69,87,.,.,.,.,.,.,52,-1,75,60,-1,.,80,81,86,77,80,76,63,63,70,59,65,50,31,-1,40,28,-1,-1,87,93,89,85,87,78
"014906",79,78,82,78,77,70,88,88,93,86,86,84,77,81,80,74,76,66,74,76,78,72,76,65,68,70,72,66,72,59,69,71,74,67,70,59,77,78,79,77,77,71,75,77,80,73,75,65,75,77,79,74,73,67,64,61,74,59,51,55,71,75,77,68,75,59,60,64,65,57,64,45,42,48,47,37,47,30,80,84,83,78,83,71
"014907",83,.,-1,-1,-1,-1,100,-1,-1,-1,-1,.,.,.,.,.,.,.,76,73,78,78,67,79,63,-1,88,-1,-1,-1,69,66,72,71,49,72,76,65,77,78,71,80,69,63,75,67,59,78,-1,-1,-1,-1,-1,.,54,-1,50,56,.,-1,77,78,79,78,62,78,54,48,55,61,35,52,32,29,33,31,-1,-1,80,77,80,83,72,79
"014908",89,100,88,92,78,-1,97,-1,100,92,-1,-1,-1,-1,-1,-1,.,.,84,88,84,83,82,83,71,-1,89,60,-1,-1,66,71,68,66,61,58,86,85,84,90,82,89,70,73,71,68,69,65,89,-1,-1,-1,-1,-1,49,47,60,49,39,-1,82,90,83,78,82,77,62,71,65,60,54,48,37,50,46,32,29,-1,88,91,87,88,86,89
"014909",69,88,67,65,83,56,86,89,88,82,95,83,96,-1,100,100,-1,.,62,66,64,59,70,51,50,54,51,48,63,36,56,60,59,54,64,44,66,69,67,66,70,61,61,62,65,58,66,50,63,-1,50,69,-1,-1,49,44,61,43,38,48,57,64,61,53,70,41,47,52,51,44,57,32,26,30,29,22,27,26,74,83,75,72,80,66
"014910",77,-1,75,77,-1,-1,69,-1,-1,-1,-1,-1,.,.,.,.,.,.,77,84,74,76,85,66,85,-1,78,89,-1,-1,71,79,68,70,80,59,78,82,74,81,82,74,70,78,70,67,83,50,88,.,-1,-1,-1,-1,47,-1,52,39,-1,-1,75,86,74,72,87,58,51,65,48,50,68,39,43,50,44,40,62,33,79,86,76,79,86,71
"015801",-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,55,27,29,60,.,-1,-1,-1,-1,.,.,37,54,27,29,57,.,41,59,26,34,60,.,36,52,26,28,56,.,-1,.,.,.,-1,.,-1,-1,-1,-1,.,.,34,48,28,25,60,.,35,53,27,26,57,.,14,-1,-1,-1,-1,.,57,-1,-1,41,100,.
"015802",-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,71,83,72,68,66,63,71,82,74,69,65,54,71,85,72,68,67,63,73,88,72,70,65,74,70,83,69,67,56,75,.,.,.,.,.,.,83,-1,79,86,-1,78,68,78,72,66,67,54,70,83,72,68,65,63,59,-1,69,71,-1,-1,83,-1,-1,71,100,-1
"015805",-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,71,58,60,51,35,60,.,-1,75,.,-1,55,67,56,58,49,34,62,72,62,65,61,40,58,71,58,59,52,35,.,.,.,.,.,.,38,-1,51,40,-1,-1,54,70,54,56,39,30,43,58,45,44,-1,25,25,-1,37,28,-1,-1,65,-1,62,79,-1,-1
"015806",83,-1,-1,86,.,-1,-1,.,-1,-1,.,.,83,-1,-1,-1,-1,.,57,62,56,61,45,47,57,67,52,62,51,47,57,61,56,61,43,47,57,59,55,65,42,49,57,59,57,61,42,48,.,.,.,.,.,.,55,55,54,60,47,48,57,65,57,59,49,45,49,57,49,52,37,36,31,31,30,27,33,50,51,-1,60,47,-1,-1
"015807",71,-1,71,86,-1,-1,-1,.,-1,-1,.,.,-1,.,-1,-1,.,-1,42,53,32,45,57,31,39,67,28,34,81,-1,40,51,31,44,55,29,41,52,27,43,64,33,42,51,32,46,53,30,.,.,.,.,.,.,33,41,28,36,43,-1,44,54,38,46,50,29,34,47,22,37,52,18,11,-1,-1,10,24,-1,49,-1,40,52,67,-1
"015808",88,-1,80,90,-1,-1,78,.,-1,-1,.,-1,.,.,.,.,.,.,78,83,70,87,71,75,-1,.,-1,-1,-1,-1,73,69,63,89,58,75,84,88,77,93,65,83,77,79,68,88,62,74,.,.,.,.,.,.,-1,.,-1,-1,.,.,70,77,61,78,77,65,64,67,49,78,-1,77,50,-1,39,61,-1,-1,80,88,73,85,81,76
"015809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,67,69,65,65,68,69,-1,-1,83,.,-1,66,64,69,64,60,67,74,71,75,74,63,79,67,69,70,64,68,68,.,.,.,.,.,.,71,75,78,59,-1,80,61,64,64,57,67,58,56,54,59,55,54,55,27,33,25,29,-1,-1,63,-1,63,75,-1,-1
"015814",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,82,50,37,75,.,56,-1,-1,-1,.,.,52,81,47,38,75,.,53,79,47,40,73,.,50,79,47,35,74,.,-1,.,.,-1,.,.,31,-1,-1,-1,-1,.,50,88,53,33,78,.,48,78,45,34,74,.,20,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.
"015815",70,-1,-1,-1,-1,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,57,58,59,55,53,62,46,-1,54,54,-1,-1,54,52,57,55,42,59,58,62,56,59,46,71,56,57,56,54,57,66,.,.,.,.,.,.,46,49,51,38,41,58,56,53,61,51,61,56,53,56,55,50,48,57,35,-1,29,33,-1,-1,66,83,88,60,-1,-1
"015816",-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,55,75,24,53,86,.,-1,.,.,.,-1,.,56,-1,-1,-1,83,.,58,82,-1,57,-1,.,53,69,-1,53,89,.,.,.,.,.,.,.,-1,.,.,-1,-1,.,52,-1,-1,50,90,.,60,86,28,56,86,.,-1,-1,-1,-1,-1,.,67,-1,-1,-1,-1,.
"015819",53,-1,54,57,-1,-1,-1,.,-1,-1,.,-1,.,.,.,.,.,.,53,40,57,52,63,52,43,-1,50,39,-1,58,46,35,51,45,54,44,51,35,51,54,63,52,56,42,61,57,64,42,.,.,.,.,.,.,45,-1,59,47,-1,-1,54,43,62,50,63,52,45,34,49,44,55,44,13,-1,-1,-1,-1,-1,55,48,58,54,57,59
"015820",100,-1,-1,-1,-1,.,.,.,.,.,.,.,-1,-1,-1,-1,.,.,59,61,50,61,86,33,53,-1,-1,-1,-1,.,58,61,49,61,86,33,64,66,51,69,86,45,57,58,48,60,83,32,.,.,.,.,.,.,46,-1,-1,38,-1,.,53,55,48,53,85,-1,57,67,51,55,83,35,31,40,17,31,67,-1,65,83,57,68,100,-1
"015822",76,81,58,90,-1,90,89,90,93,94,-1,56,-1,.,-1,-1,.,.,68,68,66,72,54,61,58,54,51,67,59,50,63,64,62,68,51,56,69,68,66,75,53,66,67,67,66,71,52,61,-1,-1,-1,-1,.,-1,62,60,65,65,47,50,66,69,67,69,56,56,49,53,48,54,39,41,24,31,23,28,18,16,79,84,79,83,70,68
