DISTRICT,DA311TA10R,DA311TA11R,DA311TC10R,DA311TC11R,DA311TM10R,DA311TM11R,DA311TR10R,DA311TR11R,DA311TS10R,DA311TS11R,DA311TW10R,DA311TW11R,DB311TA10R,DB311TA11R,DB311TC10R,DB311TC11R,DB311TM10R,DB311TM11R,DB311TR10R,DB311TR11R,DB311TS10R,DB311TS11R,DB311TW10R,DB311TW11R,DE311TA10R,DE311TA11R,DE311TC10R,DE311TC11R,DE311TM10R,DE311TM11R,DE311TR10R,DE311TR11R,DE311TS10R,DE311TS11R,DE311TW10R,DE311TW11R,DF311TA10R,DF311TA11R,DF311TC10R,DF311TC11R,DF311TM10R,DF311TM11R,DF311TR10R,DF311TR11R,DF311TS10R,DF311TS11R,DF311TW10R,DF311TW11R,DH311TA10R,DH311TA11R,DH311TC10R,DH311TC11R,DH311TM10R,DH311TM11R,DH311TR10R,DH311TR11R,DH311TS10R,DH311TS11R,DH311TW10R,DH311TW11R,DI311TA10R,DI311TA11R,DI311TC10R,DI311TC11R,DI311TM10R,DI311TM11R,DI311TR10R,DI311TR11R,DI311TS10R,DI311TS11R,DI311TW10R,DI311TW11R,DL311TA10R,DL311TA11R,DL311TC10R,DL311TC11R,DL311TM10R,DL311TM11R,DL311TR10R,DL311TR11R,DL311TS10R,DL311TS11R,DL311TW10R,DL311TW11R,DM311TA10R,DM311TA11R,DM311TC10R,DM311TC11R,DM311TM10R,DM311TM11R,DM311TR10R,DM311TR11R,DM311TS10R,DM311TS11R,DM311TW10R,DM311TW11R,DR311TA10R,DR311TA11R,DR311TC10R,DR311TC11R,DR311TM10R,DR311TM11R,DR311TR10R,DR311TR11R,DR311TS10R,DR311TS11R,DR311TW10R,DR311TW11R,DS311TA10R,DS311TA11R,DS311TC10R,DS311TC11R,DS311TM10R,DS311TM11R,DS311TR10R,DS311TR11R,DS311TS10R,DS311TS11R,DS311TW10R,DS311TW11R,DW311TA10R,DW311TA11R,DW311TC10R,DW311TC11R,DW311TM10R,DW311TM11R,DW311TR10R,DW311TR11R,DW311TS10R,DW311TS11R,DW311TW10R,DW311TW11R,D2311TA10R,D2311TA11R,D2311TC10R,D2311TC11R,D2311TM10R,D2311TM11R,D2311TR10R,D2311TR11R,D2311TS10R,D2311TS11R,D2311TW10R,D2311TW11R,D3311TA10R,D3311TA11R,D3311TC10R,D3311TC11R,D3311TM10R,D3311TM11R,D3311TR10R,D3311TR11R,D3311TS10R,D3311TS11R,D3311TW10R,D3311TW11R,D4311TA10R,D4311TA11R,D4311TC10R,D4311TC11R,D4311TM10R,D4311TM11R,D4311TR10R,D4311TR11R,D4311TS10R,D4311TS11R,D4311TW10R,D4311TW11R
"057834",42,52,65,67,43,55,75,79,89,90,-1,-1,35,48,56,64,34,46,70,75,81,84,-1,-1,33,52,56,66,30,51,75,81,91,91,-1,-1,42,55,60,67,39,58,77,85,88,88,-1,-1,47,55,63,63,45,65,82,78,96,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-3,-1,-1,40,-3,80,20,-1,-1,-1,-1,43,49,69,67,45,53,74,74,89,92,-1,-1,41,50,63,64,42,53,72,78,87,88,-1,-1,9,3,29,6,13,-3,41,54,65,53,-1,-1,53,52,-4,83,73,56,73,87,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057835",53,72,69,73,65,83,69,83,88,95,83,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,72,68,74,65,83,70,83,88,95,83,92,52,68,67,63,63,82,68,81,91,-4,80,91,53,71,69,72,65,83,69,83,91,95,82,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,59,50,50,63,79,60,75,85,80,80,86,54,76,71,88,68,85,71,87,83,92,86,92,49,65,62,69,66,80,64,80,86,91,80,92,39,45,36,50,50,66,59,69,71,-1,57,89,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057836",82,84,90,90,90,89,92,93,-4,-4,98,96,82,83,90,90,89,89,92,93,-4,-4,98,96,76,78,80,84,87,86,90,91,-4,-4,97,97,83,84,87,86,91,91,90,93,-4,-4,97,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,83,94,-4,87,85,95,92,-4,-4,-4,-4,70,68,83,79,81,80,81,87,-4,-4,-4,92,57,36,-1,-1,86,45,-4,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057837",69,77,71,85,86,86,86,89,89,94,90,96,64,75,63,89,83,83,85,89,90,97,91,98,68,76,65,83,86,86,86,89,86,93,92,96,68,73,65,82,82,83,88,89,82,94,91,-4,77,79,80,82,91,90,88,91,88,88,88,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,51,60,71,84,76,53,73,-1,-1,-1,-1,71,80,77,89,90,90,84,90,96,94,88,93,45,60,57,73,78,81,72,78,78,73,83,88,52,46,46,55,76,67,86,88,83,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057838",94,93,98,97,96,96,98,97,99,-4,99,99,-4,93,-4,91,-4,96,-4,-4,-4,-4,-4,-4,94,94,98,98,97,97,98,97,99,-4,99,99,94,93,98,95,96,96,99,96,99,-4,99,99,94,93,98,98,96,96,98,96,99,-4,99,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,84,94,97,95,90,95,90,-1,-4,97,98,95,93,98,99,97,96,98,97,-4,-4,-4,99,93,92,98,97,96,96,98,96,99,-4,99,98,88,92,-4,89,93,95,98,98,89,-4,92,-4,-4,-4,-1,-1,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057839",62,63,73,77,75,79,76,85,-1,-1,79,67,22,-1,40,-1,44,-1,56,-1,-1,-1,-1,-1,60,64,70,78,74,79,75,84,-1,-1,81,69,68,67,70,70,76,83,82,93,-1,-1,90,75,64,64,77,75,76,80,77,85,-1,-1,82,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,62,56,70,72,80,75,79,-1,-1,85,68,57,59,77,82,74,76,72,78,-1,-1,73,58,54,62,61,72,70,79,71,82,-1,-1,76,71,26,65,56,77,48,73,70,96,-1,-1,60,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057840",98,98,99,-4,98,99,99,99,-4,-4,-1,-1,-4,93,-4,-4,-4,96,-4,96,-4,-4,-1,-1,94,-4,-4,-4,94,-4,-4,-4,-4,-4,-1,-1,97,98,99,-4,97,98,-4,99,-4,-4,-1,-1,97,-4,-4,-4,97,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99,-4,-4,-4,-4,-4,99,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,99,-4,-4,98,98,98,-4,-4,-4,-1,-1,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-1,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057841",.,33,.,-1,.,67,.,50,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,33,.,-1,.,67,.,50,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1
"057842",86,86,92,95,95,94,92,90,99,-4,98,98,86,87,-1,-1,86,97,-4,89,-1,-1,-1,-4,87,86,91,95,95,94,91,90,99,-4,98,98,88,87,92,97,94,93,95,93,99,-4,-4,99,86,86,92,95,95,94,92,90,99,-4,98,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,81,85,92,95,92,87,86,99,-4,98,97,85,85,91,93,95,96,89,88,-4,-4,96,97,82,84,88,94,94,94,89,88,99,-4,97,98,47,71,67,-1,73,83,80,80,-4,-1,-1,92,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057843",67,66,74,72,74,76,89,88,95,93,90,87,67,62,75,72,73,71,91,89,97,91,92,87,65,65,72,70,73,75,85,87,93,92,88,84,67,67,73,72,74,76,93,94,98,92,96,90,63,75,69,72,73,90,78,87,89,98,81,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,65,-1,53,33,88,50,80,-1,-4,-1,82,66,64,76,73,73,76,84,82,92,94,83,84,41,40,56,54,51,56,78,78,91,86,87,73,36,29,60,42,38,51,77,71,89,83,75,63,89,67,80,-1,-4,67,-4,83,-1,-1,-1,-1,-1,83,-1,-1,-1,-4,-1,83,-1,-1,-1,-1,-1,86,-1,-1,-1,-4,-1,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057844",86,76,77,86,97,85,93,87,-1,-1,96,74,70,69,60,80,91,81,82,77,-1,-1,80,67,76,66,67,80,92,74,92,82,-1,-1,86,44,89,81,79,88,-4,83,-4,89,-1,-1,91,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,57,57,40,-1,-4,70,77,74,-1,-1,-1,50,82,72,75,83,94,86,85,86,-1,-1,-4,56,67,63,40,67,-4,74,82,79,-1,-1,-1,56,60,42,-1,-1,-4,55,60,82,-1,-1,-1,-1,-4,83,-4,-1,-4,83,-4,89,-1,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,83,-1,91,-1,-4,-1,-1,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057903",80,80,87,87,86,87,91,92,96,97,95,95,72,72,82,81,79,80,90,90,95,96,93,95,75,75,82,83,83,84,89,89,95,95,94,93,81,81,86,85,87,87,93,93,96,97,97,97,75,76,82,83,83,85,89,89,95,96,94,93,87,77,90,92,89,80,93,88,95,-4,-4,94,60,64,57,62,76,81,75,76,83,80,90,86,78,79,88,88,86,87,90,90,96,96,93,92,64,64,74,73,75,77,83,83,92,93,91,89,58,61,67,74,72,75,80,81,83,87,84,88,91,90,96,95,93,93,97,97,99,99,97,96,-1,85,-1,93,-1,92,-1,93,-1,98,-1,97,-1,93,-1,93,-1,96,-1,97,-1,99,-1,99,-1,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-1
"057904",71,73,76,81,78,80,90,90,93,94,93,92,67,70,72,77,75,77,89,89,93,93,92,91,66,69,72,78,75,78,87,88,92,92,91,91,73,76,76,82,80,82,93,93,95,95,95,95,75,79,80,87,82,85,91,91,93,95,95,94,86,69,91,80,86,74,97,93,-4,90,-4,90,64,65,63,64,75,78,82,78,82,79,91,84,68,71,76,80,77,79,87,88,92,92,91,90,53,55,64,67,63,66,81,82,89,88,84,86,38,42,50,53,53,56,66,70,74,75,66,66,86,86,92,93,90,90,94,95,96,97,92,98,-1,88,-1,92,-1,91,-1,97,-1,97,-1,-4,-1,92,-1,94,-1,96,-1,97,-1,-4,-1,94,-1,70,-1,83,-1,70,-1,-4,-1,-4,-1,-1
"057905",66,67,73,74,76,77,84,84,92,93,90,89,57,58,67,69,67,68,81,80,89,90,87,85,65,66,72,73,75,76,83,83,92,93,90,89,68,68,72,73,77,78,87,87,94,94,94,93,68,69,75,75,78,79,85,85,93,94,91,90,69,69,76,81,76,77,87,89,92,96,96,88,58,61,58,63,72,76,75,78,83,85,88,88,64,65,75,75,75,76,81,81,91,92,86,85,47,54,59,62,61,68,75,77,89,89,82,85,39,37,46,46,56,55,64,61,66,65,66,62,83,83,89,91,87,87,93,93,96,96,94,91,-1,74,-1,79,-1,84,-1,87,-1,93,-1,90,-1,79,-1,82,-1,87,-1,88,-1,94,-1,93,-1,86,-1,91,-1,93,-1,93,-1,97,-1,94
"057906",68,68,73,72,77,78,89,88,92,92,91,92,67,66,72,70,76,76,89,88,92,92,92,93,65,65,70,69,75,75,86,86,90,90,90,91,70,69,72,71,78,79,91,91,92,93,94,95,71,70,73,76,80,82,87,87,90,90,89,89,36,56,-4,75,64,56,90,81,80,67,-1,-1,60,59,63,58,74,78,78,75,78,44,81,76,67,66,75,72,76,76,86,85,92,90,89,90,51,49,61,56,64,64,82,80,89,87,85,86,35,39,43,39,48,56,63,65,63,62,71,74,78,79,88,85,84,84,88,93,98,95,82,87,-1,86,-1,81,-1,91,-1,94,-1,-4,-1,95,-1,92,-1,-4,-1,92,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057907",71,70,72,74,79,78,92,90,91,94,95,94,64,64,67,70,73,73,91,90,90,92,95,94,69,68,68,72,78,77,91,89,90,92,95,93,71,70,70,72,79,79,93,92,92,94,97,95,74,72,72,74,82,81,92,90,91,94,96,94,68,67,58,79,75,76,89,89,89,94,-1,86,64,59,35,45,77,73,82,75,70,76,81,87,71,70,74,76,79,78,90,89,91,94,93,92,55,52,55,59,67,65,87,83,86,90,92,90,41,46,36,48,60,62,75,77,69,73,83,83,83,84,87,92,87,88,95,94,95,96,95,93,-1,75,-1,82,-1,84,-1,89,-1,-4,-1,87,-1,83,-1,90,-1,89,-1,93,-1,97,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057909",79,79,84,85,85,86,93,92,96,96,95,95,71,71,79,78,78,79,92,90,94,94,94,94,73,74,79,80,81,82,90,89,94,94,94,94,80,80,84,84,86,86,94,94,97,96,97,97,74,75,78,81,82,83,90,90,95,95,94,94,79,79,89,87,85,83,91,91,95,96,98,98,65,67,63,65,78,81,81,81,77,79,90,90,78,77,85,86,85,85,92,90,95,96,93,93,60,58,70,68,71,71,86,83,93,92,91,90,54,56,63,64,69,72,81,80,80,81,84,82,88,88,93,93,92,92,97,96,98,98,97,96,-1,83,-1,90,-1,88,-1,93,-1,98,-1,98,-1,91,-1,94,-1,95,-1,96,-1,99,-1,98,-1,84,-1,89,-1,95,-1,92,-1,-4,-1,-4
"057910",72,73,79,80,82,83,88,88,92,93,92,93,69,69,77,78,78,78,88,88,90,93,92,92,68,69,75,77,79,81,85,85,90,92,91,92,74,75,78,79,83,84,91,90,93,93,95,97,69,71,76,78,81,82,86,86,91,92,92,93,71,78,83,83,83,87,93,91,96,89,86,-4,61,64,65,66,77,80,78,79,83,83,88,91,70,72,80,82,81,82,85,85,91,93,89,90,60,62,69,70,74,75,82,81,88,88,89,90,45,52,56,61,63,71,72,74,67,72,74,82,83,82,90,90,88,88,93,92,95,96,94,94,-1,82,-1,88,-1,88,-1,93,-1,95,-1,95,-1,93,-1,94,-1,96,-1,97,-1,98,-1,98,-1,80,-1,83,-1,85,-1,80,-1,-4,-1,-1
"057911",98,98,98,97,99,99,99,99,99,-4,-4,-4,93,94,86,-4,-4,94,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,98,98,97,97,99,99,-4,-4,99,-4,-4,-4,94,96,94,93,97,98,97,-4,98,-4,-4,-4,-4,91,-1,88,-4,-4,-4,-4,-1,-4,-1,-1,86,85,-1,-1,-4,92,-4,92,-1,-1,-1,-1,98,98,98,98,99,99,99,99,99,-4,99,-4,91,90,90,91,97,96,98,97,97,99,-4,-4,87,86,88,83,94,95,95,95,93,97,96,99,98,98,98,98,99,99,99,99,99,-4,99,-4,-1,98,-1,95,-1,-4,-1,98,-1,-4,-1,-4,-1,94,-1,95,-1,-4,-1,96,-1,-4,-1,-4,-1,80,-1,-1,-1,80,-1,-4,-1,-1,-1,-1
"057912",70,69,77,78,79,80,87,86,94,94,92,91,61,63,72,74,70,72,86,86,92,93,89,88,67,67,74,75,78,78,86,84,93,93,92,90,70,70,74,76,79,80,89,88,94,95,95,95,68,67,75,75,79,79,86,85,94,93,92,91,84,79,88,84,94,87,94,90,-4,-4,91,97,57,56,57,57,72,74,76,75,85,85,88,89,69,69,80,80,79,80,86,84,94,94,89,88,56,54,65,63,70,69,81,78,91,90,88,87,45,39,55,50,64,59,72,68,72,73,78,72,80,80,88,90,86,86,93,91,97,97,94,92,-1,74,-1,90,-1,81,-1,88,-1,97,-1,89,-1,88,-1,89,-1,94,-1,93,-1,98,-1,95,-1,57,-1,44,-1,62,-1,95,-1,89,-1,-4
"057913",54,65,65,78,65,74,82,87,90,93,86,90,53,63,64,77,63,72,82,86,90,93,85,88,53,64,63,78,64,74,81,86,89,94,84,89,55,66,64,77,65,74,86,89,92,95,90,92,59,73,66,84,72,80,83,89,92,99,88,94,56,47,-1,17,63,53,75,72,-1,67,-1,88,45,72,52,75,67,85,63,85,68,95,83,88,53,64,65,78,65,73,78,85,87,92,82,87,42,54,56,68,56,65,75,82,86,90,78,88,21,61,31,64,32,75,48,83,50,72,60,71,57,75,80,67,62,82,76,92,78,82,67,82,-1,-4,-1,-4,-1,-4,-1,-4,-1,-1,-1,-1,-1,-4,-1,-4,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057914",76,78,81,83,84,86,91,91,93,95,93,93,69,71,75,78,78,81,90,90,91,94,93,90,72,75,77,80,82,85,89,89,91,94,93,92,77,79,80,82,85,87,93,93,94,95,96,95,74,77,78,82,84,87,90,90,93,94,93,94,74,77,80,82,80,85,90,88,91,92,97,97,64,68,61,66,79,84,79,80,74,80,88,91,74,76,82,84,83,86,90,89,93,94,91,90,57,60,66,68,71,76,83,83,88,90,87,86,48,54,54,56,66,73,79,80,71,76,79,80,83,83,89,91,89,90,95,94,96,97,94,94,-1,82,-1,87,-1,91,-1,93,-1,96,-1,92,-1,92,-1,94,-1,95,-1,95,-1,98,-1,98,-1,83,-1,86,-1,90,-1,90,-1,-4,-1,82
"057916",87,86,90,91,92,92,94,94,97,98,96,95,78,78,84,83,86,86,92,91,95,96,94,94,80,80,84,85,89,89,91,90,95,96,94,93,87,87,89,89,92,93,95,94,97,98,98,97,81,81,85,86,90,91,91,90,96,97,95,93,95,88,98,-4,97,88,98,98,97,-4,-4,-4,71,70,60,62,86,87,80,80,84,84,92,86,86,85,91,92,92,92,93,93,97,98,95,93,71,69,77,75,83,83,87,85,94,94,91,88,71,71,73,75,84,85,89,87,85,87,88,88,96,96,98,98,98,98,99,98,99,-4,98,99,-1,89,-1,93,-1,94,-1,95,-1,99,-1,97,-1,93,-1,93,-1,98,-1,96,-1,99,-1,97,-1,81,-1,85,-1,93,-1,93,-1,88,-1,-1
"057919",93,93,91,94,97,96,98,98,97,97,98,99,81,86,67,84,89,90,98,90,-4,-4,-4,94,83,86,73,88,96,95,91,94,96,82,96,94,92,92,90,92,97,96,98,99,98,97,99,-4,83,78,80,86,91,91,95,93,90,94,95,94,-4,-4,-1,-1,-4,-4,-4,-4,-1,-1,-1,-1,52,36,33,57,76,64,71,64,80,-1,-1,-1,94,94,91,96,97,97,98,98,97,97,98,98,68,68,59,76,81,86,93,90,89,82,86,-4,59,62,52,62,71,78,96,90,73,75,-4,67,95,96,93,97,98,97,99,-4,97,98,98,-4,-1,-4,-1,-4,-1,-4,-1,-4,-1,-1,-1,-4,-1,96,-1,94,-1,99,-1,99,-1,97,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"057922",94,93,95,95,96,95,98,98,99,99,99,98,76,78,80,86,84,83,97,95,97,96,96,-4,85,80,91,85,89,87,96,93,-4,97,99,96,94,93,95,95,96,95,99,98,99,99,-4,99,88,85,90,88,92,90,96,95,-4,98,98,97,95,93,91,-4,-4,-4,-4,93,-4,-1,-4,-1,76,67,63,63,86,81,85,77,93,91,98,95,94,92,95,95,96,95,98,97,99,99,99,98,77,70,78,78,85,80,93,90,96,96,98,96,69,67,71,68,78,77,91,90,89,91,95,94,95,94,97,96,97,96,99,98,99,99,99,98,-1,93,-1,95,-1,97,-1,98,-1,-4,-1,97,-1,96,-1,97,-1,98,-1,98,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"058902",77,76,84,85,83,83,91,91,-4,96,95,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,65,75,72,76,78,84,87,-4,-4,90,89,76,75,76,75,80,80,96,98,-4,90,-4,-4,71,67,75,71,79,77,89,91,-4,93,92,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,83,-1,67,-1,-1,-1,-1,-1,78,77,92,91,85,86,87,86,-4,-4,92,93,58,42,65,63,66,61,84,85,-4,93,-1,83,44,20,60,-1,56,40,56,40,-1,-1,-1,-1,86,90,-4,-4,89,95,94,93,-4,-4,-4,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"058905",88,92,-4,98,95,97,94,97,96,98,94,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87,89,-4,96,94,94,93,94,95,-4,94,92,86,95,-4,-4,93,97,91,97,-4,-4,-4,-4,84,85,-4,95,91,91,91,93,94,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,89,83,-1,-4,-4,91,89,91,-1,-1,-1,-1,91,90,-4,97,97,96,97,95,92,96,87,88,77,90,-4,-4,86,93,89,96,-4,-4,-4,-1,56,-4,-1,-1,67,-4,67,-4,-1,-1,-1,-1,93,97,-4,-4,99,-4,96,99,96,96,89,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"058906",60,57,71,65,70,70,85,85,90,84,85,81,53,45,57,52,66,62,83,89,95,79,81,60,53,50,63,57,65,64,82,80,88,83,82,80,62,60,66,66,71,69,88,87,92,86,93,89,54,52,65,59,66,65,82,82,88,82,83,79,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,40,37,50,57,51,62,62,63,-1,-1,60,67,58,55,75,64,69,70,82,82,88,83,78,73,46,42,57,54,58,58,79,79,86,77,80,72,38,30,43,40,54,50,66,68,63,55,61,47,84,80,91,93,88,86,95,95,94,94,94,95,-1,92,-1,-1,-1,92,-1,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"058909",82,82,88,86,90,89,96,96,-4,-4,97,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,77,85,82,87,85,98,95,-4,-4,-4,-4,88,79,91,88,92,85,-4,96,-4,-4,89,-4,81,75,88,85,89,83,97,94,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4,78,-1,-1,-4,89,-4,89,-1,-1,-1,-1,78,84,87,85,88,92,94,96,-4,-4,-4,-4,70,66,83,77,82,80,95,92,-4,-4,90,-4,78,69,92,70,89,-4,94,88,-4,-4,-1,-1,83,89,89,88,91,95,95,98,-4,-4,95,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"059901",63,61,73,69,73,72,83,83,89,91,87,86,55,30,-1,27,63,55,84,85,-1,86,83,-1,58,56,68,63,69,68,80,80,87,90,85,84,64,62,70,66,73,72,87,86,88,90,91,92,59,58,70,66,71,70,81,81,87,90,86,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,48,42,43,63,65,65,67,61,78,67,76,62,61,76,72,72,72,80,81,90,92,83,80,45,41,57,48,59,56,75,73,84,84,78,77,41,42,47,52,61,60,72,75,66,76,83,70,81,81,88,87,84,87,94,95,97,98,92,97,-1,87,-1,83,-1,87,-1,-4,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"059902",96,92,-4,-4,97,95,97,95,-1,-1,-4,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,97,92,-4,-4,97,94,-4,97,-1,-1,-4,86,98,93,-4,-4,98,95,-4,95,-1,-1,-4,92,95,93,-4,-4,98,95,98,98,-1,-1,-4,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-4,-4,-1,-1,-4,-4,-4,-4,-1,-1,-1,-1,93,92,-4,-4,97,96,93,96,-1,-1,-4,-4,93,83,-1,-1,93,92,-4,92,-1,-1,-4,-1,-4,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,-1,96,90,-4,-4,96,95,96,90,-1,-1,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
