DISTRICT,DA311TA10R,DA311TA11R,DA311TC10R,DA311TC11R,DA311TM10R,DA311TM11R,DA311TR10R,DA311TR11R,DA311TS10R,DA311TS11R,DA311TW10R,DA311TW11R,DB311TA10R,DB311TA11R,DB311TC10R,DB311TC11R,DB311TM10R,DB311TM11R,DB311TR10R,DB311TR11R,DB311TS10R,DB311TS11R,DB311TW10R,DB311TW11R,DE311TA10R,DE311TA11R,DE311TC10R,DE311TC11R,DE311TM10R,DE311TM11R,DE311TR10R,DE311TR11R,DE311TS10R,DE311TS11R,DE311TW10R,DE311TW11R,DF311TA10R,DF311TA11R,DF311TC10R,DF311TC11R,DF311TM10R,DF311TM11R,DF311TR10R,DF311TR11R,DF311TS10R,DF311TS11R,DF311TW10R,DF311TW11R,DH311TA10R,DH311TA11R,DH311TC10R,DH311TC11R,DH311TM10R,DH311TM11R,DH311TR10R,DH311TR11R,DH311TS10R,DH311TS11R,DH311TW10R,DH311TW11R,DI311TA10R,DI311TA11R,DI311TC10R,DI311TC11R,DI311TM10R,DI311TM11R,DI311TR10R,DI311TR11R,DI311TS10R,DI311TS11R,DI311TW10R,DI311TW11R,DL311TA10R,DL311TA11R,DL311TC10R,DL311TC11R,DL311TM10R,DL311TM11R,DL311TR10R,DL311TR11R,DL311TS10R,DL311TS11R,DL311TW10R,DL311TW11R,DM311TA10R,DM311TA11R,DM311TC10R,DM311TC11R,DM311TM10R,DM311TM11R,DM311TR10R,DM311TR11R,DM311TS10R,DM311TS11R,DM311TW10R,DM311TW11R,DR311TA10R,DR311TA11R,DR311TC10R,DR311TC11R,DR311TM10R,DR311TM11R,DR311TR10R,DR311TR11R,DR311TS10R,DR311TS11R,DR311TW10R,DR311TW11R,DS311TA10R,DS311TA11R,DS311TC10R,DS311TC11R,DS311TM10R,DS311TM11R,DS311TR10R,DS311TR11R,DS311TS10R,DS311TS11R,DS311TW10R,DS311TW11R,DW311TA10R,DW311TA11R,DW311TC10R,DW311TC11R,DW311TM10R,DW311TM11R,DW311TR10R,DW311TR11R,DW311TS10R,DW311TS11R,DW311TW10R,DW311TW11R,D2311TA10R,D2311TA11R,D2311TC10R,D2311TC11R,D2311TM10R,D2311TM11R,D2311TR10R,D2311TR11R,D2311TS10R,D2311TS11R,D2311TW10R,D2311TW11R,D3311TA10R,D3311TA11R,D3311TC10R,D3311TC11R,D3311TM10R,D3311TM11R,D3311TR10R,D3311TR11R,D3311TS10R,D3311TS11R,D3311TW10R,D3311TW11R,D4311TA10R,D4311TA11R,D4311TC10R,D4311TC11R,D4311TM10R,D4311TM11R,D4311TR10R,D4311TR11R,D4311TS10R,D4311TS11R,D4311TW10R,D4311TW11R
"003903",78,78,83,79,87,87,92,92,94,95,95,95,68,68,77,66,80,81,89,89,91,91,93,93,73,73,78,73,83,84,90,89,92,93,94,94,79,78,81,77,87,87,93,93,94,95,96,98,74,75,78,75,85,87,90,90,92,94,95,95,-1,67,-1,67,-1,75,-1,-4,-1,-4,-1,-1,58,64,53,57,76,81,79,81,68,74,91,92,78,77,85,81,86,87,92,90,94,95,94,93,60,60,67,58,74,75,86,85,88,89,91,92,64,68,70,68,80,81,88,87,80,85,88,90,89,88,94,92,92,92,97,96,97,98,97,98,-1,83,-1,86,-1,90,-1,92,-1,97,-1,-4,-1,96,-1,-4,-1,99,-1,97,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003904",80,78,88,86,89,88,92,91,96,96,86,88,67,58,75,70,90,75,76,83,-4,88,-1,83,77,71,86,81,87,83,90,87,95,93,83,84,84,83,86,88,92,90,95,93,96,97,92,95,76,69,76,81,86,89,92,89,-4,-4,-4,69,80,-1,-1,-1,80,-1,-4,-1,-1,-1,-1,-1,67,50,-1,-1,-4,90,83,60,-1,-1,-1,80,77,74,89,85,87,85,90,89,97,95,80,81,58,49,73,68,75,71,83,76,90,91,68,70,61,43,66,73,76,59,86,79,91,76,91,68,81,80,88,88,89,88,93,91,96,96,85,89,-1,53,-1,63,-1,65,-1,88,-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003905",73,71,81,77,83,81,90,90,94,94,90,88,62,59,73,61,73,72,92,86,89,91,85,79,69,68,76,75,81,79,88,88,92,95,88,87,73,73,76,76,84,82,93,91,95,96,92,93,71,70,76,77,84,81,86,88,93,96,92,90,60,-1,-1,-1,60,-1,-4,-1,-1,-1,-1,-1,50,47,46,51,72,71,71,73,88,85,90,71,74,69,85,77,83,81,89,88,93,92,88,85,53,49,67,58,69,66,83,79,90,87,81,79,43,39,44,38,65,59,71,73,76,69,62,71,81,77,90,81,86,85,95,93,98,92,90,89,-1,75,-1,-1,-1,75,-1,-4,-1,-1,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003906",75,76,77,82,82,84,92,91,94,95,94,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74,73,73,81,82,81,91,88,87,89,92,89,79,80,73,82,88,89,97,95,91,95,-4,90,-4,83,-1,80,-4,92,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,72,84,80,76,78,88,87,97,95,87,88,57,46,63,56,66,61,85,80,88,88,88,79,36,39,31,65,49,53,70,61,87,64,69,70,74,77,77,82,82,85,92,91,94,94,94,88,-1,20,-1,-1,-1,40,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003907",82,84,87,87,88,90,92,94,96,97,93,92,68,58,77,58,78,74,88,97,-4,90,70,89,76,79,80,82,84,88,89,93,94,95,90,90,84,87,88,88,89,92,94,97,98,99,96,95,74,76,72,80,85,85,89,91,91,96,89,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,50,83,13,77,78,83,72,-1,-1,75,83,81,81,86,87,87,89,90,92,94,95,90,87,62,58,70,62,73,74,83,85,91,90,86,84,40,50,60,61,55,72,71,81,81,85,48,64,84,86,89,89,89,92,93,95,96,97,95,93,-1,92,-1,-4,-1,-4,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"004901",74,74,84,88,81,82,89,88,92,96,94,85,67,57,89,89,74,76,88,81,86,-4,-4,67,69,68,80,85,78,78,85,84,88,93,92,81,75,74,83,86,82,82,92,89,94,95,96,88,67,66,77,81,76,76,85,84,89,93,94,84,75,50,-1,-1,86,88,88,88,-1,-1,-1,-1,59,62,67,67,73,83,71,71,50,-1,-4,76,73,74,85,89,80,82,86,86,91,96,92,82,57,49,74,74,67,64,81,75,86,90,90,72,28,36,52,53,44,54,57,61,62,80,73,58,78,79,88,92,83,86,91,90,94,97,92,86,-1,81,-1,92,-1,81,-1,90,-1,89,-1,-4,-1,85,-1,90,-1,93,-1,96,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"005901",84,81,91,89,88,85,97,96,98,99,-4,97,50,-1,-1,-1,67,-1,83,-1,-1,-1,-1,-1,69,69,78,83,80,77,94,93,97,97,-4,87,84,78,88,88,90,82,97,97,97,-4,-4,-4,71,69,60,60,-4,75,-4,-4,-1,-1,-1,-1,-1,-4,-1,-1,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,83,92,90,87,87,96,94,99,98,-4,94,64,53,78,75,74,64,92,88,96,98,-4,93,50,44,72,59,62,66,84,76,89,-4,-4,88,84,81,92,90,88,85,97,95,98,99,-4,97,-1,88,-1,-4,-1,88,-1,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"005902",82,81,84,85,90,86,94,94,94,92,97,96,-1,60,-1,-1,-1,60,-1,-4,-1,-1,-1,-1,72,67,79,70,85,76,88,88,92,74,94,89,83,82,84,85,90,86,96,96,95,90,97,96,77,89,67,87,86,91,91,97,63,91,-1,-4,89,-1,-4,-1,89,-1,-4,-1,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,80,80,84,85,89,86,93,91,94,94,97,96,53,56,60,61,73,68,84,84,82,78,90,88,45,41,48,44,74,64,80,73,67,59,93,91,82,81,84,85,90,86,94,93,96,92,97,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"005904",88,86,89,88,94,92,95,95,99,95,99,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,81,79,78,85,90,88,91,92,98,95,-4,90,86,86,90,87,92,92,95,96,-4,98,-4,95,70,65,70,66,84,79,86,84,96,86,96,82,-1,80,-1,-1,-1,-4,-1,-4,-1,-1,-1,-1,62,40,38,50,73,52,77,56,-1,40,83,60,89,85,89,89,95,92,95,94,98,94,97,97,68,62,67,66,86,79,87,84,97,89,96,83,91,82,-4,94,91,93,-4,93,-4,93,-4,80,93,93,95,97,97,96,98,98,-4,99,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"006902",80,77,85,85,85,83,97,95,96,96,96,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,71,86,83,83,78,94,94,93,96,95,88,79,76,83,85,86,82,96,93,97,95,93,94,57,57,75,57,70,60,87,-4,88,-4,-1,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,79,86,84,85,84,97,97,95,97,-4,91,47,47,60,50,61,58,92,94,92,90,82,87,52,50,54,54,67,66,93,79,-4,80,75,88,83,79,85,87,87,85,98,95,97,96,96,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
