DISTRICT,DA311CA12R,DA311CC12R,DA311CM12R,DA311CR12R,DA311CS12R,DA311TA12R,DA311TC12R,DA311TM12R,DA311TR12R,DA311TS12R,DB311CA12R,DB311CC12R,DB311CM12R,DB311CR12R,DB311CS12R,DB311TA12R,DB311TC12R,DB311TM12R,DB311TR12R,DB311TS12R,DE311CA12R,DE311CC12R,DE311CM12R,DE311CR12R,DE311CS12R,DE311TA12R,DE311TC12R,DE311TM12R,DE311TR12R,DE311TS12R,DF311CA12R,DF311CC12R,DF311CM12R,DF311CR12R,DF311CS12R,DF311TA12R,DF311TC12R,DF311TM12R,DF311TR12R,DF311TS12R,DH311CA12R,DH311CC12R,DH311CM12R,DH311CR12R,DH311CS12R,DH311TA12R,DH311TC12R,DH311TM12R,DH311TR12R,DH311TS12R,DI311CA12R,DI311CC12R,DI311CM12R,DI311CR12R,DI311CS12R,DI311TA12R,DI311TC12R,DI311TM12R,DI311TR12R,DI311TS12R,DL311CA12R,DL311CC12R,DL311CM12R,DL311CR12R,DL311CS12R,DL311TA12R,DL311TC12R,DL311TM12R,DL311TR12R,DL311TS12R,DM311CA12R,DM311CC12R,DM311CM12R,DM311CR12R,DM311CS12R,DM311TA12R,DM311TC12R,DM311TM12R,DM311TR12R,DM311TS12R,DR311CA12R,DR311CC12R,DR311CM12R,DR311CR12R,DR311CS12R,DR311TA12R,DR311TC12R,DR311TM12R,DR311TR12R,DR311TS12R,DS311CA12R,DS311CC12R,DS311CM12R,DS311CR12R,DS311CS12R,DS311TA12R,DS311TC12R,DS311TM12R,DS311TR12R,DS311TS12R,DW311CA12R,DW311CC12R,DW311CM12R,DW311CR12R,DW311CS12R,DW311TA12R,DW311TC12R,DW311TM12R,DW311TR12R,DW311TS12R,D2311CA12R,D2311CC12R,D2311CM12R,D2311CR12R,D2311CS12R,D2311TA12R,D2311TC12R,D2311TM12R,D2311TR12R,D2311TS12R,D3311CA12R,D3311CC12R,D3311CM12R,D3311CR12R,D3311CS12R,D3311TA12R,D3311TC12R,D3311TM12R,D3311TR12R,D3311TS12R,D4311CA12R,D4311CC12R,D4311CM12R,D4311CR12R,D4311CS12R,D4311TA12R,D4311TC12R,D4311TM12R,D4311TR12R,D4311TS12R
"069901",3,5,15,20,33,63,73,80,75,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,4,16,20,28,60,64,80,76,96,5,5,9,23,18,50,59,68,68,91,-3,-3,6,12,21,61,70,76,73,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,6,22,17,50,78,89,94,83,-4,-3,-3,-3,11,11,22,39,56,50,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14,29,57,57,86,71,86,-4,86,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"069902",2,15,9,30,45,75,85,83,96,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,17,-3,27,48,77,83,90,93,-4,4,8,12,40,42,70,72,80,-4,-4,-3,8,4,32,30,67,75,79,91,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,24,5,19,50,81,-4,86,90,-4,-3,4,-3,13,17,60,76,72,91,-4,-3,20,-3,20,20,80,-4,80,80,-4,4,23,14,29,62,83,95,86,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070801",-3,7,7,17,50,67,77,70,93,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,11,56,67,78,78,-4,-4,-3,10,10,40,50,60,70,70,90,-4,-3,-3,-3,29,43,43,57,43,86,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,5,5,5,50,70,80,70,95,95,-3,-3,-3,13,25,50,63,56,88,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,11,11,16,58,79,89,79,95,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070901",5,26,21,14,39,74,89,82,95,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,28,28,14,38,83,90,86,96,97,-3,19,10,10,24,76,90,90,90,95,11,39,33,18,39,72,89,78,94,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,35,35,18,59,71,88,71,-4,-4,-3,13,13,-3,27,73,80,80,93,93,-3,40,20,40,20,80,-4,80,-4,-4,-3,17,11,11,44,78,94,83,94,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070903",5,15,17,14,40,67,75,75,91,92,2,5,8,5,19,43,59,58,81,84,2,7,9,6,28,54,67,65,89,88,5,11,14,19,36,65,74,75,94,93,2,9,12,10,32,58,69,69,90,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,-3,9,9,20,50,6,18,20,11,44,68,77,76,89,92,1,4,5,5,21,51,64,63,87,88,-3,3,-3,3,3,15,34,34,65,68,11,26,27,23,57,84,89,89,97,98,-3,10,20,10,50,90,90,-4,-4,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070905",6,14,19,19,41,74,83,82,92,96,6,6,17,28,44,78,83,83,-4,-4,6,14,19,16,35,69,80,78,90,95,5,11,15,19,36,76,84,82,95,95,5,12,17,14,38,71,81,79,91,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,18,22,18,46,73,82,81,89,97,1,1,2,7,20,49,64,63,84,91,-3,-3,3,3,11,19,28,40,52,74,12,24,24,30,49,84,89,90,90,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070907",1,4,9,16,26,59,68,81,94,96,-3,-3,7,6,19,50,50,87,94,94,-3,-3,6,8,16,49,58,76,90,94,-3,-3,13,16,16,42,52,77,94,97,-3,3,-3,16,6,50,65,68,88,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,14,-3,29,50,67,57,67,2,6,6,16,33,70,78,84,94,96,-3,2,-3,7,18,52,62,70,89,93,-3,-3,-3,14,-3,29,57,71,86,71,3,6,19,23,50,72,78,91,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070908",12,27,31,32,54,85,91,91,96,97,3,13,7,24,36,69,78,82,95,89,5,14,18,15,36,74,83,85,92,93,12,23,30,37,49,88,91,93,99,97,6,16,26,22,39,78,85,86,96,93,22,33,44,56,67,89,89,89,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,31,31,27,58,82,91,89,94,96,1,4,6,9,24,64,76,77,90,89,-3,-3,3,7,11,31,52,56,75,72,14,31,34,35,59,88,93,93,96,98,15,26,26,37,47,90,95,89,95,-4,12,24,35,47,47,94,94,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070909",13,39,39,30,48,-4,-4,-4,-4,-4,17,33,33,33,33,-4,-4,-4,-4,-4,13,31,38,31,31,-4,-4,-4,-4,-4,18,27,27,36,36,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,50,50,25,58,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,58,50,25,67,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070910",7,21,24,25,54,80,87,91,95,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,15,15,22,49,73,80,90,92,95,4,15,18,29,43,75,82,89,96,99,3,10,21,16,49,74,77,87,92,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,27,29,22,65,84,91,94,94,96,2,8,2,10,29,63,78,88,86,92,-3,9,6,9,21,48,73,76,79,94,8,26,25,29,57,82,91,93,95,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070911",7,17,22,23,47,77,86,84,95,96,1,7,11,14,38,71,80,83,96,92,2,9,15,14,35,68,82,79,92,94,6,12,20,28,38,76,84,82,97,95,4,11,15,16,39,69,82,77,92,94,25,38,38,38,50,75,88,75,-4,-4,-3,-3,-3,-3,25,25,38,63,25,63,8,22,24,19,56,78,88,86,93,96,-3,3,4,5,22,52,71,65,88,89,-3,5,1,6,12,37,56,60,81,73,12,24,30,30,56,83,90,89,97,97,8,17,8,33,25,67,92,75,92,-4,20,20,60,60,40,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070912",8,21,26,24,45,78,85,86,94,96,4,9,11,13,29,58,74,75,90,92,4,12,18,15,32,68,79,80,92,93,8,18,23,30,38,80,84,89,97,96,4,15,21,18,38,73,81,83,93,94,13,29,25,50,43,88,-4,88,-4,-4,-3,10,10,-3,17,10,10,20,33,67,9,25,29,18,51,75,86,84,92,95,2,8,8,8,24,59,73,74,88,91,2,3,1,4,10,28,54,47,69,71,12,28,32,29,53,84,90,90,96,97,11,13,33,28,43,93,96,96,96,-4,20,20,60,20,40,80,80,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"070915",6,21,26,24,46,78,86,86,97,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,17,22,19,36,78,85,85,-4,98,4,16,23,27,35,78,86,86,98,98,-3,13,21,21,21,75,79,92,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,26,29,20,57,78,86,86,96,-4,-3,4,4,4,17,48,61,74,96,96,-3,24,15,14,25,52,67,85,90,95,8,23,28,24,51,80,89,86,96,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071801",11,22,29,26,73,85,87,89,96,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,24,44,36,68,80,80,88,92,96,8,20,28,31,68,81,84,84,96,96,6,17,26,20,74,83,86,89,97,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,25,30,20,80,90,90,95,95,-4,-3,20,20,-3,90,80,80,90,-4,-4,-3,13,13,-3,50,75,75,75,88,88,17,50,33,50,67,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071803",-3,1,8,4,18,57,64,71,83,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,1,9,3,16,56,62,70,82,95,-3,-3,12,4,12,57,57,81,87,95,-3,1,9,3,16,56,63,70,83,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,9,-3,9,31,45,45,31,82,-3,2,6,3,23,57,69,63,79,94,-3,1,8,4,18,56,63,71,82,95,-3,-3,13,-3,-3,67,63,-4,75,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071804",-3,2,2,5,11,48,58,61,83,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,1,2,5,7,42,51,56,83,76,-3,-3,-3,5,7,42,48,53,87,76,-3,1,2,5,9,46,56,59,82,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,-3,-3,-3,25,13,-3,3,5,5,17,55,70,71,79,85,-3,2,2,5,11,47,57,60,82,80,-3,-3,-3,10,-3,30,38,63,70,50,-3,17,-3,-3,60,83,-4,-4,-4,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071806",5,16,16,16,60,74,86,82,95,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,14,16,18,58,71,85,77,96,98,2,8,6,12,48,72,81,81,96,-4,5,17,16,17,61,75,88,82,95,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,20,-3,60,33,50,80,7,22,24,19,69,75,90,82,94,97,-3,-3,-3,-3,29,38,71,50,83,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,17,8,8,50,67,67,83,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071807",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"071809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"071901",5,11,21,13,39,69,77,81,88,95,8,18,18,25,45,75,82,82,92,-4,3,10,19,12,37,67,76,80,88,95,3,6,17,16,33,69,75,80,92,94,4,11,21,13,38,69,77,81,89,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,1,3,-3,5,23,38,49,46,78,6,16,24,11,44,69,79,81,85,97,-3,3,7,3,18,50,63,67,80,92,-3,1,3,1,5,19,32,50,60,74,13,23,29,23,57,63,77,68,87,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071902",7,15,24,20,45,73,80,85,90,95,4,11,14,16,42,66,75,77,91,95,4,9,19,14,35,67,75,82,87,93,8,13,23,24,39,73,79,86,93,95,6,13,22,18,41,71,79,84,89,94,16,26,32,21,47,89,95,89,95,95,-3,3,5,1,8,30,45,63,53,76,7,18,25,15,50,72,81,84,88,95,1,5,10,7,26,55,67,74,82,90,1,3,5,5,9,23,36,45,53,66,14,28,37,32,67,83,89,89,93,97,8,14,21,29,53,83,91,91,96,99,29,45,61,47,75,88,91,94,95,99,18,25,25,29,73,71,94,75,88,-4
"071903",4,11,20,14,34,69,80,86,88,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,11,19,13,31,67,78,85,87,93,3,7,16,15,25,67,75,87,92,92,4,11,20,13,34,69,80,86,88,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,9,-3,6,24,59,78,47,78,4,14,23,13,43,72,84,86,85,95,1,1,5,2,13,46,64,76,77,87,2,2,2,-3,7,29,50,60,59,71,-3,20,40,60,40,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071904",4,9,16,13,30,64,77,79,84,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,8,16,13,29,65,77,80,84,93,6,8,17,19,26,65,73,82,87,92,4,9,16,13,30,64,77,79,84,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,1,5,2,8,34,61,66,55,85,2,9,15,8,34,63,80,76,80,95,-3,2,5,2,15,45,66,67,72,89,-3,2,-3,-3,5,17,26,47,46,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071905",6,16,19,20,41,74,83,84,91,96,3,11,9,16,38,67,77,71,94,97,5,14,17,16,36,71,81,83,89,95,6,13,18,24,35,75,82,85,94,96,6,15,19,19,40,74,83,84,91,96,9,30,30,27,50,-4,-4,-4,-4,-4,-3,5,6,3,11,35,58,67,52,83,6,18,20,16,46,73,84,83,89,96,-3,6,5,4,19,58,70,73,78,90,-3,8,4,9,9,38,64,67,72,83,8,25,22,24,57,78,91,86,93,98,9,29,24,38,62,88,94,91,94,97,-3,30,20,30,50,80,80,-4,80,90,-3,17,17,50,67,83,-4,-4,83,-4
"071906",-3,4,10,6,46,57,69,72,88,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,4,10,6,46,57,69,72,88,97,-3,2,14,12,40,57,65,72,98,-4,-3,4,11,7,46,59,70,72,89,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-1,-3,-3,33,-3,-1,60,-3,6,8,2,50,58,72,72,81,94,-3,-3,4,2,24,31,50,50,77,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071907",3,11,14,12,39,68,79,80,90,96,20,40,20,40,40,80,80,80,80,-4,3,8,12,8,35,66,78,79,88,94,3,8,11,15,30,66,76,79,94,95,3,10,13,11,38,67,78,79,90,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,4,-3,9,16,38,56,35,76,3,14,17,9,49,70,82,80,85,96,-3,3,4,2,18,47,64,64,82,91,-3,8,2,11,8,35,46,59,79,72,4,20,23,26,55,80,91,89,95,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071908",8,19,25,16,39,81,93,88,89,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,19,25,15,40,80,93,88,89,97,5,14,20,15,27,83,90,87,90,96,8,19,25,16,39,81,93,88,89,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-3,-3,-3,8,42,72,68,44,88,10,23,28,17,50,78,95,89,87,98,2,8,10,2,20,67,88,81,80,96,11,-3,13,-3,13,44,88,75,50,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"071909",5,13,19,17,45,74,81,84,92,96,2,10,6,17,50,72,80,78,90,96,3,11,17,14,41,71,79,82,90,95,5,10,19,20,39,74,80,85,95,95,5,13,19,16,44,73,81,84,92,96,-3,-3,-3,9,18,55,82,64,82,91,-3,2,5,-3,11,26,47,54,42,76,5,16,20,13,51,73,83,83,89,96,1,4,8,7,29,59,70,74,86,93,1,2,2,3,7,19,34,42,55,69,9,20,25,23,56,75,84,86,90,97,25,50,25,50,63,88,-4,88,-4,-4,16,39,32,31,61,88,87,87,97,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"072801",3,8,10,13,35,61,78,69,87,93,-3,-3,3,5,15,31,66,39,68,77,2,6,9,11,33,58,76,67,87,93,4,7,10,15,29,62,76,69,90,92,2,4,9,11,31,59,74,68,88,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,3,7,7,22,53,68,67,85,91,3,8,10,9,42,59,81,68,84,95,1,5,7,9,30,57,75,66,86,92,1,3,4,5,10,21,49,40,60,74,6,14,14,18,46,69,88,74,89,97,-3,13,13,-3,38,50,56,63,88,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"072802",-3,-3,-3,6,6,32,65,39,72,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,6,7,25,64,33,69,71,-3,-3,-3,9,11,36,56,50,-4,78,-3,-3,-3,-3,10,18,50,20,64,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,25,75,25,29,75,-3,-3,-3,6,7,29,60,31,69,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,14,-3,50,86,63,86,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"072901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"072902",7,11,23,18,45,73,84,85,91,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,10,21,16,36,74,82,87,93,98,10,12,29,26,48,71,79,86,95,97,6,7,19,16,40,68,78,85,88,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,9,15,7,41,76,91,84,87,98,-3,1,12,6,24,61,74,80,87,96,-3,-3,-3,-3,18,36,64,55,73,91,8,16,27,20,50,80,91,85,95,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"072903",13,29,28,28,56,83,92,90,94,98,-3,14,-3,29,43,71,86,71,-4,-4,5,15,15,13,35,69,84,83,88,95,11,25,27,31,49,83,90,90,96,98,4,16,18,13,38,68,84,81,91,97,-3,33,-3,-3,33,-4,-4,-4,-4,-4,-3,-3,15,-3,-3,8,62,69,23,69,14,34,29,24,63,84,93,91,92,98,2,8,6,8,23,61,79,76,85,96,6,23,6,23,17,58,77,77,90,90,17,36,33,34,66,90,95,94,96,99,-3,11,11,16,33,79,95,79,-4,-4,17,17,50,17,17,33,67,-4,33,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"072904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"072908",9,27,45,23,55,91,91,91,95,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,36,55,9,64,82,82,82,91,-4,8,33,67,33,75,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,20,20,10,30,80,80,80,90,-4,-3,-3,-3,17,17,67,67,67,83,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,29,47,29,53,94,94,94,94,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"072909",-3,24,24,10,32,93,93,97,-4,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,25,25,-3,25,83,83,92,-4,92,-3,14,21,14,31,93,93,93,-4,92,-3,25,17,-3,42,83,83,92,-4,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,33,27,7,33,93,93,-4,-4,-4,-3,17,-3,-3,33,83,83,92,-4,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,25,31,13,27,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"072910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"073901",1,25,24,13,40,74,84,89,90,96,5,10,15,10,25,67,75,90,90,95,2,26,23,12,39,72,81,89,88,95,3,26,29,14,37,75,83,89,92,97,-3,28,23,13,41,73,82,87,88,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,25,20,12,43,74,85,90,88,95,2,27,21,10,39,69,79,88,88,95,8,31,31,33,31,46,46,77,-4,85,-3,43,43,14,64,93,-4,-4,93,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
