DISTRICT,DA311CA12R,DA311CC12R,DA311CM12R,DA311CR12R,DA311CS12R,DA311TA12R,DA311TC12R,DA311TM12R,DA311TR12R,DA311TS12R,DB311CA12R,DB311CC12R,DB311CM12R,DB311CR12R,DB311CS12R,DB311TA12R,DB311TC12R,DB311TM12R,DB311TR12R,DB311TS12R,DE311CA12R,DE311CC12R,DE311CM12R,DE311CR12R,DE311CS12R,DE311TA12R,DE311TC12R,DE311TM12R,DE311TR12R,DE311TS12R,DF311CA12R,DF311CC12R,DF311CM12R,DF311CR12R,DF311CS12R,DF311TA12R,DF311TC12R,DF311TM12R,DF311TR12R,DF311TS12R,DH311CA12R,DH311CC12R,DH311CM12R,DH311CR12R,DH311CS12R,DH311TA12R,DH311TC12R,DH311TM12R,DH311TR12R,DH311TS12R,DI311CA12R,DI311CC12R,DI311CM12R,DI311CR12R,DI311CS12R,DI311TA12R,DI311TC12R,DI311TM12R,DI311TR12R,DI311TS12R,DL311CA12R,DL311CC12R,DL311CM12R,DL311CR12R,DL311CS12R,DL311TA12R,DL311TC12R,DL311TM12R,DL311TR12R,DL311TS12R,DM311CA12R,DM311CC12R,DM311CM12R,DM311CR12R,DM311CS12R,DM311TA12R,DM311TC12R,DM311TM12R,DM311TR12R,DM311TS12R,DR311CA12R,DR311CC12R,DR311CM12R,DR311CR12R,DR311CS12R,DR311TA12R,DR311TC12R,DR311TM12R,DR311TR12R,DR311TS12R,DS311CA12R,DS311CC12R,DS311CM12R,DS311CR12R,DS311CS12R,DS311TA12R,DS311TC12R,DS311TM12R,DS311TR12R,DS311TS12R,DW311CA12R,DW311CC12R,DW311CM12R,DW311CR12R,DW311CS12R,DW311TA12R,DW311TC12R,DW311TM12R,DW311TR12R,DW311TS12R,D2311CA12R,D2311CC12R,D2311CM12R,D2311CR12R,D2311CS12R,D2311TA12R,D2311TC12R,D2311TM12R,D2311TR12R,D2311TS12R,D3311CA12R,D3311CC12R,D3311CM12R,D3311CR12R,D3311CS12R,D3311TA12R,D3311TC12R,D3311TM12R,D3311TR12R,D3311TS12R,D4311CA12R,D4311CC12R,D4311CM12R,D4311CR12R,D4311CS12R,D4311TA12R,D4311TC12R,D4311TM12R,D4311TR12R,D4311TS12R
"003903",8,17,23,21,43,71,80,81,95,94,-3,4,11,13,23,56,66,69,93,90,3,8,14,14,30,62,72,75,93,92,9,15,25,27,41,75,80,84,96,94,3,9,16,15,35,68,76,83,94,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,7,6,-3,39,50,67,63,69,7,19,21,15,45,67,79,79,93,94,1,4,4,7,16,48,61,64,89,87,1,7,3,16,14,43,56,64,84,81,16,32,35,32,63,84,92,88,96,96,13,20,33,33,47,80,93,87,-4,93,25,40,60,30,55,90,90,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003904",6,18,16,21,48,69,82,75,91,97,-3,-3,-3,17,17,50,67,67,-4,-4,3,11,6,9,37,61,77,69,88,99,5,16,17,28,43,74,81,83,96,99,-3,-3,-3,-3,-1,50,40,60,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,20,16,14,52,64,82,67,86,95,1,3,2,2,23,48,69,53,81,94,-3,4,4,-3,23,26,50,44,48,88,6,19,18,22,51,69,83,75,91,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003905",5,11,17,12,34,68,77,78,89,94,-3,-3,6,3,18,64,76,79,91,94,4,8,15,10,27,63,75,76,88,95,6,9,18,14,22,64,68,76,94,96,3,8,18,11,30,66,72,75,89,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,-3,-3,46,69,69,58,92,5,14,17,10,44,71,85,80,85,93,-3,1,4,2,14,51,64,65,83,91,-3,4,-3,-3,12,27,52,38,56,73,9,19,20,15,43,72,83,82,88,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003906",4,8,13,26,48,72,81,75,93,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,5,5,14,35,62,75,65,95,90,4,12,20,37,52,89,88,92,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,7,15,44,56,74,59,85,85,-3,-3,-3,14,19,50,62,54,86,85,-3,-3,-3,-3,-3,17,17,17,50,50,2,6,13,24,45,71,81,74,94,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"003907",8,15,26,25,51,79,88,87,96,94,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,9,20,18,49,73,83,80,94,90,3,7,26,32,51,81,88,86,-4,96,8,8,24,29,67,92,92,96,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,20,25,21,51,78,88,87,93,93,-3,2,7,10,19,54,72,68,91,86,-3,4,14,17,17,57,74,77,91,74,8,15,26,25,49,78,87,86,95,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"004901",9,24,21,23,55,74,87,78,91,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,18,15,17,47,68,82,73,88,95,11,21,21,34,47,75,84,78,96,97,3,11,11,16,45,65,79,72,86,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,25,21,15,60,73,89,79,87,96,1,8,4,5,34,51,74,58,81,95,-3,-3,-3,-3,6,17,53,24,43,73,13,31,26,27,61,79,92,82,93,96,-3,20,20,-3,40,60,80,80,-4,-4,14,43,50,38,77,86,93,86,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"005901",9,22,19,20,47,78,88,86,94,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,17,4,35,54,74,67,88,87,9,13,19,31,44,81,81,88,-4,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,31,19,11,50,76,94,84,89,89,-3,7,7,3,18,62,71,72,97,86,-3,13,-3,-3,-3,44,63,67,-4,75,5,18,15,18,48,80,89,87,95,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"005902",13,20,27,40,56,88,92,89,98,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,13,10,19,35,77,84,84,94,90,18,25,31,48,47,86,89,89,97,94,11,11,22,44,44,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,16,24,33,64,89,94,89,99,99,-3,5,5,7,24,64,76,67,93,88,-3,-3,10,-3,11,30,40,50,78,67,14,21,27,39,56,86,91,88,98,96,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"005904",3,16,33,18,59,81,86,92,93,99,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,17,30,19,57,71,80,80,90,97,3,16,38,27,53,85,91,88,-4,-4,-3,-3,13,27,33,53,73,73,87,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,17,29,10,63,78,83,95,88,98,-3,5,5,5,24,45,57,71,82,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,21,39,14,67,88,89,96,95,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"006902",8,12,12,30,50,72,84,80,98,98,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-3,8,23,54,62,69,62,-4,92,10,10,15,45,40,65,70,80,-4,-4,-3,14,-3,14,29,43,43,43,-4,86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,13,10,20,57,77,93,80,97,97,-3,-3,-3,-3,21,37,68,53,95,95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,12,14,33,55,76,90,86,98,-4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
