DISTRICT,D200A001512R,D200A001513R,D200AC01512R,D200AC01513R,D200AM01512R,D200AM01513R,D200AR01512R,D200AR01513R,D200AS01512R,D200AS01513R,D200AW01512R,D200AW01513R,D300A001512R,D300A001513R,D300AC01512R,D300AC01513R,D300AM01512R,D300AM01513R,D300AR01512R,D300AR01513R,D300AS01512R,D300AS01513R,D300AW01512R,D300AW01513R,D400A001512R,D400A001513R,D400AC01512R,D400AC01513R,D400AM01512R,D400AM01513R,D400AR01512R,D400AR01513R,D400AS01512R,D400AS01513R,D400AW01512R,D400AW01513R,DA00A001512R,DA00A001513R,DA00AC01512R,DA00AC01513R,DA00AM01512R,DA00AM01513R,DA00AR01512R,DA00AR01513R,DA00AS01512R,DA00AS01513R,DA00AW01512R,DA00AW01513R,DB00A001512R,DB00A001513R,DB00AC01512R,DB00AC01513R,DB00AM01512R,DB00AM01513R,DB00AR01512R,DB00AR01513R,DB00AS01512R,DB00AS01513R,DB00AW01512R,DB00AW01513R,DE00A001512R,DE00A001513R,DE00AC01512R,DE00AC01513R,DE00AM01512R,DE00AM01513R,DE00AR01512R,DE00AR01513R,DE00AS01512R,DE00AS01513R,DE00AW01512R,DE00AW01513R,DF00A001512R,DF00A001513R,DF00AC01512R,DF00AC01513R,DF00AM01512R,DF00AM01513R,DF00AR01512R,DF00AR01513R,DF00AS01512R,DF00AS01513R,DF00AW01512R,DF00AW01513R,DH00A001512R,DH00A001513R,DH00AC01512R,DH00AC01513R,DH00AM01512R,DH00AM01513R,DH00AR01512R,DH00AR01513R,DH00AS01512R,DH00AS01513R,DH00AW01512R,DH00AW01513R,DI00A001512R,DI00A001513R,DI00AC01512R,DI00AC01513R,DI00AM01512R,DI00AM01513R,DI00AR01512R,DI00AR01513R,DI00AS01512R,DI00AS01513R,DI00AW01512R,DI00AW01513R,DL00A001512R,DL00A001513R,DL00AC01512R,DL00AC01513R,DL00AM01512R,DL00AM01513R,DL00AR01512R,DL00AR01513R,DL00AS01512R,DL00AS01513R,DL00AW01512R,DL00AW01513R,DM00A001512R,DM00A001513R,DM00AC01512R,DM00AC01513R,DM00AM01512R,DM00AM01513R,DM00AR01512R,DM00AR01513R,DM00AS01512R,DM00AS01513R,DM00AW01512R,DM00AW01513R,DR00A001512R,DR00A001513R,DR00AC01512R,DR00AC01513R,DR00AM01512R,DR00AM01513R,DR00AR01512R,DR00AR01513R,DR00AS01512R,DR00AS01513R,DR00AW01512R,DR00AW01513R,DS00A001512R,DS00A001513R,DS00AC01512R,DS00AC01513R,DS00AM01512R,DS00AM01513R,DS00AR01512R,DS00AR01513R,DS00AS01512R,DS00AS01513R,DS00AW01512R,DS00AW01513R,DW00A001512R,DW00A001513R,DW00AC01512R,DW00AC01513R,DW00AM01512R,DW00AM01513R,DW00AR01512R,DW00AR01513R,DW00AS01512R,DW00AS01513R,DW00AW01512R,DW00AW01513R
"003903",77,75,93,88,76,75,79,80,76,79,52,53,96,96,93,98,100,100,94,94,95,95,95,90,60,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,77,78,83,85,78,80,77,80,82,77,63,63,65,69,72,79,67,70,66,72,71,68,49,53,71,72,77,80,72,75,71,74,77,72,55,56,78,79,81,85,79,81,79,82,78,74,68,67,74,74,79,81,76,78,75,76,79,74,60,58,85,89,100,83,100,80,82,100,100,83,-1,90,51,55,57,56,48,60,51,57,53,49,51,44,76,77,84,86,77,78,76,78,86,81,58,59,58,64,65,75,60,66,59,66,66,63,43,47,64,68,61,75,65,73,65,71,78,64,44,49,88,89,93,95,88,89,88,91,93,87,79,78
"003904",70,83,100,90,83,81,50,73,-1,100,-1,90,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,75,75,79,80,77,77,76,79,77,77,61,57,60,53,77,81,52,47,57,43,64,79,-1,-1,67,68,70,75,70,69,69,73,70,67,50,48,78,78,81,79,80,80,81,85,74,75,65,64,72,70,70,71,79,75,76,79,56,59,58,53,-1,95,-1,-1,-1,100,-1,100,-1,-1,.,-1,67,80,-1,-1,75,100,67,-1,-1,-1,-1,-1,72,72,77,81,75,75,71,73,79,78,57,50,53,57,57,64,56,58,54,62,58,62,32,34,49,53,40,60,53,50,47,54,53,60,54,45,76,76,79,80,78,78,76,80,78,77,62,57
"003905",85,66,82,86,80,56,95,74,83,-1,-1,50,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,.,-1,.,-1,.,.,.,.,.,71,69,72,74,76,78,75,73,65,60,57,48,62,60,58,68,66,65,66,67,63,50,52,39,67,65,65,71,73,75,70,69,58,54,53,42,73,72,69,73,77,80,77,77,66,56,63,57,67,66,65,69,74,77,70,68,57,59,53,45,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,49,48,48,53,58,63,49,44,48,49,30,24,70,67,74,75,75,76,73,68,64,64,51,40,54,55,58,62,59,65,56,58,54,48,34,30,46,48,47,39,46,56,50,56,46,39,33,33,80,78,84,86,82,85,84,81,74,66,66,56
"003906",68,60,-1,-1,-1,-1,71,-1,-1,-1,-1,-1,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77,77,77,76,76,77,81,85,84,74,67,61,.,.,.,.,.,.,.,.,.,.,.,.,70,72,67,70,68,75,74,82,78,64,60,53,81,82,81,81,75,84,84,89,87,73,80,72,89,83,-1,-1,100,86,92,87,-1,-1,-1,88,.,100,.,-1,.,-1,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,74,71,73,69,76,70,77,81,82,76,52,49,59,60,61,57,56,61,63,75,68,60,44,33,46,40,42,35,43,38,59,50,60,54,-1,26,77,76,76,76,75,77,80,85,83,75,68,59
"003907",75,96,-1,-1,86,100,71,100,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,81,79,85,88,84,83,81,81,75,75,72,60,62,66,-1,71,59,67,65,69,-1,75,82,54,75,73,78,83,79,78,74,75,65,65,69,54,83,81,84,89,86,85,86,83,73,73,81,65,76,76,76,77,88,84,72,79,65,69,61,60,75,79,.,-1,-1,71,-1,71,.,-1,-1,-1,59,41,-1,-1,69,55,57,45,-1,-1,-1,-1,78,77,87,86,83,82,77,79,76,76,62,54,60,59,66,69,62,65,61,62,53,58,48,34,58,61,69,65,61,65,58,60,56,62,-1,48,83,80,88,90,85,84,84,82,77,75,73,60
"004901",83,90,93,89,81,92,88,92,78,83,64,80,84,86,85,94,93,92,77,85,81,87,76,67,.,.,.,.,.,.,.,.,.,.,.,.,74,78,82,86,77,80,74,79,79,79,53,60,60,53,54,73,62,64,62,48,63,45,56,-1,67,71,75,82,71,73,68,73,71,71,44,51,76,81,81,87,76,81,78,85,77,80,62,70,69,73,75,83,71,75,70,75,72,73,46,54,69,73,88,83,80,90,70,78,-1,-1,-1,-1,42,53,-1,77,60,67,38,47,-1,-1,-1,-1,73,75,83,85,78,80,71,75,81,78,46,50,56,62,68,73,57,66,53,64,65,64,32,38,47,47,54,57,46,49,48,48,54,51,28,29,78,81,87,88,81,84,77,83,85,83,57,64
"005901",91,90,80,100,90,85,95,100,89,-1,100,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,87,86,84,89,88,87,89,88,83,83,86,80,-1,63,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,77,76,72,83,78,73,81,80,74,70,70,73,87,86,83,88,86,89,92,90,83,79,89,80,83,77,83,75,93,80,71,77,-1,-1,100,86,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,86,86,86,90,90,85,85,87,84,86,82,79,67,68,62,81,68,61,74,76,62,61,67,61,51,68,43,87,70,65,50,72,-1,50,-1,63,87,87,85,89,88,87,89,89,84,84,84,80
"005902",-1,82,.,-1,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,84,82,85,82,88,86,89,79,69,82,80,67,55,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,74,77,70,79,73,82,80,82,65,58,72,70,85,85,81,87,86,88,89,89,76,71,86,83,70,78,69,94,63,76,77,78,64,71,75,72,75,74,-1,-1,-1,83,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,81,83,83,83,78,88,83,88,82,68,78,77,60,65,61,64,55,71,64,70,55,52,63,56,47,61,50,52,53,64,48,75,36,48,37,52,84,85,84,85,83,89,87,90,81,69,82,81
"005904",-1,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,88,91,91,89,91,87,89,82,84,78,79,.,.,.,.,.,.,.,.,.,.,.,.,82,83,85,88,84,88,82,85,82,79,74,71,85,88,86,87,88,93,91,93,70,78,81,80,75,79,77,78,78,90,76,84,73,67,67,62,77,73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,72,-1,-1,48,93,59,63,-1,-1,70,-1,87,88,96,96,89,90,83,84,94,90,76,78,68,76,71,80,69,81,67,82,72,68,60,56,75,70,75,77,70,70,75,70,78,69,88,62,90,91,95,95,92,92,91,91,85,89,85,86
"006902",83,100,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79,79,86,88,76,72,84,87,75,78,70,66,93,89,-1,-1,-1,-1,100,100,-1,-1,-1,-1,67,72,73,82,63,69,74,83,63,61,61,58,77,77,77,90,75,70,85,88,68,72,74,60,74,74,70,100,72,55,83,75,-1,83,-1,80,.,-1,.,.,.,-1,.,-1,.,.,.,.,100,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,81,81,98,86,77,75,83,86,83,85,67,72,60,64,69,74,54,63,67,74,63,55,42,47,53,57,70,72,55,53,59,68,-1,53,-1,32,79,79,89,86,76,75,83,88,76,77,69,62
