DISTRICT,D200A004216R,D200A004217R,D200AC04216R,D200AC04217R,D200AM04216R,D200AM04217R,D200AR04216R,D200AR04217R,D200AS04216R,D200AS04217R,D200AW04216R,D200AW04217R,D300A004216R,D300A004217R,D300AC04216R,D300AC04217R,D300AM04216R,D300AM04217R,D300AR04216R,D300AR04217R,D300AS04216R,D300AS04217R,D300AW04216R,D300AW04217R,D400A004216R,D400A004217R,D400AC04216R,D400AC04217R,D400AM04216R,D400AM04217R,D400AR04216R,D400AR04217R,D400AS04216R,D400AS04217R,D400AW04216R,D400AW04217R,DA00A004216R,DA00A004217R,DA00AC04216R,DA00AC04217R,DA00AM04216R,DA00AM04217R,DA00AR04216R,DA00AR04217R,DA00AS04216R,DA00AS04217R,DA00AW04216R,DA00AW04217R,DB00A004216R,DB00A004217R,DB00AC04216R,DB00AC04217R,DB00AM04216R,DB00AM04217R,DB00AR04216R,DB00AR04217R,DB00AS04216R,DB00AS04217R,DB00AW04216R,DB00AW04217R,DE00A004216R,DE00A004217R,DE00AC04216R,DE00AC04217R,DE00AM04216R,DE00AM04217R,DE00AR04216R,DE00AR04217R,DE00AS04216R,DE00AS04217R,DE00AW04216R,DE00AW04217R,DF00A004216R,DF00A004217R,DF00AC04216R,DF00AC04217R,DF00AM04216R,DF00AM04217R,DF00AR04216R,DF00AR04217R,DF00AS04216R,DF00AS04217R,DF00AW04216R,DF00AW04217R,DH00A004216R,DH00A004217R,DH00AC04216R,DH00AC04217R,DH00AM04216R,DH00AM04217R,DH00AR04216R,DH00AR04217R,DH00AS04216R,DH00AS04217R,DH00AW04216R,DH00AW04217R,DI00A004216R,DI00A004217R,DI00AC04216R,DI00AC04217R,DI00AM04216R,DI00AM04217R,DI00AR04216R,DI00AR04217R,DI00AS04216R,DI00AS04217R,DI00AW04216R,DI00AW04217R,DL00A004216R,DL00A004217R,DL00AC04216R,DL00AC04217R,DL00AM04216R,DL00AM04217R,DL00AR04216R,DL00AR04217R,DL00AS04216R,DL00AS04217R,DL00AW04216R,DL00AW04217R,DM00A004216R,DM00A004217R,DM00AC04216R,DM00AC04217R,DM00AM04216R,DM00AM04217R,DM00AR04216R,DM00AR04217R,DM00AS04216R,DM00AS04217R,DM00AW04216R,DM00AW04217R,DR00A004216R,DR00A004217R,DR00AC04216R,DR00AC04217R,DR00AM04216R,DR00AM04217R,DR00AR04216R,DR00AR04217R,DR00AS04216R,DR00AS04217R,DR00AW04216R,DR00AW04217R,DS00A004216R,DS00A004217R,DS00AC04216R,DS00AC04217R,DS00AM04216R,DS00AM04217R,DS00AR04216R,DS00AR04217R,DS00AS04216R,DS00AS04217R,DS00AW04216R,DS00AW04217R,DW00A004216R,DW00A004217R,DW00AC04216R,DW00AC04217R,DW00AM04216R,DW00AM04217R,DW00AR04216R,DW00AR04217R,DW00AS04216R,DW00AS04217R,DW00AW04216R,DW00AW04217R
"003903",34,37,37,45,30,38,32,36,38,36,-1,22,83,83,73,95,82,81,82,80,77,83,92,67,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,-1,39,41,44,46,42,46,38,39,42,47,32,29,24,27,27,30,25,31,25,26,29,33,23,22,30,32,36,38,34,39,29,31,34,39,23,21,43,44,45,46,45,48,44,44,40,44,39,36,36,38,41,42,42,47,34,35,37,43,26,25,36,53,-1,-1,-1,46,50,57,-1,-1,-1,-1,12,16,13,20,24,30,16,17,-1,11,10,8,36,38,43,45,39,44,33,34,45,50,24,23,16,21,21,27,24,30,18,21,15,25,15,14,7,24,8,28,12,28,9,24,6,29,7,19,57,58,64,66,58,60,56,57,61,63,47,41
"003904",33,23,-1,-1,31,29,33,26,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,39,40,45,50,42,44,40,42,34,44,43,33,-1,-1,-1,-1,-1,32,-1,-1,-1,-1,-1,-1,30,31,34,38,31,37,31,32,25,36,34,29,42,45,43,51,45,47,45,49,31,39,48,38,44,36,41,40,50,43,38,46,33,23,45,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,37,36,47,50,38,41,35,36,37,49,38,28,16,18,22,28,20,21,15,18,20,25,17,10,5,22,-1,18,-1,22,7,20,-1,39,-1,23,40,42,46,53,42,45,41,44,35,48,44,33
"003905",-1,-1,-1,-1,-1,-1,-1,28,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,32,36,37,40,38,42,36,39,39,53,18,22,19,22,18,30,21,27,23,23,20,36,-1,22,27,30,33,33,32,37,31,34,35,48,13,18,31,35,34,37,38,41,40,41,34,53,20,25,28,31,33,35,35,43,31,34,37,45,14,19,-1,-1,-1,.,-1,.,-1,-1,.,-1,.,.,15,16,11,8,25,29,17,17,-1,-1,-1,-1,32,36,40,43,38,43,33,37,43,53,17,19,14,17,20,21,21,25,17,20,24,36,7,6,4,19,13,17,-1,23,6,19,-1,22,-1,20,44,49,52,54,49,47,51,54,50,73,31,28
"003906",-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,26,16,29,27,25,40,34,24,21,42,13,-1,-1,.,.,-1,-1,-1,-1,.,-1,-1,-1,22,19,11,17,17,15,31,25,25,23,29,-1,35,27,17,25,27,23,51,42,-1,-1,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,26,25,15,33,27,27,29,26,32,38,42,-1,6,7,-1,-1,6,12,16,15,-1,-1,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,26,16,29,28,25,41,34,22,21,42,14
"003907",58,53,-1,-1,-1,67,50,38,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,34,42,43,52,35,45,39,45,28,31,33,30,19,28,-1,-1,20,35,20,30,-1,-1,-1,-1,27,34,39,42,31,40,31,36,26,26,30,29,36,46,46,52,37,45,45,49,18,30,38,38,29,36,42,44,34,45,36,39,34,24,35,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31,37,39,52,33,44,34,41,39,33,28,21,12,15,26,32,13,16,16,18,12,17,6,7,-1,17,-1,15,-1,23,-1,23,-1,-1,-1,-1,35,44,44,57,36,45,41,48,26,33,31,31
"004901",39,47,47,68,41,43,29,53,-1,-1,56,-1,61,63,90,62,67,78,50,53,71,67,-1,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,36,39,48,46,36,43,35,38,46,46,34,30,-1,-1,-1,-1,-1,16,-1,15,-1,-1,-1,-1,26,28,33,37,28,35,25,29,36,31,24,21,40,41,50,45,38,46,43,42,42,40,42,35,28,31,39,37,30,41,29,30,38,36,29,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,10,-1,-1,15,31,-1,-1,-1,-1,-1,-1,33,37,45,47,35,40,29,35,49,52,26,25,13,12,22,21,14,19,12,13,22,17,10,5,6,23,8,23,10,27,8,24,-1,18,-1,18,42,45,53,52,41,45,41,45,52,54,36,35
"005901",50,53,-1,-1,46,54,50,57,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,55,49,61,38,54,53,57,41,50,50,45,.,.,.,.,.,.,.,.,.,.,.,.,31,36,27,42,21,42,39,41,48,-1,32,31,49,56,51,51,36,53,59,59,41,56,47,52,24,39,-1,-1,-1,38,35,40,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,43,55,48,69,40,55,48,54,41,45,52,40,9,20,14,33,8,19,10,24,-1,-1,-1,-1,-1,16,-1,-1,-1,21,-1,14,-1,-1,-1,-1,48,58,50,63,40,56,55,58,41,55,53,45
"005902",-1,-1,-1,-1,-1,-1,-1,56,-1,.,-1,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,54,57,54,64,57,62,60,60,41,46,55,55,-1,-1,.,-1,-1,-1,-1,-1,.,.,.,-1,34,35,39,39,37,44,37,35,40,37,32,35,53,58,49,67,56,63,62,62,39,44,63,58,44,44,42,55,43,39,48,52,50,-1,43,58,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,.,-1,.,.,.,.,.,55,56,57,61,58,61,58,59,43,48,49,51,20,23,26,37,23,25,28,27,17,17,20,22,-1,21,-1,27,-1,23,15,27,-1,-1,-1,-1,55,58,55,66,59,64,62,61,40,49,58,54
"005904",-1,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,52,64,58,57,61,56,57,34,52,55,38,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,40,39,50,44,50,50,46,42,20,30,41,29,52,50,66,53,55,57,64,59,24,47,65,46,39,42,48,46,49,49,45,43,-1,42,38,33,-1,-1,.,.,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,-1,50,-1,50,-1,.,-1,-1,-1,52,54,62,61,60,64,47,55,45,57,44,32,21,19,29,34,29,31,31,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,58,57,71,63,62,65,61,63,42,60,62,42
"006902",-1,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,48,44,47,57,44,44,52,48,49,26,51,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33,28,25,39,26,28,38,36,41,-1,46,38,51,38,51,50,47,36,57,49,50,-1,64,33,46,30,-1,-1,45,47,48,32,-1,-1,71,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,-1,-1,-1,-1,.,.,-1,-1,44,51,42,62,40,52,46,47,48,36,41,50,24,22,29,31,29,21,28,21,-1,-1,38,-1,-1,-1,-1,-1,-1,41,-1,-1,-1,-1,-1,-1,49,46,50,58,45,44,53,50,52,25,49,43
