DISTRICT,D200A001513R,D200A001S14R,D200AC01513R,D200AC01S14R,D200AM01513R,D200AM01S14R,D200AR01513R,D200AR01S14R,D200AS01513R,D200AS01S14R,D200AW01513R,D200AW01S14R,D300A001513R,D300A001S14R,D300AC01513R,D300AC01S14R,D300AM01513R,D300AM01S14R,D300AR01513R,D300AR01S14R,D300AS01513R,D300AS01S14R,D300AW01513R,D300AW01S14R,D400A001513R,D400A001S14R,D400AC01513R,D400AC01S14R,D400AM01513R,D400AM01S14R,D400AR01513R,D400AR01S14R,D400AS01513R,D400AS01S14R,D400AW01513R,D400AW01S14R,DA00A001513R,DA00A001S14R,DA00AC01513R,DA00AC01S14R,DA00AM01513R,DA00AM01S14R,DA00AR01513R,DA00AR01S14R,DA00AS01513R,DA00AS01S14R,DA00AW01513R,DA00AW01S14R,DB00A001513R,DB00A001S14R,DB00AC01513R,DB00AC01S14R,DB00AM01513R,DB00AM01S14R,DB00AR01513R,DB00AR01S14R,DB00AS01513R,DB00AS01S14R,DB00AW01513R,DB00AW01S14R,DE00A001513R,DE00A001S14R,DE00AC01513R,DE00AC01S14R,DE00AM01513R,DE00AM01S14R,DE00AR01513R,DE00AR01S14R,DE00AS01513R,DE00AS01S14R,DE00AW01513R,DE00AW01S14R,DF00A001513R,DF00A001S14R,DF00AC01513R,DF00AC01S14R,DF00AM01513R,DF00AM01S14R,DF00AR01513R,DF00AR01S14R,DF00AS01513R,DF00AS01S14R,DF00AW01513R,DF00AW01S14R,DH00A001513R,DH00A001S14R,DH00AC01513R,DH00AC01S14R,DH00AM01513R,DH00AM01S14R,DH00AR01513R,DH00AR01S14R,DH00AS01513R,DH00AS01S14R,DH00AW01513R,DH00AW01S14R,DI00A001513R,DI00A001S14R,DI00AC01513R,DI00AC01S14R,DI00AM01513R,DI00AM01S14R,DI00AR01513R,DI00AR01S14R,DI00AS01513R,DI00AS01S14R,DI00AW01513R,DI00AW01S14R,DL00A001513R,DL00A001S14R,DL00AC01513R,DL00AC01S14R,DL00AM01513R,DL00AM01S14R,DL00AR01513R,DL00AR01S14R,DL00AS01513R,DL00AS01S14R,DL00AW01513R,DL00AW01S14R,DM00A001513R,DM00A001S14R,DM00AC01513R,DM00AC01S14R,DM00AM01513R,DM00AM01S14R,DM00AR01513R,DM00AR01S14R,DM00AS01513R,DM00AS01S14R,DM00AW01513R,DM00AW01S14R,DR00A001513R,DR00A001S14R,DR00AC01513R,DR00AC01S14R,DR00AM01513R,DR00AM01S14R,DR00AR01513R,DR00AR01S14R,DR00AS01513R,DR00AS01S14R,DR00AW01513R,DR00AW01S14R,DS00A001513R,DS00A001S14R,DS00AC01513R,DS00AC01S14R,DS00AM01513R,DS00AM01S14R,DS00AR01513R,DS00AR01S14R,DS00AS01513R,DS00AS01S14R,DS00AW01513R,DS00AW01S14R,DW00A001513R,DW00A001S14R,DW00AC01513R,DW00AC01S14R,DW00AM01513R,DW00AM01S14R,DW00AR01513R,DW00AR01S14R,DW00AS01513R,DW00AS01S14R,DW00AW01513R,DW00AW01S14R
"057912",75,73,79,72,73,73,79,75,76,64,65,70,87,86,91,93,89,87,87,83,87,88,80,81,61,78,64,83,68,79,62,74,75,100,-1,75,67,66,74,72,68,66,70,65,65,67,53,60,62,62,69,67,60,59,68,63,62,65,49,59,64,64,71,70,66,65,67,63,62,63,50,57,68,68,73,71,69,67,72,69,63,65,59,67,65,65,72,71,67,66,67,63,63,65,51,58,71,66,79,71,70,69,72,67,87,48,60,65,49,52,52,55,56,57,50,50,40,41,36,45,65,64,74,74,67,66,67,61,67,69,47,52,56,58,63,65,59,59,59,56,52,58,40,49,42,46,41,48,42,49,46,47,43,45,33,36,76,74,85,80,76,73,80,74,75,76,61,68
"057913",69,80,-1,-1,50,69,75,93,-1,-1,100,100,71,90,.,-1,-1,86,-1,88,.,-1,-1,-1,100,-1,-1,.,-1,.,-1,.,-1,-1,-1,.,67,70,74,75,67,69,70,68,70,77,46,70,65,68,72,73,65,67,69,65,70,78,44,68,66,70,73,75,67,69,69,67,69,77,46,69,70,73,73,74,70,71,75,73,70,78,53,76,73,77,80,82,75,78,74,76,74,77,55,74,66,77,82,95,61,74,67,69,73,75,-1,83,67,71,70,69,75,75,67,71,50,56,50,66,64,68,75,76,65,68,66,63,71,77,41,65,57,61,65,66,59,61,62,58,59,70,36,61,39,60,41,56,39,58,38,60,45,68,32,73,73,81,83,79,75,78,78,82,69,78,48,100
"057914",82,78,90,84,82,77,84,80,82,74,68,67,93,92,95,91,94,95,94,92,94,89,87,93,86,80,90,-1,83,67,90,86,94,-1,71,78,77,76,82,79,81,78,80,75,74,74,61,70,71,70,77,73,72,70,76,69,69,70,54,64,74,73,79,77,78,76,77,73,69,69,57,67,79,78,82,79,82,79,83,79,73,71,67,77,77,76,82,79,83,79,80,75,72,71,61,70,81,79,84,83,84,79,86,79,81,65,57,86,63,66,61,64,75,73,64,63,38,41,51,60,75,74,82,80,80,76,78,72,76,76,56,64,63,64,67,66,69,68,67,63,58,58,43,55,51,53,46,53,57,55,59,55,43,44,36,45,83,83,87,87,85,83,86,82,82,85,69,77
"057916",88,87,92,92,89,87,88,85,91,94,75,83,89,90,95,91,95,95,87,86,92,92,75,86,84,79,93,90,84,79,84,71,92,-1,60,-1,83,82,90,85,85,84,84,81,85,84,66,74,74,74,84,78,74,75,77,73,77,78,55,65,75,75,85,78,79,78,76,73,77,76,55,64,84,84,90,84,86,85,86,84,83,82,71,79,77,76,86,80,82,81,77,74,79,76,56,64,85,76,89,86,82,66,89,79,88,83,74,60,58,62,66,60,68,71,55,58,50,56,40,48,82,81,91,86,85,84,82,78,87,86,62,69,65,65,79,69,70,70,65,62,70,72,39,45,59,62,62,61,63,67,63,62,60,55,41,53,94,95,98,97,95,95,95,95,95,95,85,91
"057919",97,96,100,100,96,90,100,97,100,100,86,-1,96,97,98,91,96,97,96,99,99,100,91,95,-1,-1,-1,.,-1,.,-1,-1,-1,.,-1,.,91,91,94,88,91,89,93,94,90,94,83,89,84,85,92,81,87,79,88,87,79,100,71,86,73,76,87,59,74,75,77,83,69,77,53,68,92,92,94,88,93,90,95,94,86,91,85,93,84,88,80,86,87,89,92,90,72,84,69,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,29,45,-1,-1,50,67,-1,38,.,.,-1,-1,90,91,94,88,90,89,92,94,93,96,81,85,61,74,64,64,62,76,65,79,62,73,50,58,63,70,56,52,73,71,65,78,54,73,53,64,90,90,95,87,90,88,93,93,89,91,82,88
"057922",90,91,93,92,90,87,95,93,89,95,82,91,96,96,96,96,97,97,97,96,96,98,95,96,95,100,-1,-1,83,-1,100,100,-1,-1,-1,.,92,92,93,92,91,90,94,93,92,95,86,90,76,80,76,81,72,78,83,82,78,84,68,76,79,79,81,74,77,75,85,83,80,88,72,73,92,93,93,92,91,90,96,95,91,95,89,93,86,86,87,83,83,82,90,89,89,92,78,83,94,97,100,92,86,96,97,97,100,100,92,100,64,72,60,57,69,75,65,74,65,74,58,67,91,91,93,91,91,91,93,92,93,95,82,87,73,74,76,72,71,71,81,78,74,84,59,68,61,67,67,65,59,66,66,70,63,69,46,62,92,92,95,92,91,89,95,94,92,96,85,87
"058902",.,-1,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,78,78,80,97,80,77,86,74,70,71,62,75,.,.,.,.,.,.,.,.,.,.,.,.,73,69,72,100,74,71,79,58,71,75,56,67,81,69,83,92,84,63,91,68,66,-1,70,67,75,72,78,100,78,68,84,68,64,78,57,64,.,.,.,.,.,.,.,.,.,.,.,.,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76,85,78,100,77,88,82,79,76,75,53,82,64,61,70,94,71,56,74,58,59,-1,28,-1,43,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,83,88,84,92,85,93,89,84,82,-1,67,100
"058905",100,-1,-1,.,-1,.,-1,-1,-1,.,-1,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,95,96,97,96,99,95,95,97,92,94,88,97,.,-1,.,.,.,-1,.,-1,.,.,.,.,93,91,96,90,98,88,90,96,100,91,83,88,96,97,94,96,98,98,97,98,81,89,100,100,92,94,92,95,98,91,90,96,90,90,84,93,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,100,85,.,-1,-1,-1,-1,100,.,.,-1,-1,95,95,100,96,100,92,93,95,100,100,77,95,86,86,-1,83,100,81,73,89,-1,100,83,83,100,92,.,-1,100,100,100,88,.,-1,-1,-1,97,97,100,97,100,97,98,96,94,96,90,100
"058906",52,43,-1,-1,-1,-1,71,78,-1,-1,-1,-1,62,74,-1,-1,100,100,56,60,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,60,61,66,63,57,61,67,65,57,51,48,51,61,60,57,81,54,75,80,46,50,-1,52,-1,55,57,60,59,52,57,63,61,50,43,44,46,64,64,69,63,58,61,72,69,55,53,60,63,56,58,61,58,53,58,63,63,51,47,46,50,93,67,-1,63,-1,78,-1,60,-1,-1,.,-1,40,41,38,40,42,37,37,51,-1,-1,48,37,57,58,62,63,56,60,62,61,59,49,39,40,48,50,52,52,45,50,54,54,45,42,39,39,50,52,48,73,46,49,56,58,59,50,38,21,79,75,85,83,78,70,83,80,82,71,58,66
"058909",-1,.,.,.,-1,.,-1,.,.,.,.,.,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,87,86,92,92,87,81,91,87,82,85,77,90,100,-1,-1,.,-1,.,-1,-1,-1,-1,-1,.,84,87,83,95,85,81,88,87,77,93,79,89,88,89,96,88,87,85,92,96,78,75,81,94,81,89,86,91,81,84,90,92,68,81,72,100,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,68,67,-1,-1,60,63,70,63,.,-1,71,-1,86,83,89,96,87,77,91,80,84,90,75,85,75,70,83,78,76,64,84,73,67,62,57,75,76,97,100,100,81,92,69,100,-1,-1,63,-1,91,82,97,92,94,78,92,82,93,88,80,81
"059901",76,68,86,-1,73,-1,82,75,100,-1,-1,-1,82,80,-1,-1,88,100,75,80,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,61,64,68,61,67,67,66,65,54,60,41,64,53,56,-1,56,69,54,43,59,-1,-1,-1,-1,57,60,63,55,63,63,61,60,47,51,37,62,62,66,68,61,67,68,69,68,49,56,45,73,58,62,65,58,64,65,63,62,49,55,37,63,71,58,-1,-1,-1,-1,100,-1,-1,.,-1,-1,44,51,49,26,54,61,43,51,42,25,26,62,61,63,69,62,67,66,63,62,59,63,37,56,46,52,56,50,52,56,50,52,42,49,23,44,41,46,45,33,43,50,45,49,41,55,26,29,81,81,88,81,83,81,84,83,81,82,63,76
"059902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82,88,91,84,73,86,91,95,.,.,75,64,.,-1,.,.,.,-1,.,-1,.,.,.,-1,-1,86,-1,80,-1,85,-1,96,.,.,.,55,78,88,100,80,69,91,88,94,.,.,63,56,80,88,89,88,69,87,90,96,.,.,77,55,-1,.,.,.,-1,.,-1,.,.,.,.,.,91,92,.,-1,-1,-1,-1,100,.,.,-1,.,87,88,83,89,79,80,96,97,.,.,88,-1,72,78,-1,78,58,72,84,96,.,.,70,50,83,91,.,-1,-1,-1,100,-1,.,.,-1,-1,87,82,-1,-1,85,78,92,89,.,.,-1,-1
"060902",70,69,-1,-1,57,55,79,91,-1,-1,71,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,75,78,80,76,79,78,78,79,76,83,55,74,59,61,54,65,68,69,60,50,53,69,48,63,65,71,71,69,68,71,70,72,63,79,41,63,76,80,77,74,82,81,79,83,75,80,62,75,66,61,75,64,73,63,70,61,67,-1,-1,-1,100,92,-1,-1,100,-1,100,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,73,76,83,80,75,75,76,74,76,87,49,73,59,63,71,60,58,61,61,64,66,76,35,51,71,73,73,79,60,61,82,75,77,100,62,64,77,83,84,80,80,82,81,84,79,87,57,79
"060914",84,-1,100,-1,83,-1,86,-1,100,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,68,67,71,68,73,75,71,67,64,42,56,61,57,60,46,69,64,66,53,55,64,-1,55,50,66,63,67,67,70,70,67,63,65,44,57,52,70,69,61,63,79,71,77,76,50,42,63,80,31,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,100,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,67,64,76,73,69,78,67,60,71,42,51,50,62,55,63,56,79,58,69,56,58,36,32,56,63,62,-1,-1,58,67,65,73,-1,-1,67,-1,74,73,74,71,78,82,83,77,59,33,61,71
"061802",77,74,-1,-1,83,71,-1,75,-1,-1,-1,-1,-1,-1,.,.,-1,.,-1,-1,.,.,.,.,-1,100,.,-1,-1,-1,-1,100,.,-1,.,-1,60,65,60,63,55,60,68,68,64,71,48,76,57,58,48,31,45,55,68,62,71,-1,62,81,54,60,50,55,48,55,64,61,62,71,42,71,60,65,63,58,52,56,72,70,55,61,56,80,49,61,38,56,46,56,64,65,50,60,25,70,.,-1,.,.,.,-1,.,-1,.,.,.,-1,36,58,-1,53,38,59,44,56,-1,-1,-1,71,60,66,58,65,58,62,65,66,71,77,41,73,56,59,58,57,51,54,62,60,62,65,46,70,38,52,41,57,39,54,42,45,54,73,-1,57,64,69,70,72,61,62,70,70,65,77,51,78
"061804",94,100,-1,-1,83,100,100,100,.,.,-1,.,99,99,100,100,100,100,100,98,.,.,96,100,.,.,.,.,.,.,.,.,.,.,.,.,92,96,81,100,93,97,95,94,.,.,92,95,81,100,-1,-1,88,100,88,100,.,.,-1,-1,75,91,-1,-1,89,100,89,75,.,.,-1,100,90,98,76,100,91,98,92,96,.,.,90,100,76,80,-1,-1,75,85,83,73,.,.,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,.,-1,-1,-1,.,-1,-1,-1,-1,.,.,.,.,95,94,86,100,96,96,99,92,.,.,95,92,88,92,-1,-1,100,90,100,90,.,.,-1,-1,70,71,-1,-1,75,73,75,64,.,.,-1,.,89,97,79,100,90,97,92,97,.,.,86,91
"061901",86,85,88,79,84,83,91,91,89,89,71,79,94,92,93,92,95,93,95,91,92,87,88,93,95,69,100,-1,100,69,92,76,-1,-1,-1,-1,81,82,84,82,83,83,85,82,79,79,68,80,70,72,75,71,70,72,76,73,67,71,56,73,70,71,73,70,73,74,75,71,66,66,54,67,83,84,84,82,84,84,88,85,77,78,75,84,72,73,74,72,77,77,77,72,67,69,56,69,85,79,85,85,88,77,89,79,86,91,66,73,55,59,55,55,64,67,60,58,39,43,40,54,80,80,84,82,82,83,82,79,80,81,62,75,62,64,67,63,67,68,68,64,58,61,42,59,57,65,53,60,60,68,65,66,49,56,45,59,88,89,91,91,88,89,91,90,88,87,78,86
"061902",90,87,93,91,88,84,94,89,89,85,86,81,95,92,95,93,96,93,95,91,94,92,92,90,83,72,86,88,76,65,84,73,82,-1,92,-1,88,84,91,85,87,83,90,86,89,84,79,79,77,73,80,72,74,69,81,76,82,73,69,71,75,69,79,68,75,68,77,72,79,66,61,59,89,85,90,84,88,83,92,89,88,83,84,86,78,72,83,71,79,72,80,75,81,72,65,63,88,85,89,85,88,84,89,87,89,82,82,76,59,52,64,45,65,58,58,53,65,41,42,41,87,83,91,85,87,83,88,84,90,85,75,74,70,64,75,62,73,64,73,67,75,63,52,53,68,67,69,65,70,67,72,70,72,63,55,59,92,91,95,92,91,89,94,93,93,90,85,87
"061903",86,85,90,100,76,57,88,100,100,-1,86,-1,100,93,-1,-1,100,-1,100,100,-1,.,-1,-1,100,100,.,-1,-1,-1,-1,-1,.,.,-1,-1,83,78,88,78,84,75,84,82,85,80,72,69,76,64,81,82,85,63,77,63,79,-1,47,-1,75,69,81,71,78,67,75,74,75,69,59,55,83,78,84,72,84,74,85,85,79,73,77,75,73,68,78,61,79,66,71,74,75,67,55,61,79,80,100,-1,69,71,69,86,100,-1,-1,-1,48,47,52,44,56,45,43,52,52,55,34,33,83,77,91,84,84,75,83,79,90,87,67,65,69,62,74,64,71,58,69,68,73,65,51,48,76,56,84,67,74,51,79,59,80,-1,58,47,89,85,93,89,88,82,91,88,89,88,82,74
"061905",76,93,100,100,73,94,87,88,-1,-1,-1,100,88,90,-1,-1,100,100,75,86,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,83,85,89,86,86,87,86,87,82,77,67,71,75,83,86,88,81,82,81,90,-1,-1,56,-1,73,78,82,76,77,81,77,81,71,61,53,66,85,87,88,85,87,88,89,91,78,76,75,76,80,80,85,81,84,84,81,83,79,75,64,59,97,95,100,-1,100,100,100,100,-1,-1,-1,.,65,76,56,71,69,84,71,75,-1,-1,50,67,82,83,89,87,85,87,84,84,86,77,59,66,65,72,74,72,70,78,70,75,59,59,44,48,67,70,65,63,73,73,73,79,63,38,46,56,85,86,89,87,87,88,88,88,83,78,69,73
"061906",67,69,71,-1,64,75,67,87,86,-1,-1,-1,96,100,100,-1,100,-1,100,-1,-1,-1,-1,-1,100,-1,-1,.,-1,.,-1,-1,-1,.,-1,.,83,82,87,84,81,83,86,82,86,85,70,78,76,86,-1,-1,60,91,82,92,-1,-1,78,-1,76,73,78,70,73,75,82,73,80,67,62,71,84,84,85,86,82,82,90,85,84,83,78,85,74,73,75,71,71,73,80,74,76,72,61,75,78,86,-1,-1,-1,-1,-1,86,-1,-1,-1,-1,62,46,78,-1,64,50,57,41,-1,.,-1,45,81,81,88,83,81,84,83,78,88,88,63,70,61,67,70,72,56,68,65,65,69,70,43,55,63,71,59,61,66,76,69,76,63,60,50,58,85,85,89,89,83,85,88,83,88,89,72,79
"061907",83,86,88,-1,100,88,75,85,86,-1,-1,-1,100,100,-1,-1,100,100,100,100,-1,100,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,88,91,94,93,89,90,92,91,84,88,73,86,79,81,87,81,85,79,86,88,62,-1,56,71,81,85,88,92,82,86,87,85,72,81,68,71,89,92,93,92,90,91,94,94,82,87,81,96,84,86,90,93,85,86,88,86,71,83,77,83,93,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,66,70,50,82,76,73,72,73,-1,-1,64,45,87,89,94,94,88,90,91,88,85,88,66,77,74,78,82,85,72,78,78,79,77,71,52,71,71,74,71,74,71,76,81,77,66,62,54,63,89,92,95,94,90,92,93,93,87,88,73,88
"061908",75,72,87,71,74,74,70,69,85,92,72,64,96,100,-1,-1,89,100,100,100,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,80,82,84,84,85,83,84,82,78,83,59,79,69,67,78,63,69,73,72,66,83,73,50,-1,71,74,77,75,77,76,76,75,68,69,49,69,82,85,84,83,86,85,87,86,76,80,66,84,70,75,77,76,77,74,74,76,68,68,50,77,81,76,78,-1,90,71,80,78,71,-1,71,-1,45,57,50,36,61,60,37,63,-1,-1,42,44,78,80,84,85,83,82,80,78,80,84,54,75,60,65,68,68,70,65,65,65,58,68,33,54,66,71,73,72,67,75,70,71,67,69,48,57,83,86,87,88,88,87,88,85,81,88,63,81
"061910",84,98,100,-1,86,100,80,93,-1,-1,-1,100,100,100,100,-1,100,100,100,100,-1,-1,100,-1,.,.,.,.,.,.,.,.,.,.,.,.,92,93,96,97,93,92,95,95,89,89,84,91,83,89,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79,84,88,96,84,84,83,86,67,68,62,71,93,93,96,95,94,92,96,95,89,85,91,96,83,88,88,96,85,87,89,88,74,81,71,81,91,100,-1,-1,100,100,100,100,100,-1,-1,-1,55,77,-1,100,64,76,58,75,-1,-1,-1,-1,91,93,96,98,93,92,94,94,89,92,79,89,79,81,87,94,84,76,82,79,71,90,67,76,80,76,88,85,81,69,85,79,81,82,56,76,93,94,97,97,94,92,95,95,90,90,86,93
"061911",87,85,92,92,86,80,88,89,92,95,77,75,94,93,93,95,95,92,96,95,92,92,87,90,83,75,100,-1,61,65,89,72,100,-1,86,80,87,87,92,90,87,85,90,88,89,88,74,83,81,81,89,86,79,77,84,83,86,77,67,83,78,77,85,82,79,76,82,78,79,75,62,74,89,88,92,89,88,85,91,90,88,86,81,89,81,81,87,85,83,80,84,82,82,80,67,76,86,87,92,95,85,82,91,91,91,100,68,65,54,61,58,60,64,63,57,62,38,58,34,57,86,85,92,91,86,84,88,85,90,90,68,78,69,71,77,77,68,68,73,72,74,76,46,59,64,67,68,71,63,66,70,68,66,69,49,62,89,89,94,92,89,87,92,89,91,91,76,86
"061912",89,86,93,87,93,84,88,83,93,93,74,89,90,92,88,89,95,96,90,91,88,85,81,93,100,100,-1,-1,100,-1,100,-1,-1,-1,-1,.,84,84,86,85,87,85,87,82,84,89,69,81,72,77,70,77,73,81,78,76,72,76,55,69,75,75,78,75,79,77,78,74,77,79,59,73,86,86,86,85,88,87,90,86,83,85,76,88,78,78,80,79,81,80,80,75,81,82,67,75,82,83,80,70,88,80,85,84,83,100,71,-1,48,53,50,39,63,60,40,51,45,-1,35,64,82,82,86,86,85,84,84,79,86,92,62,73,63,68,66,68,68,71,68,65,65,75,37,59,55,60,48,55,60,64,62,60,51,56,39,52,87,87,89,89,89,88,91,86,86,92,71,84
"061914",85,83,98,86,85,82,88,86,90,83,53,70,89,91,95,95,90,91,94,89,78,85,75,95,67,82,-1,-1,-1,-1,-1,83,.,-1,-1,.,78,78,85,82,81,77,82,79,73,72,60,78,73,76,80,81,74,76,77,75,68,72,57,79,72,72,78,74,75,70,76,74,65,60,52,75,80,81,84,82,82,79,85,83,72,68,69,85,72,73,77,74,77,71,76,75,66,63,54,77,81,79,80,71,81,77,87,86,75,-1,-1,-1,55,59,53,49,65,60,58,60,30,35,44,68,75,76,85,82,79,76,78,76,73,75,52,72,61,64,71,68,66,61,65,65,56,61,38,62,57,57,64,53,58,60,60,59,50,28,44,57,84,84,92,89,85,83,87,85,80,78,67,79
"062901",77,79,85,88,79,82,80,75,64,-1,63,75,78,81,89,-1,89,-1,70,75,75,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,74,72,81,65,77,77,75,73,69,59,61,78,61,58,71,40,70,65,58,63,45,40,55,58,63,68,69,54,69,75,64,70,52,42,54,76,77,75,81,63,79,80,80,78,71,55,69,87,68,67,74,59,72,72,69,66,64,52,55,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,46,60,50,50,65,75,42,53,-1,-1,40,86,71,69,82,66,76,74,70,69,67,62,54,70,60,58,69,47,66,65,62,59,51,48,47,61,37,42,54,37,37,44,37,44,38,41,20,38,82,81,89,75,84,85,85,83,79,70,69,84
"062902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,48,70,48,59,40,70,56,70,56,50,35,-1,71,-1,-1,-1,-1,-1,-1,.,-1,-1,.,60,50,73,47,57,44,65,56,50,-1,45,-1,60,50,64,57,56,42,65,55,58,-1,46,42,55,35,67,36,43,28,59,44,65,-1,47,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69,45,78,38,62,38,74,58,91,-1,52,-1,39,29,-1,40,31,23,38,35,-1,-1,-1,-1,81,56,83,-1,67,-1,92,78,-1,-1,78,-1,76,58,72,58,79,51,82,65,77,-1,53,44
"062903",65,58,89,-1,50,-1,69,63,-1,-1,-1,.,82,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,71,78,78,77,75,79,71,78,73,77,54,82,53,69,55,75,57,71,58,73,50,41,37,65,64,73,70,70,68,74,64,73,63,69,47,79,72,79,77,78,76,78,75,80,69,74,57,87,64,74,70,70,69,75,64,74,64,74,48,80,89,.,-1,.,-1,.,-1,.,-1,.,-1,.,43,63,50,55,45,70,45,63,42,38,29,58,70,77,79,76,74,79,66,76,77,79,51,77,53,69,61,67,57,70,54,70,54,64,36,70,54,79,53,76,58,79,57,84,51,69,37,76,85,89,92,91,90,91,84,87,87,89,67,92
"062904",-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,69,68,67,62,66,62,74,76,68,67,66,67,70,36,-1,-1,60,-1,85,54,-1,-1,-1,-1,62,59,57,45,57,53,70,68,59,63,60,57,73,76,68,71,76,70,82,85,56,76,71,73,61,57,57,43,56,51,67,67,64,48,63,63,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,65,60,66,52,57,55,67,67,79,57,62,60,49,50,41,41,45,44,58,61,52,50,45,35,60,60,50,64,44,53,77,63,50,-1,85,67,75,82,76,79,75,78,80,86,71,82,69,80
"062905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,78,89,46,75,78,86,89,97,-1,-1,92,85,-1,86,.,.,-1,-1,-1,-1,.,.,.,-1,69,88,-1,-1,61,78,83,100,.,-1,89,83,85,84,45,-1,95,82,100,95,-1,-1,-1,75,65,85,-1,-1,63,78,81,100,-1,-1,83,88,.,.,.,.,.,.,.,.,.,.,.,.,100,100,.,-1,-1,-1,-1,-1,.,.,-1,-1,69,95,-1,-1,56,93,75,100,.,-1,88,100,68,79,-1,-1,56,-1,89,100,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,88,95,67,-1,89,93,95,100,-1,-1,100,-1
"062906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79,78,87,85,73,76,83,77,88,89,77,75,.,.,.,.,.,.,.,.,.,.,.,.,73,73,83,-1,65,75,81,75,-1,-1,67,-1,77,80,71,80,69,75,83,80,-1,-1,83,88,68,68,-1,-1,57,64,71,79,.,-1,83,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,81,75,94,90,77,77,83,73,83,86,72,-1,57,57,100,67,40,56,60,56,-1,-1,60,55,71,74,-1,-1,56,100,78,-1,-1,-1,-1,-1,82,80,90,100,77,79,86,77,88,88,75,74
"063903",-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,80,80,93,86,81,78,83,85,71,71,67,69,50,81,-1,-1,-1,86,-1,100,.,-1,-1,-1,77,78,87,84,78,76,79,85,73,63,64,63,78,81,84,84,84,79,82,84,53,70,73,81,76,73,87,87,77,71,77,77,73,69,59,47,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,78,100,88,77,77,84,85,88,73,59,57,61,64,83,70,63,61,69,71,50,62,35,45,55,58,86,-1,50,58,62,65,-1,-1,-1,55,86,85,98,90,86,82,91,90,70,76,76,81
