DISTRICT,D200A001513R,D200A001S14R,D200AC01513R,D200AC01S14R,D200AM01513R,D200AM01S14R,D200AR01513R,D200AR01S14R,D200AS01513R,D200AS01S14R,D200AW01513R,D200AW01S14R,D300A001513R,D300A001S14R,D300AC01513R,D300AC01S14R,D300AM01513R,D300AM01S14R,D300AR01513R,D300AR01S14R,D300AS01513R,D300AS01S14R,D300AW01513R,D300AW01S14R,D400A001513R,D400A001S14R,D400AC01513R,D400AC01S14R,D400AM01513R,D400AM01S14R,D400AR01513R,D400AR01S14R,D400AS01513R,D400AS01S14R,D400AW01513R,D400AW01S14R,DA00A001513R,DA00A001S14R,DA00AC01513R,DA00AC01S14R,DA00AM01513R,DA00AM01S14R,DA00AR01513R,DA00AR01S14R,DA00AS01513R,DA00AS01S14R,DA00AW01513R,DA00AW01S14R,DB00A001513R,DB00A001S14R,DB00AC01513R,DB00AC01S14R,DB00AM01513R,DB00AM01S14R,DB00AR01513R,DB00AR01S14R,DB00AS01513R,DB00AS01S14R,DB00AW01513R,DB00AW01S14R,DE00A001513R,DE00A001S14R,DE00AC01513R,DE00AC01S14R,DE00AM01513R,DE00AM01S14R,DE00AR01513R,DE00AR01S14R,DE00AS01513R,DE00AS01S14R,DE00AW01513R,DE00AW01S14R,DF00A001513R,DF00A001S14R,DF00AC01513R,DF00AC01S14R,DF00AM01513R,DF00AM01S14R,DF00AR01513R,DF00AR01S14R,DF00AS01513R,DF00AS01S14R,DF00AW01513R,DF00AW01S14R,DH00A001513R,DH00A001S14R,DH00AC01513R,DH00AC01S14R,DH00AM01513R,DH00AM01S14R,DH00AR01513R,DH00AR01S14R,DH00AS01513R,DH00AS01S14R,DH00AW01513R,DH00AW01S14R,DI00A001513R,DI00A001S14R,DI00AC01513R,DI00AC01S14R,DI00AM01513R,DI00AM01S14R,DI00AR01513R,DI00AR01S14R,DI00AS01513R,DI00AS01S14R,DI00AW01513R,DI00AW01S14R,DL00A001513R,DL00A001S14R,DL00AC01513R,DL00AC01S14R,DL00AM01513R,DL00AM01S14R,DL00AR01513R,DL00AR01S14R,DL00AS01513R,DL00AS01S14R,DL00AW01513R,DL00AW01S14R,DM00A001513R,DM00A001S14R,DM00AC01513R,DM00AC01S14R,DM00AM01513R,DM00AM01S14R,DM00AR01513R,DM00AR01S14R,DM00AS01513R,DM00AS01S14R,DM00AW01513R,DM00AW01S14R,DR00A001513R,DR00A001S14R,DR00AC01513R,DR00AC01S14R,DR00AM01513R,DR00AM01S14R,DR00AR01513R,DR00AR01S14R,DR00AS01513R,DR00AS01S14R,DR00AW01513R,DR00AW01S14R,DS00A001513R,DS00A001S14R,DS00AC01513R,DS00AC01S14R,DS00AM01513R,DS00AM01S14R,DS00AR01513R,DS00AR01S14R,DS00AS01513R,DS00AS01S14R,DS00AW01513R,DS00AW01S14R,DW00A001513R,DW00A001S14R,DW00AC01513R,DW00AC01S14R,DW00AM01513R,DW00AM01S14R,DW00AR01513R,DW00AR01S14R,DW00AS01513R,DW00AS01S14R,DW00AW01513R,DW00AW01S14R
"003903",75,80,88,92,75,78,80,82,79,80,53,56,96,96,98,100,100,96,94,93,95,100,90,94,100,-1,-1,.,-1,-1,-1,-1,-1,.,.,.,78,78,85,82,80,80,80,75,77,77,63,74,69,71,79,77,70,72,72,68,68,69,53,68,72,73,80,77,75,76,74,70,72,69,56,70,79,80,85,81,81,81,82,79,74,75,67,79,74,74,81,77,78,78,76,71,74,72,58,72,89,71,83,-1,80,-1,100,67,83,-1,90,-1,55,56,56,49,60,63,57,54,49,42,44,54,77,76,86,84,78,79,78,72,81,80,59,70,64,64,75,68,66,67,66,61,63,63,47,60,68,74,75,79,73,79,71,70,64,73,49,71,89,89,95,94,89,90,91,88,87,89,78,86
"003904",83,65,90,70,81,65,73,68,100,-1,90,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,75,69,80,67,77,73,79,70,77,67,57,65,53,38,81,-1,47,48,43,40,79,-1,-1,-1,68,61,75,58,69,64,73,62,67,65,48,54,78,74,79,71,80,74,85,76,75,70,64,77,70,72,71,70,75,80,79,73,59,57,53,60,95,80,-1,-1,100,-1,100,-1,-1,-1,-1,-1,80,-1,-1,-1,100,-1,-1,-1,-1,-1,-1,-1,72,65,81,63,75,71,73,65,78,64,50,55,57,52,64,50,58,56,62,51,62,57,34,38,53,53,60,39,50,65,54,55,60,-1,45,50,76,70,80,68,78,73,80,71,77,68,57,67
"003905",66,80,86,-1,56,71,74,88,-1,100,50,-1,-1,100,.,-1,-1,-1,-1,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,69,72,74,76,78,76,73,73,60,68,48,59,60,63,68,70,65,56,67,65,50,76,39,39,65,69,71,73,75,72,69,70,54,65,42,53,72,74,73,74,80,75,77,77,56,68,57,66,66,70,69,72,77,76,68,70,59,65,45,55,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,48,55,53,56,63,63,44,57,49,33,24,33,67,71,75,78,76,76,68,70,64,68,40,51,55,58,62,61,65,61,58,59,48,59,30,36,48,54,39,67,56,56,56,53,39,47,33,33,78,79,86,86,85,82,81,81,66,68,56,68
"003906",60,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,77,78,76,82,77,77,85,78,74,80,61,73,.,-1,.,-1,.,-1,.,-1,.,.,.,.,72,73,70,79,75,74,82,72,64,72,53,66,82,84,81,85,84,81,89,86,73,82,72,83,83,66,-1,-1,86,70,87,64,-1,-1,88,-1,100,-1,-1,.,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,71,72,69,78,70,74,81,70,76,79,49,66,60,62,57,63,61,63,75,59,60,74,33,56,40,47,35,50,38,55,50,38,54,86,26,-1,76,78,76,82,77,77,85,78,75,80,59,72
"003907",96,74,-1,-1,100,63,100,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79,74,88,72,83,76,81,74,75,74,60,66,66,59,71,55,67,53,69,63,75,83,54,47,73,68,83,63,78,70,75,69,65,66,54,61,81,78,89,71,85,80,83,80,73,75,65,74,76,72,77,67,84,76,79,71,69,59,60,77,79,75,-1,-1,71,-1,71,-1,-1,-1,-1,-1,41,32,-1,-1,55,38,45,-1,-1,-1,-1,-1,77,70,86,73,82,72,79,69,76,72,54,58,59,59,69,56,65,63,62,59,58,56,34,48,61,46,65,38,65,39,60,55,62,40,48,45,80,76,90,74,84,78,82,76,75,76,60,65
"004901",90,77,89,88,92,76,92,76,83,-1,80,69,86,87,94,90,92,93,85,84,87,93,67,70,.,.,.,.,.,.,.,.,.,.,.,.,78,76,86,82,80,76,79,73,79,82,60,67,53,53,73,64,64,43,48,59,45,-1,-1,-1,71,69,82,78,73,71,73,67,71,73,51,61,81,80,87,85,81,79,85,79,80,79,70,77,73,71,83,80,75,73,75,68,73,77,54,62,73,68,83,.,90,-1,78,67,-1,-1,-1,-1,53,51,77,63,67,67,47,40,-1,-1,-1,33,75,72,85,80,80,74,75,68,78,86,50,58,62,57,73,67,66,60,64,52,64,73,38,40,47,53,57,58,49,57,48,51,51,52,29,36,81,79,88,84,84,80,83,78,83,85,64,73
"005901",90,78,100,-1,85,75,100,89,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,86,86,89,80,87,88,88,89,83,82,80,84,63,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,76,76,83,71,73,79,80,77,70,72,73,69,86,88,88,80,89,89,90,90,79,88,80,92,77,78,75,75,80,81,77,79,-1,-1,86,75,100,-1,-1,.,-1,.,-1,-1,-1,.,-1,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,86,85,90,80,85,88,87,87,86,71,79,80,68,70,81,67,61,71,76,73,61,68,61,50,68,72,87,73,65,81,72,73,50,-1,63,-1,87,88,89,81,87,90,89,90,84,83,80,86
"005902",82,80,-1,-1,-1,-1,-1,86,-1,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,84,86,85,85,88,87,89,89,69,77,80,84,55,75,-1,.,-1,-1,-1,-1,-1,.,-1,-1,77,80,79,82,82,80,82,83,58,74,70,71,85,88,87,83,88,88,89,92,71,71,83,89,78,80,94,86,76,74,78,88,71,-1,72,60,74,100,-1,-1,83,-1,-1,-1,-1,.,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,83,85,83,87,88,85,88,86,68,81,77,79,65,71,64,69,71,69,70,74,52,61,56,67,61,55,52,40,64,60,75,61,48,-1,52,-1,85,87,85,85,89,88,90,89,69,76,81,86
"005904",90,-1,-1,.,-1,.,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88,88,91,93,91,87,89,88,84,85,79,88,.,.,.,.,.,.,.,.,.,.,.,.,83,85,88,90,88,86,85,83,79,82,71,86,88,91,87,94,93,88,93,92,78,87,80,97,79,80,78,84,90,81,84,79,67,74,62,83,73,64,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72,63,-1,-1,93,73,63,59,-1,-1,-1,-1,88,85,96,91,90,86,84,84,90,84,78,81,76,76,80,82,81,77,82,75,68,73,56,67,70,73,77,63,70,67,70,91,69,-1,62,-1,91,91,95,97,92,89,91,91,89,91,86,91
"006902",100,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,79,81,88,81,72,77,87,86,78,74,66,77,89,82,-1,-1,-1,-1,100,100,-1,-1,-1,.,72,80,82,81,69,80,83,84,61,53,58,73,77,81,90,75,70,74,88,90,72,71,60,83,74,77,100,67,55,82,75,82,83,-1,80,-1,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,-1,71,.,-1,-1,-1,-1,-1,.,.,-1,.,81,81,86,85,75,80,86,82,85,79,72,68,64,74,74,79,63,71,74,79,55,76,47,53,57,67,72,69,53,71,68,73,53,-1,32,45,79,82,86,81,75,78,88,87,77,75,62,80
