DISTRICT,DD000A001218R,DD000A001318R,DD000A001S18R,DD000AC01218R,DD000AC01318R,DD000AC01S18R,DD000AM01218R,DD000AM01318R,DD000AM01S18R,DD000AR01218R,DD000AR01318R,DD000AR01S18R,DD000AS01218R,DD000AS01318R,DD000AS01S18R,DD000AW01218R,DD000AW01318R,DD000AW01S18R,DD200A001218R,DD200A001318R,DD200A001S18R,DD200AC01218R,DD200AC01318R,DD200AC01S18R,DD200AM01218R,DD200AM01318R,DD200AM01S18R,DD200AR01218R,DD200AR01318R,DD200AR01S18R,DD200AS01218R,DD200AS01318R,DD200AS01S18R,DD200AW01218R,DD200AW01318R,DD200AW01S18R,DD300A001218R,DD300A001318R,DD300A001S18R,DD300AC01218R,DD300AC01318R,DD300AC01S18R,DD300AM01218R,DD300AM01318R,DD300AM01S18R,DD300AR01218R,DD300AR01318R,DD300AR01S18R,DD300AS01218R,DD300AS01318R,DD300AS01S18R,DD300AW01218R,DD300AW01318R,DD300AW01S18R,DD400A001218R,DD400A001318R,DD400A001S18R,DD400AC01218R,DD400AC01318R,DD400AC01S18R,DD400AM01218R,DD400AM01318R,DD400AM01S18R,DD400AR01218R,DD400AR01318R,DD400AR01S18R,DD400AS01218R,DD400AS01318R,DD400AS01S18R,DD400AW01218R,DD400AW01318R,DD400AW01S18R,DDA00A001218R,DDA00A001318R,DDA00A001S18R,DDA00AC01218R,DDA00AC01318R,DDA00AC01S18R,DDA00AM01218R,DDA00AM01318R,DDA00AM01S18R,DDA00AR01218R,DDA00AR01318R,DDA00AR01S18R,DDA00AS01218R,DDA00AS01318R,DDA00AS01S18R,DDA00AW01218R,DDA00AW01318R,DDA00AW01S18R,DDB00A001218R,DDB00A001318R,DDB00A001S18R,DDB00AC01218R,DDB00AC01318R,DDB00AC01S18R,DDB00AM01218R,DDB00AM01318R,DDB00AM01S18R,DDB00AR01218R,DDB00AR01318R,DDB00AR01S18R,DDB00AS01218R,DDB00AS01318R,DDB00AS01S18R,DDB00AW01218R,DDB00AW01318R,DDB00AW01S18R,DDE00A001218R,DDE00A001318R,DDE00A001S18R,DDE00AC01218R,DDE00AC01318R,DDE00AC01S18R,DDE00AM01218R,DDE00AM01318R,DDE00AM01S18R,DDE00AR01218R,DDE00AR01318R,DDE00AR01S18R,DDE00AS01218R,DDE00AS01318R,DDE00AS01S18R,DDE00AW01218R,DDE00AW01318R,DDE00AW01S18R,DDF00A001218R,DDF00A001318R,DDF00A001S18R,DDF00AC01218R,DDF00AC01318R,DDF00AC01S18R,DDF00AM01218R,DDF00AM01318R,DDF00AM01S18R,DDF00AR01218R,DDF00AR01318R,DDF00AR01S18R,DDF00AS01218R,DDF00AS01318R,DDF00AS01S18R,DDF00AW01218R,DDF00AW01318R,DDF00AW01S18R,DDH00A001218R,DDH00A001318R,DDH00A001S18R,DDH00AC01218R,DDH00AC01318R,DDH00AC01S18R,DDH00AM01218R,DDH00AM01318R,DDH00AM01S18R,DDH00AR01218R,DDH00AR01318R,DDH00AR01S18R,DDH00AS01218R,DDH00AS01318R,DDH00AS01S18R,DDH00AW01218R,DDH00AW01318R,DDH00AW01S18R,DDI00A001218R,DDI00A001318R,DDI00A001S18R,DDI00AC01218R,DDI00AC01318R,DDI00AC01S18R,DDI00AM01218R,DDI00AM01318R,DDI00AM01S18R,DDI00AR01218R,DDI00AR01318R,DDI00AR01S18R,DDI00AS01218R,DDI00AS01318R,DDI00AS01S18R,DDI00AW01218R,DDI00AW01318R,DDI00AW01S18R,DDL00A001218R,DDL00A001318R,DDL00A001S18R,DDL00AC01218R,DDL00AC01318R,DDL00AC01S18R,DDL00AM01218R,DDL00AM01318R,DDL00AM01S18R,DDL00AR01218R,DDL00AR01318R,DDL00AR01S18R,DDL00AS01218R,DDL00AS01318R,DDL00AS01S18R,DDL00AW01218R,DDL00AW01318R,DDL00AW01S18R,DDM00A001218R,DDM00A001318R,DDM00A001S18R,DDM00AC01218R,DDM00AC01318R,DDM00AC01S18R,DDM00AM01218R,DDM00AM01318R,DDM00AM01S18R,DDM00AR01218R,DDM00AR01318R,DDM00AR01S18R,DDM00AS01218R,DDM00AS01318R,DDM00AS01S18R,DDM00AW01218R,DDM00AW01318R,DDM00AW01S18R,DDR00A001218R,DDR00A001318R,DDR00A001S18R,DDR00AC01218R,DDR00AC01318R,DDR00AC01S18R,DDR00AM01218R,DDR00AM01318R,DDR00AM01S18R,DDR00AR01218R,DDR00AR01318R,DDR00AR01S18R,DDR00AS01218R,DDR00AS01318R,DDR00AS01S18R,DDR00AW01218R,DDR00AW01318R,DDR00AW01S18R,DDS00A001218R,DDS00A001318R,DDS00A001S18R,DDS00AC01218R,DDS00AC01318R,DDS00AC01S18R,DDS00AM01218R,DDS00AM01318R,DDS00AM01S18R,DDS00AR01218R,DDS00AR01318R,DDS00AR01S18R,DDS00AS01218R,DDS00AS01318R,DDS00AS01S18R,DDS00AW01218R,DDS00AW01318R,DDS00AW01S18R,DDW00A001218R,DDW00A001318R,DDW00A001S18R,DDW00AC01218R,DDW00AC01318R,DDW00AC01S18R,DDW00AM01218R,DDW00AM01318R,DDW00AM01S18R,DDW00AR01218R,DDW00AR01318R,DDW00AR01S18R,DDW00AS01218R,DDW00AS01318R,DDW00AS01S18R,DDW00AW01218R,DDW00AW01318R,DDW00AW01S18R,DNC00A001218R,DNC00A001318R,DNC00A001S18R,DNC00AC01218R,DNC00AC01318R,DNC00AC01S18R,DNC00AM01218R,DNC00AM01318R,DNC00AM01S18R,DNC00AR01218R,DNC00AR01318R,DNC00AR01S18R,DNC00AS01218R,DNC00AS01318R,DNC00AS01S18R,DNC00AW01218R,DNC00AW01318R,DNC00AW01S18R,DNM00A001218R,DNM00A001318R,DNM00A001S18R,DNM00AC01218R,DNM00AC01318R,DNM00AC01S18R,DNM00AM01218R,DNM00AM01318R,DNM00AM01S18R,DNM00AR01218R,DNM00AR01318R,DNM00AR01S18R,DNM00AS01218R,DNM00AS01318R,DNM00AS01S18R,DNM00AW01218R,DNM00AW01318R,DNM00AW01S18R,DNS00A001218R,DNS00A001318R,DNS00A001S18R,DNS00AC01218R,DNS00AC01318R,DNS00AC01S18R,DNS00AM01218R,DNS00AM01318R,DNS00AM01S18R,DNS00AR01218R,DNS00AR01318R,DNS00AR01S18R,DNS00AS01218R,DNS00AS01318R,DNS00AS01S18R,DNS00AW01218R,DNS00AW01318R,DNS00AW01S18R
"039902",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,53,29,76,60,20,60,67,33,78,36,29,79,-1,-1,-1,-1,-1,-1,100,88,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54,25,82,52,20,77,60,33,88,51,22,82,53,30,79,53,13,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,16,72,34,10,66,47,20,79,36,15,72,29,14,59,40,13,63,55,26,85,52,21,77,58,35,90,53,23,85,51,24,82,59,18,79,38,11,70,28,0,67,43,11,80,37,9,70,45,36,64,30,10,50,28,12,56,60,20,60,14,14,71,38,13,38,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,25,80,52,19,77,61,32,86,48,21,78,55,37,76,48,8,73,23,6,62,20,2,54,29,9,73,20,3,61,25,14,58,15,0,38,19,8,44,24,5,33,20,9,56,19,7,44,14,9,41,12,6,24,56,26,84,54,22,79,61,35,89,52,23,83,55,31,80,54,11,78,56,27,83,55,22,78,60,35,89,54,24,82,53,30,79,54,12,76,48,20,81,42,13,75,58,27,87,40,14,80,52,32,76,50,14,75,48,30,88,40,20,60,47,35,94,44,39,89,-1,-1,-1,71,0,86
"039903",0,0,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,28,7,62,-1,-1,-1,38,13,50,20,10,60,20,0,80,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,12,73,54,14,85,35,12,75,45,15,75,33,11,64,26,1,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,31,9,65,44,10,73,28,9,68,34,9,66,27,13,57,18,3,46,47,12,79,51,9,84,43,15,80,56,14,83,23,3,67,35,3,68,38,9,73,29,6,88,38,6,81,45,10,68,44,33,56,22,0,56,31,8,62,-1,-1,-1,-1,-1,-1,20,20,80,-1,-1,-1,-1,-1,-1,0,0,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,35,12,68,57,18,86,29,10,70,36,15,68,42,17,61,18,0,48,13,4,49,27,9,70,12,4,46,11,3,53,20,4,52,3,0,21,20,8,40,33,11,67,20,8,36,12,6,33,40,20,60,17,0,17,41,13,74,59,16,85,35,13,75,47,16,76,34,8,64,27,2,58,40,11,75,59,13,90,36,11,75,44,14,76,33,9,67,25,2,60,40,14,69,41,15,74,34,14,73,48,18,71,33,17,50,26,0,47,17,0,75,.,.,.,-1,-1,-1,0,0,60,.,.,.,-1,-1,-1
"039904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,0,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,18,79,38,19,73,37,17,81,49,18,83,52,19,76,25,8,58,20,0,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,34,14,78,33,17,75,34,19,81,31,8,81,60,20,80,17,0,50,42,16,79,43,14,71,31,14,79,57,22,92,40,10,60,22,11,56,17,0,67,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,19,79,33,25,75,43,20,83,41,15,74,64,27,91,-1,-1,-1,13,4,56,0,0,45,8,4,63,18,4,54,29,14,57,14,0,57,15,8,54,.,.,.,20,0,40,0,0,60,-1,-1,-1,-1,-1,-1,45,19,79,43,22,78,40,19,83,50,21,81,55,20,80,27,9,55,37,12,79,23,0,62,35,14,84,43,13,83,50,21,79,0,0,60,51,26,78,54,38,85,41,23,77,59,28,83,57,14,71,43,14,57,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.
"039905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,19,72,41,15,62,34,18,72,44,20,72,58,16,79,42,25,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,10,68,40,13,67,26,5,63,40,11,66,69,23,85,14,7,71,43,20,71,40,15,55,25,19,67,56,22,78,57,14,79,40,30,80,40,7,87,-1,-1,-1,-1,-1,-1,33,0,83,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,40,17,73,43,14,71,42,16,76,33,18,67,60,20,80,43,21,86,8,1,36,13,0,19,6,3,39,9,0,41,-1,-1,-1,0,0,50,12,3,48,0,0,20,20,10,50,18,0,64,-1,-1,-1,-1,-1,-1,41,19,71,39,15,61,34,17,70,45,21,71,53,18,76,45,27,86,46,24,79,40,20,67,37,22,83,51,26,72,63,13,100,56,31,88,35,13,65,42,11,58,30,12,58,36,13,72,55,18,64,13,13,75,60,40,60,-1,-1,-1,60,60,60,43,14,43,.,.,.,-1,-1,-1
"040901",21,4,44,24,0,52,23,4,52,23,8,42,6,0,31,19,0,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,6,52,20,5,56,20,6,58,25,7,52,11,3,42,16,2,39,18,18,45,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,19,5,50,18,5,53,18,6,56,23,7,50,11,3,41,17,2,35,19,6,55,11,2,54,14,5,55,28,9,59,16,5,53,15,0,42,19,5,50,16,4,52,18,5,55,23,7,50,12,3,41,18,2,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,2,35,13,0,38,18,3,49,13,3,30,0,0,11,19,0,25,22,6,50,29,8,57,26,7,61,21,5,44,4,0,25,17,4,33,12,2,41,14,1,49,14,3,47,13,4,40,0,0,26,7,0,27,2,0,20,0,0,38,5,0,16,0,0,19,0,0,29,-1,-1,-1,32,8,75,50,20,80,30,10,80,38,5,71,-1,-1,-1,0,0,80,23,6,55,23,5,61,22,6,58,28,9,56,14,4,47,13,2,39,13,3,41,10,5,35,12,5,56,14,2,37,0,0,18,27,0,36,0,0,43,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"040902",14,0,73,-1,-1,-1,10,0,90,25,0,50,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,17,79,41,16,80,45,18,84,46,17,75,47,28,74,43,8,76,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,11,74,27,7,78,40,10,84,35,8,65,48,33,74,35,6,59,48,20,82,40,17,81,46,23,88,54,21,81,48,20,76,45,14,68,35,11,74,26,6,77,40,11,81,34,11,66,33,21,75,38,5,71,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,0,70,-1,-1,-1,11,0,89,14,0,43,.,.,.,-1,-1,-1,41,15,76,41,15,79,45,13,81,38,13,69,45,36,73,40,0,87,20,4,67,16,5,68,22,2,79,21,4,58,14,10,67,18,0,55,19,6,46,0,0,43,16,5,58,23,5,36,40,20,60,-1,-1,-1,58,27,86,66,31,86,54,28,89,61,25,87,61,35,74,50,13,81,46,18,80,39,17,80,46,18,84,48,17,79,49,28,74,50,10,77,40,17,74,47,12,82,44,20,85,38,18,60,38,25,75,14,0,71,0,0,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"041901",20,0,80,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,21,82,63,26,89,53,25,83,54,21,84,52,26,77,33,6,67,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,13,73,59,18,88,40,17,75,39,11,80,23,8,62,13,6,38,56,21,89,53,11,84,61,31,94,60,22,93,53,16,74,35,6,82,38,14,77,55,9,91,45,14,83,38,15,78,20,20,60,22,11,56,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,0,80,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,47,22,73,75,44,94,45,19,72,45,20,73,50,42,83,32,5,53,29,5,67,42,5,79,25,8,69,35,2,75,31,15,54,0,0,31,14,6,39,-1,-1,-1,17,8,33,17,8,58,-1,-1,-1,-1,-1,-1,58,25,84,67,33,88,57,30,84,61,24,87,67,29,86,37,4,70,55,25,85,71,38,96,56,26,85,56,26,85,48,29,81,44,8,76,44,12,74,45,0,73,46,21,79,49,11,81,60,20,70,9,0,45,50,13,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"041902",0,0,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,57,29,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,21,76,46,23,84,49,24,82,43,19,69,62,35,82,46,11,72,0,0,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,38,15,69,33,19,74,38,11,76,37,16,62,50,31,75,40,8,68,48,24,77,56,19,81,44,23,80,48,27,74,71,50,86,41,14,69,39,17,68,31,19,75,43,16,73,38,16,64,45,27,73,36,14,57,50,17,83,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,0,0,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,46,18,76,38,28,86,55,25,85,37,12,64,55,25,80,53,6,76,26,8,60,25,6,75,34,13,67,20,7,52,27,7,60,26,5,47,19,5,56,14,0,57,18,6,71,20,4,48,-1,-1,-1,20,0,60,53,25,83,51,22,89,56,30,90,47,22,75,68,41,86,54,11,82,51,26,78,49,26,85,53,29,80,47,23,74,65,42,85,48,15,74,39,11,72,41,18,82,42,11,87,33,12,58,50,13,75,42,5,68,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"042901",21,0,47,-1,-1,-1,20,0,40,29,0,57,-1,-1,-1,-1,-1,-1,6,0,42,-1,-1,-1,0,0,46,0,0,42,-1,-1,-1,17,0,17,80,40,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,15,69,43,14,70,35,15,72,39,15,67,54,27,79,29,9,50,32,5,59,-1,-1,-1,14,0,57,30,10,50,-1,-1,-1,.,.,.,30,11,59,36,12,59,24,10,62,30,10,57,56,24,74,21,7,43,41,17,73,41,11,71,38,18,76,43,18,72,55,26,81,35,11,56,36,15,64,45,15,66,32,14,67,33,14,59,54,28,72,27,7,60,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,0,47,-1,-1,-1,20,0,40,29,0,57,-1,-1,-1,-1,-1,-1,36,14,65,45,16,69,32,12,68,35,12,62,53,28,77,24,7,45,20,3,50,26,2,56,16,2,52,20,3,48,37,4,59,11,2,34,23,8,48,26,11,56,26,9,49,16,5,40,38,8,62,20,10,50,42,17,72,42,14,70,38,16,75,44,17,72,54,28,83,31,11,49,38,15,68,40,12,68,35,14,72,38,15,65,55,27,78,31,9,50,40,18,73,55,19,79,34,19,72,42,18,76,50,27,82,24,10,52,24,10,69,-1,-1,-1,40,20,100,17,8,58,-1,-1,-1,-1,-1,-1
"042903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,11,95,-1,-1,-1,43,0,100,71,29,100,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,10,73,27,6,68,36,9,78,39,14,74,13,0,39,49,7,70,29,0,71,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,31,7,70,26,2,72,33,8,75,33,10,72,6,0,35,41,3,62,43,12,80,27,8,65,44,11,84,43,16,82,22,0,44,67,13,92,29,8,67,20,5,70,26,3,71,38,13,68,0,0,43,38,13,50,29,0,86,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,8,66,27,5,70,28,8,73,36,13,67,7,0,36,26,0,42,20,4,54,14,3,54,20,5,64,25,5,57,0,0,7,27,0,33,2,0,16,0,0,0,0,0,14,6,0,31,-1,-1,-1,-1,-1,-1,38,12,73,30,8,68,38,13,79,39,15,75,19,0,38,55,6,71,38,12,73,26,5,67,38,12,78,42,18,75,12,0,41,50,8,72,31,6,71,29,8,71,32,4,79,32,7,71,17,0,33,43,0,57,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1
"042905",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,30,20,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,13,84,47,8,83,28,5,84,48,18,85,33,7,83,61,33,83,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,38,11,81,43,10,80,28,5,80,42,15,82,32,4,80,54,23,77,46,12,89,47,0,93,29,2,83,56,20,91,30,0,90,75,42,92,37,6,78,42,0,75,38,8,85,44,11,83,20,0,70,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,36,13,80,48,14,76,26,8,85,40,17,79,35,10,80,33,17,67,25,4,76,28,0,78,14,0,80,32,11,75,21,0,71,30,0,70,29,14,68,33,33,67,14,14,71,33,8,67,-1,-1,-1,-1,-1,-1,42,14,86,48,9,87,25,3,85,51,21,85,42,11,89,65,35,88,42,12,83,47,7,87,28,3,81,46,17,85,43,0,79,67,42,83,39,13,85,48,10,81,27,7,86,49,20,84,25,13,88,50,17,83,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.
"043801",70,39,94,36,18,100,76,49,96,69,37,96,29,29,57,85,31,92,70,39,94,59,35,100,69,46,91,86,41,100,27,18,73,82,36,91,85,57,98,79,41,98,87,65,99,86,56,99,80,59,96,86,49,97,100,60,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,75,43,96,66,29,98,75,47,97,80,47,96,66,43,89,77,33,94,60,27,92,44,15,92,60,28,94,67,35,91,57,22,87,56,9,88,66,31,92,46,12,85,63,35,97,74,32,95,70,41,81,67,20,93,76,43,96,65,26,98,73,43,97,84,50,97,68,47,89,79,35,94,69,31,95,66,23,94,71,37,99,69,36,94,68,28,84,67,7,93,71,41,100,-1,-1,-1,67,50,100,71,43,100,-1,-1,-1,-1,-1,-1,66,36,94,20,0,100,74,46,94,61,35,96,-1,-1,-1,82,24,94,75,43,96,67,32,97,79,52,98,76,43,95,63,39,89,76,30,93,60,33,93,22,11,89,65,42,93,58,31,97,33,17,50,80,30,95,38,17,81,36,14,86,37,20,83,43,17,85,22,11,56,43,14,71,76,42,96,69,27,100,75,42,97,84,49,98,59,42,87,79,34,94,75,44,96,66,25,98,75,47,97,80,48,96,65,47,90,77,32,93,76,43,96,66,32,97,75,47,98,80,46,96,68,38,89,78,34,95,73,36,99,80,40,100,73,50,100,75,36,100,43,0,86,83,17,100
"043802",-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,83,50,100,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,36,86,.,.,.,63,25,75,67,50,100,.,.,.,.,.,.,33,0,67,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,73,45,91,.,.,.,67,33,83,80,60,100,.,.,.,.,.,.,60,40,80,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,64,36,86,.,.,.,63,25,75,67,50,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"043901",61,33,86,58,30,87,70,42,91,57,29,82,56,30,82,55,19,80,76,50,93,78,51,94,78,57,95,72,46,91,84,60,97,74,33,90,90,70,97,90,70,98,93,79,99,88,65,96,93,81,98,87,56,96,77,45,93,79,42,84,81,48,97,78,46,98,40,40,80,75,38,88,76,48,93,77,50,94,78,53,94,74,43,91,84,64,95,70,33,87,57,27,83,57,26,84,57,28,86,56,24,81,68,42,88,49,16,72,53,25,81,53,24,83,56,28,86,50,21,78,64,42,85,45,13,70,79,50,94,78,50,94,79,53,95,78,48,93,83,62,95,75,39,90,66,34,88,65,35,89,68,37,92,62,29,86,74,53,93,60,21,80,78,50,91,82,41,100,82,55,95,74,51,89,83,83,100,76,28,76,41,18,75,30,10,74,54,27,86,35,15,70,31,13,65,38,9,65,74,46,91,77,50,93,77,53,94,71,38,89,85,67,95,64,27,84,40,14,75,41,12,78,46,18,82,34,10,69,55,26,82,31,5,58,37,14,65,38,12,68,41,18,71,33,12,60,51,24,75,26,8,46,79,49,94,81,52,96,81,54,96,76,43,93,88,68,97,68,29,87,80,52,94,82,54,95,82,57,96,78,46,93,86,68,97,73,35,89,65,36,87,63,36,88,68,41,91,62,32,86,74,49,89,60,25,81,75,43,94,75,43,95,79,52,98,73,36,92,76,61,98,71,26,81
"043902",28,9,69,25,6,65,35,12,78,25,9,67,16,5,51,22,4,59,46,18,77,50,15,81,50,22,84,45,15,79,45,32,64,35,4,62,85,39,97,-1,-1,-1,75,25,100,80,30,100,100,63,100,-1,-1,-1,-1,-1,-1,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,45,16,77,53,20,82,44,15,83,44,16,75,50,27,78,37,8,65,30,7,68,34,8,70,28,8,75,30,5,64,34,19,74,26,2,60,36,11,71,42,14,75,36,12,79,35,11,67,38,19,72,29,4,56,49,17,81,55,20,83,47,15,84,49,18,80,46,21,78,46,13,75,38,13,75,44,14,75,38,14,82,36,12,73,44,18,75,29,6,62,50,27,68,-1,-1,-1,60,20,80,38,25,75,-1,-1,-1,-1,-1,-1,18,4,60,14,3,57,28,6,73,14,3,57,4,0,35,8,2,42,41,16,74,51,20,80,41,16,81,39,13,70,53,33,78,28,3,57,20,4,59,29,5,66,21,4,70,18,3,54,23,9,59,10,1,36,19,3,39,21,5,44,17,3,49,19,1,31,24,7,40,15,2,26,52,20,81,62,26,88,50,18,85,51,20,78,56,33,82,43,9,69,47,17,79,54,19,82,45,16,83,45,17,76,55,31,80,38,9,67,42,15,76,50,22,81,42,14,82,42,14,72,41,21,75,35,6,64,38,14,76,39,11,83,40,14,84,37,17,73,63,25,63,19,0,50
