DISTRICT,D200A001S15R,D200AC01S15R,D200AM01S15R,D200AR01S15R,D200AS01S15R,D200AW01S15R,D300A001S15R,D300AC01S15R,D300AM01S15R,D300AR01S15R,D300AS01S15R,D300AW01S15R,D400A001S15R,D400AC01S15R,D400AM01S15R,D400AR01S15R,D400AS01S15R,D400AW01S15R,DA00A001S15R,DA00AC01S15R,DA00AM01S15R,DA00AR01S15R,DA00AS01S15R,DA00AW01S15R,DB00A001S15R,DB00AC01S15R,DB00AM01S15R,DB00AR01S15R,DB00AS01S15R,DB00AW01S15R,DE00A001S15R,DE00AC01S15R,DE00AM01S15R,DE00AR01S15R,DE00AS01S15R,DE00AW01S15R,DF00A001S15R,DF00AC01S15R,DF00AM01S15R,DF00AR01S15R,DF00AS01S15R,DF00AW01S15R,DH00A001S15R,DH00AC01S15R,DH00AM01S15R,DH00AR01S15R,DH00AS01S15R,DH00AW01S15R,DI00A001S15R,DI00AC01S15R,DI00AM01S15R,DI00AR01S15R,DI00AS01S15R,DI00AW01S15R,DL00A001S15R,DL00AC01S15R,DL00AM01S15R,DL00AR01S15R,DL00AS01S15R,DL00AW01S15R,DM00A001S15R,DM00AC01S15R,DM00AM01S15R,DM00AR01S15R,DM00AS01S15R,DM00AW01S15R,DR00A001S15R,DR00AC01S15R,DR00AM01S15R,DR00AR01S15R,DR00AS01S15R,DR00AW01S15R,DS00A001S15R,DS00AC01S15R,DS00AM01S15R,DS00AR01S15R,DS00AS01S15R,DS00AW01S15R,DW00A001S15R,DW00AC01S15R,DW00AM01S15R,DW00AR01S15R,DW00AS01S15R,DW00AW01S15R
"003905",79,-1,-1,87,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,75,74,86,75,82,64,57,54,56,57,67,52,71,71,83,71,76,59,78,73,93,79,81,69,73,71,88,73,80,62,-1,-1,.,-1,-1,.,58,39,89,61,71,55,73,76,78,71,83,60,61,56,76,62,68,49,48,53,67,45,53,-1,85,88,94,85,89,72
"003906",100,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,81,71,85,86,83,73,-1,-1,.,-1,.,.,78,67,78,85,79,64,87,78,100,92,77,88,55,-1,-1,73,-1,-1,-1,.,.,-1,.,-1,.,.,.,.,.,.,76,65,71,82,88,55,66,45,50,77,65,69,62,-1,-1,75,-1,.,83,74,90,87,81,75
"003907",93,-1,.,100,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,77,79,81,75,79,73,54,48,-1,58,-1,63,69,69,78,69,68,69,80,76,85,81,77,78,72,71,88,72,69,70,100,-1,.,-1,.,-1,37,-1,-1,42,-1,-1,74,83,77,70,81,69,62,69,72,58,71,45,47,56,-1,47,56,-1,79,84,83,77,82,75
"004901",89,100,-1,88,90,75,92,92,100,93,86,100,.,.,.,.,.,.,79,83,81,78,77,77,65,63,-1,64,71,-1,73,75,77,72,70,72,81,81,85,82,75,83,73,74,79,73,71,73,77,-1,.,-1,-1,-1,37,-1,-1,41,-1,50,77,85,78,75,79,70,62,67,65,60,59,60,65,90,-1,63,-1,56,82,89,82,81,81,79
"005901",81,-1,-1,85,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,86,87,85,89,79,83,-1,.,.,-1,-1,.,78,85,67,81,67,67,88,92,83,87,83,91,76,100,-1,80,-1,-1,-1,.,.,-1,-1,.,-1,-1,-1,-1,.,.,85,83,88,91,76,74,60,63,57,64,53,53,75,-1,-1,83,-1,-1,88,87,88,90,84,84
"005902",82,-1,.,90,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,86,86,89,89,75,81,-1,-1,.,-1,-1,.,78,77,71,81,83,71,88,81,97,92,71,92,81,75,-1,85,-1,88,-1,-1,.,-1,-1,.,-1,-1,.,-1,.,.,85,91,84,87,79,73,69,70,79,74,49,51,45,50,-1,53,-1,-1,87,88,90,89,78,81
"005904",-1,-1,-1,-1,.,.,-1,.,.,-1,-1,.,.,.,.,.,.,.,91,96,91,91,86,89,.,.,.,.,.,.,88,97,88,87,80,88,93,98,95,92,86,96,85,100,91,81,71,92,75,-1,-1,-1,-1,.,75,-1,.,69,-1,-1,89,94,87,89,88,82,82,97,83,81,68,75,-1,-1,-1,-1,.,-1,94,94,94,95,94,88
"006902",-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,86,86,100,85,85,81,100,-1,-1,100,-1,-1,79,90,100,77,83,56,87,82,100,88,83,83,72,75,-1,77,75,-1,-1,-1,.,-1,.,.,-1,.,.,-1,.,-1,86,90,100,83,88,80,71,68,100,71,67,69,52,-1,-1,53,-1,-1,87,86,100,86,87,89
"007901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,70,68,75,61,54,-1,-1,-1,.,.,.,66,63,62,73,57,45,74,73,57,80,58,76,68,68,67,74,60,50,.,.,.,.,.,.,62,-1,-1,64,-1,-1,67,67,76,72,64,43,65,63,66,70,60,44,35,-1,-1,43,-1,-1,92,-1,-1,91,-1,86
"007902",92,-1,-1,100,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,75,76,66,75,80,71,68,-1,-1,56,-1,-1,67,66,54,67,75,63,79,78,71,81,82,74,67,68,59,68,72,61,-1,.,-1,-1,.,.,48,-1,-1,50,-1,-1,71,74,61,71,78,69,58,61,49,60,61,51,20,-1,-1,25,-1,-1,86,86,80,86,91,82
